# time  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16  chi_mean_R24  chi_min_R24  chi_max_R24  lapse_mean_R24  lapse_min_R24  lapse_max_R24  K_mean_R24  K_min_R24  K_max_R24  chi_mean_R32  chi_min_R32  chi_max_R32  lapse_mean_R32  lapse_min_R32  lapse_max_R32  K_mean_R32  K_min_R32  K_max_R32  chi_mean_R40  chi_min_R40  chi_max_R40  lapse_mean_R40  lapse_min_R40  lapse_max_R40  K_mean_R40  K_min_R40  K_max_R40
0.0000000000000000e+00  1.0012901196857209e+00  9.9069957844777023e-01  1.0143742969658940e+00  1.0008265556640665e+00  9.9520756651364173e-01  1.0078006278019300e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0007260835720866e+00  9.9678904231130694e-01  1.0050124090454906e+00  1.0005430795343138e+00  9.9837566038142256e-01  1.0028851874434623e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0004579524839869e+00  9.9846594931697541e-01  1.0025838579289685e+00  1.0004080748877686e+00  9.9924920265557116e-01  1.0016379511115869e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0002954945479803e+00  9.9916948732573241e-01  1.0014763508459792e+00  1.0003267377630674e+00  9.9960097997067310e-01  1.0010884500064452e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
4.0000000000000002e-01  1.0012905183279956e+00  9.9073623709290093e-01  1.0144549451633322e+00  1.0008270518972164e+00  9.9523210528366279e-01  1.0078197294899018e+00  -9.6994418918145078e-08  -2.7087070772049764e-04  2.7716300460825879e-04  1.0007260896425449e+00  9.9678904874537178e-01  1.0050124008697114e+00  1.0005430944476481e+00  9.9837566658668553e-01  1.0028851977259114e+00  9.2330034284984127e-08  -4.7224756854644353e-05  4.1796123669339605e-05  1.0004579520445491e+00  9.9846594916702291e-01  1.0025838566047933e+00  1.0004080761976870e+00  9.9924920502462911e-01  1.0016379521163004e+00  -3.3026771233453111e-09  -1.2375114249325994e-08  2.7358344041112372e-09  1.0002954943589863e+00  9.9916948736367095e-01  1.0014763504194812e+00  1.0003267383287184e+00  9.9960098024539057e-01  1.0010884507555915e+00  -1.4216856412233123e-09  -4.0096327420958206e-09  4.9331386794649936e-11
8.0000000000000004e-01  1.0012904861576251e+00  9.9075479397418287e-01  1.0144667148065698e+00  1.0008272761936252e+00  9.9523173092221839e-01  1.0077533634869962e+00  -4.9224643832713537e-07  -1.5641885137469261e-04  1.3989018746617072e-04  1.0007261199239785e+00  9.9678904418729364e-01  1.0050123532931734e+00  1.0005431283558246e+00  9.9837566706625569e-01  1.0028852499101975e+00  1.1640995893248949e-07  -3.6772809647158982e-05  2.9956269329499162e-05  1.0004579507256504e+00  9.9846594929325994e-01  1.0025838524467028e+00  1.0004080801317667e+00  9.9924920941018869e-01  1.0016379593975497e+00  -6.6165028959001895e-09  -1.9619574303638395e-08  2.0313973054666823e-10  1.0002954937919903e+00  9.9916948683662665e-01  1.0014763494362253e+00  1.0003267400235822e+00  9.9960098216294979e-01  1.0010884528658799e+00  -2.8443185344496161e-09  -6.7905685928634149e-09  -6.8990085466781838e-10
1.2000000000000000e+00  1.0012903314213530e+00  9.9074189740651197e-01  1.0144646224955824e+00  1.0008274324549666e+00  9.9525705828417810e-01  1.0077018089035947e+00  -7.5109488797287439e-07  -1.3065671704763510e-04  1.0768361599105030e-04  1.0007261500973024e+00  9.9678904490429687e-01  1.0050123358544552e+00  1.0005431614251208e+00  9.9837571672144676e-01  1.0028853414236736e+00  1.0891606584534729e-07  -2.0621770094170915e-05  2.1786450166299387e-05  1.0004579485107585e+00  9.9846594968272728e-01  1.0025838458007521e+00  1.0004080867358567e+00  9.9924921268396438e-01  1.0016379742359824e+00  -9.9586184426418777e-09  -2.7850287945231551e-08  -1.2375743548613430e-09  1.0002954928420760e+00  9.9916948617010393e-01  1.0014763477981741e+00  1.0003267428619791e+00  9.9960098513877882e-01  1.0010884566625040e+00  -4.2755059891363221e-09  -8.4762739053548833e-09  -2.4335282542925825e-09
1.6000000000000001e+00  1.0012901448326681e+00  9.9068427908741197e-01  1.0144967292448119e+00  1.0008276066073056e+00  9.9537299846244376e-01  1.0075981015278943e+00  -4.2571259590362275e-07  -2.3015725829018263e-04  2.6398102136175898e-04  1.0007261768655820e+00  9.9678924786402490e-01  1.0050124788055608e+00  1.0005431973402050e+00  9.9837540045126882e-01  1.0028850904183086e+00  9.7712365011398015e-08  -1.7852313006750562e-05  1.5649033358159082e-05  1.0004579454023657e+00  9.9846594832054225e-01  1.0025838374313636e+00  1.0004080960144950e+00  9.9924921897682384e-01  1.0016379950642025e+00  -1.3306971513568120e-08  -3.5054287629413467e-08  -4.0049717778770572e-09  1.0002954915110167e+00  9.9916948562324337e-01  1.0014763450815876e+00  1.0003267468431414e+00  9.9960098816912868e-01  1.0010884630992007e+00  -5.7030075937363359e-09  -1.1055228762302756e-08  -2.9832872017532357e-09
2.0000000000000000e+00  1.0012903919929363e+00  9.9059549879047837e-01  1.0146079719652723e+00  1.0008269573895414e+00  9.9558335085950744e-01  1.0073288217234557e+00  1.5403435986781353e-06  -3.5589740169400291e-04  5.0747753694473227e-04  1.0007261985843836e+00  9.9678903783853234e-01  1.0050118817427998e+00  1.0005432421719953e+00  9.9837551578085870e-01  1.0028858664906775e+00  8.2528508114797753e-08  -1.0915626926675793e-05  1.3050921154592778e-05  1.0004579413873058e+00  9.9846594642246433e-01  1.0025838269622858e+00  1.0004081079911247e+00  9.9924922740008704e-01  1.0016380221146595e+00  -1.6706337169882472e-08  -4.3435296260156548e-08  -6.8534594614994428e-09  1.0002954897947907e+00  9.9916948469681943e-01  1.0014763416219048e+00  1.0003267519736747e+00  9.9960099184841644e-01  1.0010884720351692e+00  -7.1495981523706223e-09  -1.3369660165785680e-08  -4.8307111454421191e-09
2.3999999999999901e+00  1.0012914306462586e+00  9.9049256738563174e-01  1.0147724851338504e+00  1.0008244363938665e+00  9.9585966231831125e-01  1.0068909222251492e+00  4.4146342649676096e-06  -4.6517345488296299e-04  6.9662053454893084e-04  1.0007262231321912e+00  9.9678798945530944e-01  1.0050110370953724e+00  1.0005432868170239e+00  9.9837733621039537e-01  1.0028878578626303e+00  9.5818203703361508e-08  -9.4592813421595663e-06  1.1209559901009823e-05  1.0004579364457413e+00  9.9846594441611025e-01  1.0025838140736187e+00  1.0004081227091286e+00  9.9924923695893875e-01  1.0016380559961402e+00  -2.0155960479219341e-08  -5.1725327828648974e-08  -8.7247935897394605e-09  1.0002954876859973e+00  9.9916948269565264e-01  1.0014763378377218e+00  1.0003267582694546e+00  9.9960099764912502e-01  1.0010884825608533e+00  -8.6147577108899587e-09  -1.5810521775845107e-08  -6.2998340870762552e-09
2.7999999999999798e+00  1.0012932009715461e+00  9.9039069769938293e-01  1.0149423278794030e+00  1.0008197281543234e+00  9.9614286666659613e-01  1.0063879158625844e+00  7.4513018051909608e-06  -5.2672130160251419e-04  8.1101805859665069e-04  1.0007262607340484e+00  9.9678720006465238e-01  1.0050117395114853e+00  1.0005433088305380e+00  9.9837950942724929e-01  1.0028876994964711e+00  1.2640591800184412e-07  -9.3172758335155750e-06  8.9124846702358083e-06  1.0004579305586314e+00  9.9846594181783199e-01  1.0025837992453799e+00  1.0004081402138882e+00  9.9924924820377992e-01  1.0016380959959934e+00  -2.3676912802876993e-08  -5.8794518778113764e-08  -9.2939756959498450e-09  1.0002954851790742e+00  9.9916948039004716e-01  1.0014763332902690e+00  1.0003267657448212e+00  9.9960100475339475e-01  1.0010884951888885e+00  -1.0097624769231737e-08  -1.8487901858387587e-08  -7.4478379269173442e-09
3.1999999999999802e+00  1.0012957311549160e+00  9.9029920957513151e-01  1.0151001922014269e+00  1.0008125867184714e+00  9.9649150204973658e-01  1.0058019498416990e+00  1.1031340060492173e-05  -5.8818138417806513e-04  8.8087353315432918e-04  1.0007263007822540e+00  9.9678715773308701e-01  1.0050137208831118e+00  1.0005433175620249e+00  9.9838072316578319e-01  1.0028848022577384e+00  1.1971762798460606e-07  -8.0363540473693577e-06  9.3104063612086856e-06  1.0004579237075517e+00  9.9846593833777886e-01  1.0025837826306627e+00  1.0004081605579280e+00  9.9924926157654492e-01  1.0016381417292914e+00  -2.7232561996959545e-08  -6.7357272924090876e-08  2.5141479593726587e-08  1.0002954822697492e+00  9.9916947842999404e-01  1.0014763280218912e+00  1.0003267744130753e+00  9.9960101182669459e-01  1.0010885099431777e+00  -1.1595613753372055e-08  -2.0448358734381073e-08  -8.2755724535156443e-09
3.5999999999999699e+00  1.0012991887671325e+00  9.9020770157949922e-01  1.0152508182905373e+00  1.0008025854319456e+00  9.9683900542100157e-01  1.0052035544790354e+00  1.5025829850650290e-05  -6.4771350879507439e-04  9.3741536114462054e-04  1.0007263229199939e+00  9.9678699137597815e-01  1.0050164010243483e+00  1.0005433494189320e+00  9.9838199493445334e-01  1.0028798565281822e+00  7.5147432789441837e-08  -7.5297575809944524e-06  1.0304567094675540e-05  1.0004579158975020e+00  9.9846593409460305e-01  1.0025837637893329e+00  1.0004081837495749e+00  9.9924927710885525e-01  1.0016381938447458e+00  -3.0839096731204825e-08  -1.3022324573111257e-07  7.3828666335657331e-08  1.0002954789536573e+00  9.9916947596423966e-01  1.0014763225667747e+00  1.0003267842870835e+00  9.9960102005917417e-01  1.0010885258395679e+00  -1.3113762336583695e-08  -2.3322516149955743e-08  -9.9572115801353542e-09
