# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  1.5899923378566331e+01  3.8000770847173023e+01  3.1999781070162072e+01  3.1999781069182429e+01  5.0451661299830359e+00  2.1015069374101365e+01  2.6001297398120439e+01  3.2000240075746689e+01  3.2000239934943203e+01  5.4268690137552156e+00
4.0000000000000002e-01  1.5900320553205217e+01  3.8000782768506070e+01  3.1999764189577242e+01  3.1999764190021889e+01  5.0454298257631125e+00  2.1022630143048758e+01  2.6001367283803923e+01  3.2000258417972447e+01  3.2000258314252839e+01  5.4266921227474469e+00
8.0000000000000004e-01  1.5895891003722536e+01  3.8000813315111920e+01  3.1999719601884625e+01  3.1999719606340740e+01  5.0461507187184900e+00  2.1035190183385360e+01  2.6001549043593695e+01  3.2000306305204418e+01  3.2000306300259055e+01  5.4262886549968563e+00
1.2000000000000000e+00  1.5889263382521895e+01  3.8000838501001645e+01  3.1999655306834686e+01  3.1999655317260491e+01  5.0470639698379411e+00  2.1049393477472790e+01  2.6001780098207085e+01  3.2000372774478869e+01  3.2000372912544869e+01  5.4258903244291306e+00
1.6000000000000001e+00  1.5883562309910634e+01  3.8000830859158555e+01  3.1999579008839646e+01  3.1999579026357775e+01  5.0478674826082006e+00  2.1062612825379357e+01  2.6001999134965537e+01  3.2000448191466162e+01  3.2000448496702184e+01  5.4256489907044330e+00
2.0000000000000000e+00  1.5880616923930251e+01  3.8000771033314663e+01  3.1999495126859816e+01  3.1999495151741634e+01  5.0484344430813488e+00  2.1073848535866261e+01  2.6002172763622802e+01  3.2000528537998214e+01  3.2000529012229201e+01  5.4255589553661707e+00
2.3999999999999901e+00  1.5880368425850419e+01  3.8000649492157315e+01  3.1999404528627373e+01  3.1999404560491001e+01  5.0488897590113382e+00  2.1083370579280491e+01  2.6002297891475568e+01  3.2000615623525313e+01  3.2000616242209510e+01  5.4254939884890740e+00
2.7999999999999798e+00  1.5881827771022195e+01  3.8000461482772231e+01  3.1999308056397293e+01  3.1999308094550553e+01  5.0495046128454097e+00  2.1091711650290652e+01  2.6002382806117705e+01  3.2000712298769386e+01  3.2000713014308296e+01  5.4253081102265739e+00
3.1999999999999802e+00  1.5884439117207224e+01  3.8000203795295668e+01  3.1999209304717539e+01  3.1999209348589673e+01  5.0505118097917627e+00  2.1098943755509779e+01  2.6002426525583612e+01  3.2000816873702377e+01  3.2000817633910522e+01  5.4249179544953465e+00
3.5999999999999699e+00  1.5888589643711690e+01  3.7999879522021530e+01  3.1999112624677110e+01  3.1999112674115512e+01  5.0519810333432540e+00  2.1104836638913788e+01  2.6002420153167169e+01  3.2000923666734344e+01  3.2000924437501290e+01  5.4243206339006083e+00
3.9999999999999600e+00  1.5894882258052377e+01  3.7999508840587211e+01  3.1999016961879274e+01  3.1999017017050715e+01  5.0538226544119640e+00  2.1109633368050584e+01  2.6002373553680016e+01  3.2001030726268034e+01  3.2001031502832042e+01  5.4235670820769908e+00
4.3999999999999497e+00  1.5902870631101962e+01  3.7999136996508767e+01  3.1998910937424437e+01  3.1998910998695202e+01  5.0558830393274965e+00  2.1114676869129489e+01  2.6002344306898419e+01  3.2001147588398545e+01  3.2001148388767831e+01  5.4227445998930550e+00
4.7999999999999403e+00  1.5910538532407362e+01  3.7998829741111493e+01  3.1998775100316674e+01  3.1998775168495396e+01  5.0580211334989107e+00  2.1122237203303285e+01  2.6002440628351945e+01  3.2001295174185081e+01  3.2001296019106817e+01  5.4219939941507427e+00
5.1999999999999300e+00  1.5915185600206520e+01  3.7998654279207905e+01  3.1998591695774820e+01  3.1998591772014855e+01  5.0600980685744865e+00  2.1134575556278055e+01  2.6002788384337343e+01  3.2001496428957736e+01  3.2001497320882777e+01  5.4215326403382740e+00
5.5999999999999304e+00  1.5915057996051431e+01  3.7998653809693486e+01  3.1998355864289721e+01  3.1998355949299331e+01  5.0619333204025061e+00  2.1152862643210639e+01  2.6003478664579372e+01  3.2001763567397120e+01  3.2001764477492401e+01  5.4216381977175807e+00
5.9999999999999201e+00  1.5910518777976648e+01  3.7998827524011475e+01  3.1998080941887906e+01  3.1998081035355803e+01  5.0633171466584326e+00  2.1176661489958999e+01  2.6004527805699389e+01  3.2002090371029539e+01  3.2002091236936160e+01  5.4225753741811058e+00
