# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0024424426527321e+00  9.7990689985501644e-01  1.0260023045684037e+00  1.0014314527979411e+00  9.8465391202795427e-01  1.0194051753809299e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0013508478468618e+00  9.9424661228567468e-01  1.0095363542511260e+00  1.0008258549298308e+00  9.9707387695088345e-01  1.0050690417331358e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
4.0000000000000002e-01  1.0024497379625055e+00  9.7986534265532832e-01  1.0260449389786217e+00  1.0014295998859934e+00  9.8478176675145757e-01  1.0192829653557591e+00  2.4560259372178221e-05  -6.8803428231678650e-04  6.8608555706576625e-04  1.0013501400340323e+00  9.9421987865912753e-01  1.0094937724911819e+00  1.0008255057680580e+00  9.9705812620356871e-01  1.0050415310092393e+00  -1.8190775589107615e-08  -1.6308369743717660e-04  2.2140557401237774e-04
8.0000000000000004e-01  1.0024582354271832e+00  9.7974136753051844e-01  1.0261723464372750e+00  1.0014124956562318e+00  9.8516372331508029e-01  1.0189137874966183e+00  2.8320599657457136e-05  -1.0119889370085544e-03  1.0876661919514803e-03  1.0013502684385687e+00  9.9420879863532730e-01  1.0094694441208114e+00  1.0008254873396134e+00  9.9706046539070070e-01  1.0050730676429189e+00  7.7606936725399174e-07  -1.4471685081767757e-04  1.0145360259538507e-04
1.2000000000000000e+00  1.0024675354458101e+00  9.7954764691377083e-01  1.0263808612821936e+00  1.0013837404415136e+00  9.8577386106197495e-01  1.0183032707442023e+00  3.3928740895837328e-05  -1.4009639682027622e-03  1.5081454604171716e-03  1.0013503770735970e+00  9.9420646308258820e-01  1.0094791362145543e+00  1.0008256431863483e+00  9.9706209413200997e-01  1.0050977589955541e+00  3.8131791549246790e-07  -9.8878349420152451e-05  8.4091019500231526e-05
1.6000000000000001e+00  1.0024798237831791e+00  9.7931912421472078e-01  1.0266628416456285e+00  1.0013448815252688e+00  9.8653263545416059e-01  1.0174702853063466e+00  4.5543836644254840e-05  -1.6570428224304660e-03  1.8664144062741845e-03  1.0013503786798390e+00  9.9420725191398107e-01  1.0095091756894166e+00  1.0008260760798220e+00  9.9705789367855813e-01  1.0050726615182282e+00  1.8340953574886157e-07  -9.6385479569926786e-05  9.0182461562899173e-05
2.0000000000000000e+00  1.0024968098195892e+00  9.7905915750141193e-01  1.0270469524920491e+00  1.0012940688137775e+00  9.8739347328783456e-01  1.0163812543548467e+00  6.0840315520742217e-05  -1.8951730107412874e-03  2.2424728055243149e-03  1.0013504816512517e+00  9.9420505100471335e-01  1.0095207311820045e+00  1.0008264125024451e+00  9.9705818398224433e-01  1.0050618189986931e+00  4.8708934182355631e-07  -8.2192941990467226e-05  7.7242622805572350e-05
2.3999999999999901e+00  1.0025182766807095e+00  9.7859761715666826e-01  1.0276948245500377e+00  1.0012310672212918e+00  9.8842063147229076e-01  1.0148533871177003e+00  7.5760866806680530e-05  -1.9720987783675347e-03  2.5940402063292529e-03  1.0013507212694421e+00  9.9419608317055197e-01  1.0095327718635942e+00  1.0008264651397902e+00  9.9707118823616703e-01  1.0050498844548685e+00  7.8377027469613940e-07  -6.6157466394129301e-05  8.4792098987153066e-05
2.7999999999999798e+00  1.0025428231833704e+00  9.7805356612651428e-01  1.0285521676517673e+00  1.0011577951629120e+00  9.8990670339835540e-01  1.0129697263838313e+00  8.7711552052825316e-05  -2.1977930210261279e-03  2.8401511710934757e-03  1.0013510545837569e+00  9.9416467141273646e-01  1.0095779920239278e+00  1.0008262465014250e+00  9.9712859542797605e-01  1.0049828677593546e+00  1.2376944109072649e-06  -1.1648443514995272e-04  1.8794376452645211e-04
3.1999999999999802e+00  1.0025682312398227e+00  9.7743431170589623e-01  1.0292759801906155e+00  1.0010781952941630e+00  9.9179057597292120e-01  1.0108306840782459e+00  9.3379202258146688e-05  -2.4506071261491441e-03  2.7195898217659137e-03  1.0013517091319071e+00  9.9410385892316300e-01  1.0096717059908717e+00  1.0008253216588439e+00  9.9724993491524827e-01  1.0048198877620664e+00  2.6207381343197530e-06  -2.0764250870244691e-04  3.3849821045422047e-04
3.5999999999999699e+00  1.0025914042864132e+00  9.7685108296687140e-01  1.0298266005644201e+00  1.0009986816608885e+00  9.9377405511867978e-01  1.0087971171491712e+00  9.0413537132944788e-05  -2.4775017297012964e-03  2.3305216597804997e-03  1.0013531133378255e+00  9.9401614386176296e-01  1.0098111763520496e+00  1.0008227705011192e+00  9.9743813333967135e-01  1.0045684444892129e+00  5.2827977988809298e-06  -3.0124910826524786e-04  4.9264505335343527e-04
