# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  8.2406443506462134e-07  4.3299009567930802e-07  5.5959930499620669e-01  3.2383972199848268e+00  5.5688222490799111e-01
8.0000000000000004e-01  1.2190306122821162e-06  6.0660293148928115e-07  5.9362933493628800e-01  3.3745173397451520e+00  8.0659594710858828e-01
1.6000000000000001e+00  9.4486589115576850e-07  5.6049432011910968e-07  6.4409790006698442e-01  3.5763916002679377e+00  6.9788938225067465e-01
2.3999999999999901e+00  5.6842676885139839e-07  3.1481454219515629e-07  6.0364467919366027e-01  3.4145787167746411e+00  5.8490392428075300e-01
3.1999999999999802e+00  9.3171838517380449e-07  4.6860812392305419e-07  6.0156386196030798e-01  3.4062554478412319e+00  6.0750644704089241e-01
3.9999999999999600e+00  2.0041633457946438e-07  1.0286302592096389e-07  5.7718164877241795e-01  3.3087265950896718e+00  3.1135990074670594e-01
4.7999999999999403e+00  1.8744717911484206e-07  1.1888444890512533e-07  6.0910194990433608e-01  3.4364077996173443e+00  2.2978001910668611e-01
5.5999999999999304e+00  5.4524783473417096e-07  3.2047930451622136e-07  5.9191460881812075e-01  3.3676584352724830e+00  4.2093150564336856e-01
6.3999999999999098e+00  9.2833857804858278e-07  5.5723441196145919e-07  5.8373682266784210e-01  3.3349472906713684e+00  1.4233599309649328e-01
7.1999999999998900e+00  1.2969160357833177e-06  7.9448626148577816e-07  5.7153264678147353e-01  3.2861305871258941e+00  1.4594238491078346e-01
7.9999999999998703e+00  1.8260475464691572e-06  1.2589613164435249e-06  5.8176862625659997e-01  3.3270745050263999e+00  3.7347149559334264e-01
8.7999999999998604e+00  1.8483175965665175e-06  1.3042402144156233e-06  5.6468534147280824e-01  3.2587413658912330e+00  3.7404705217639628e-01
9.5999999999998398e+00  3.2003783061698633e-06  2.2175365129701804e-06  6.4924976820646585e-01  3.5969990728258634e+00  2.1463322281865918e-01
1.0399999999999800e+01  4.0816942833787524e-06  2.9115688085527810e-06  6.4585786340647977e-01  3.5834314536259191e+00  1.7577268578088845e-01
1.1199999999999800e+01  4.8125119099017733e-06  3.3021923865718879e-06  6.1626456342179725e-01  3.4650582536871890e+00  5.5768360760983043e-02
1.1999999999999799e+01  4.1685676435719588e-06  2.7206689342153982e-06  5.8685640516390369e-01  3.3474256206556148e+00  1.0995650511146543e-01
1.2799999999999800e+01  4.2533044750940095e-06  3.0022106204211391e-06  5.8549582002266465e-01  3.3419832800906586e+00  5.6328776469773922e-01
1.3599999999999801e+01  6.2084409828752183e-06  4.1807280059182840e-06  5.8903848926533908e-01  3.3561539570613563e+00  5.2902285072984667e-01
1.4399999999999700e+01  8.9216716401806917e-06  5.6237691213445183e-06  5.6592478553546777e-01  3.2636991421418711e+00  4.5586725309005560e-01
1.5199999999999701e+01  8.3212276324759287e-06  5.3283831246976365e-06  5.7200858788175091e-01  3.2880343515270036e+00  3.3644463938953284e-01
1.5999999999999700e+01  5.9339987275674329e-06  4.0362557464705336e-06  6.1141122542847959e-01  3.4456449017139184e+00  3.5060896475897974e-01
1.6799999999999802e+01  6.6693715405477429e-06  4.7904316948738287e-06  6.9672862153855020e-01  3.7869144861542008e+00  3.9866819655466551e-01
1.7600000000000001e+01  9.4540650865744218e-06  6.8328148962519363e-06  7.2781850293417327e-01  3.9112740117366931e+00  5.7695849867850935e-01
1.8400000000000102e+01  1.2351537115997206e-05  8.7262958227330029e-06  6.6754602098957438e-01  3.6701840839582975e+00  4.5957674569196594e-01
1.9200000000000198e+01  1.4666338137436797e-05  1.0167649644089496e-05  6.1209289736235339e-01  3.4483715894494136e+00  2.7584448473832829e-01
2.0000000000000298e+01  1.5439177429173424e-05  1.0796825336964052e-05  6.1112299707195428e-01  3.4444919882878171e+00  2.8548778221565135e-01
2.0800000000000502e+01  1.5374468963149474e-05  1.0943496956516291e-05  6.0609708317837774e-01  3.4243883327135110e+00  5.1798474996425614e-01
2.1600000000000598e+01  1.6741240281805518e-05  1.1892369356945847e-05  5.6017978068693097e-01  3.2407191227477239e+00  5.5515494750764671e-01
2.2400000000000698e+01  1.9566021680083109e-05  1.3669289208827546e-05  6.0699353218939844e-01  3.4279741287575938e+00  2.6465104378027987e-01
2.3200000000000799e+01  2.0482725196561498e-05  1.4421867920149690e-05  6.1210405610641161e-01  3.4484162244256464e+00  3.4841576664708890e-01
2.4000000000000998e+01  2.1144977783682000e-05  1.5078578232447516e-05  6.5904533208992921e-01  3.6361813283597169e+00  5.4698374052100363e-01
2.4800000000001098e+01  2.2613724754018429e-05  1.6123533098481650e-05  6.4785063854234370e-01  3.5914025541693748e+00  6.0992982120614037e-01
2.5600000000001199e+01  2.4135069084223678e-05  1.7209750925804486e-05  5.8349403369181352e-01  3.3339761347672541e+00  7.3439965812556263e-01
2.6400000000001299e+01  2.6105676039477049e-05  1.8595020985878004e-05  6.1713366043620588e-01  3.4685346417448235e+00  6.4669452540527450e-01
2.7200000000001499e+01  2.8032478109945733e-05  1.9976206693356136e-05  6.1839447147925974e-01  3.4735778859170390e+00  6.8375344944444527e-01
2.8000000000001599e+01  2.9994589948429915e-05  2.1402031696684902e-05  6.3826223234214385e-01  3.5530489293685754e+00  8.4854017666825265e-01
2.8800000000001699e+01  3.2297184422212886e-05  2.3029592365274036e-05  6.6237142432388796e-01  3.6494856972955518e+00  9.1496334234178633e-01
2.9600000000001799e+01  3.4816972766289788e-05  2.4797485761094407e-05  6.6453176761021138e-01  3.6581270704408455e+00  9.2439288712096213e-01
3.0400000000001999e+01  3.7535178655291487e-05  2.6694286421333546e-05  6.7016748608011179e-01  3.6806699443204471e+00  9.1246787159929288e-01
3.1200000000002099e+01  4.0467284215830000e-05  2.8731695113829083e-05  6.6084617175922122e-01  3.6433846870368849e+00  9.1519256560780926e-01
3.2000000000002203e+01  4.3647005018884889e-05  3.0935007747668346e-05  6.5560203535144601e-01  3.6224081414057840e+00  9.2751864557233488e-01
3.2800000000002001e+01  4.7048377473911463e-05  3.3280794509969039e-05  6.4603279062402974e-01  3.5841311624961190e+00  9.2372706448127173e-01
3.3600000000001899e+01  5.0577727649564409e-05  3.5697955374205820e-05  6.3802638238883991e-01  3.5521055295553596e+00  9.1506941981699874e-01
3.4400000000001697e+01  5.4189618639978226e-05  3.8152884401444721e-05  6.3660580816928070e-01  3.5464232326771228e+00  9.1399800874759607e-01
3.5200000000001602e+01  5.7912536516480240e-05  4.0665873950659743e-05  6.4154255914596503e-01  3.5661702365838601e+00  9.1417162968330223e-01
3.6000000000001400e+01  6.1777702100017517e-05  4.3261463173346781e-05  6.4527912833271883e-01  3.5811165133308753e+00  9.1207826043774554e-01
3.6800000000001198e+01  6.5792612538809073e-05  4.5945129865923050e-05  6.4388067299772067e-01  3.5755226919908827e+00  9.0973443690392242e-01
3.7600000000001103e+01  6.9992105746513369e-05  4.8739589593050294e-05  6.4027808287725108e-01  3.5611123315090043e+00  9.0858299526147968e-01
3.8400000000000901e+01  7.4492590575778850e-05  5.1728404361289769e-05  6.3621155563458975e-01  3.5448462225383590e+00  9.0805230133888226e-01
3.9200000000000799e+01  7.9394704077475568e-05  5.4975436753432128e-05  6.3554657527973579e-01  3.5421863011189432e+00  9.0725183864060321e-01
4.0000000000000597e+01  8.4692066148097601e-05  5.8464546183700136e-05  6.3761962487215251e-01  3.5504784994886101e+00  9.0555351111926863e-01
