time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  9.3545277597545614e-09
8.0000000000000004e-01  -6.3650695703669875e-17  1.2712476149335892e-08
1.6000000000000001e+00  -4.2503089486785275e-17  2.1879137254865607e-08
2.3999999999999901e+00  3.4242364999818977e-17  2.8831322510971691e-08
3.1999999999999802e+00  7.0629228165150547e-17  3.0589851827183749e-08
3.9999999999999600e+00  2.3971437655705681e-17  3.0044479732425596e-08
4.7999999999999403e+00  -4.6733096050083110e-17  2.8653546581716020e-08
5.5999999999999304e+00  -5.2103669497468459e-17  2.6545833216310484e-08
6.3999999999999098e+00  1.6499650580338213e-17  2.4220293281962020e-08
7.1999999999998900e+00  7.3407250582361189e-17  2.2288901938923866e-08
7.9999999999998703e+00  4.5764098557750467e-17  2.0938716658605126e-08
8.7999999999998604e+00  -3.2389444639694446e-17  2.0117400004395194e-08
9.5999999999998398e+00  -6.1293686886356055e-17  1.9575593470182346e-08
1.0399999999999800e+01  -2.8675508402802794e-18  1.9513457541664604e-08
1.1199999999999800e+01  6.9517642256562898e-17  1.8839167470453151e-08
1.1999999999999799e+01  5.7964579650042220e-17  2.0823869810953502e-08
1.2799999999999800e+01  -9.0756696466371309e-18  2.3798529368573651e-08
1.3599999999999801e+01  -4.7369033997128047e-17  2.9086498789435484e-08
1.4399999999999700e+01  9.0966696327114659e-17  3.3740735040426430e-08
1.5199999999999701e+01  5.7867786594639737e-16  3.4585434138945578e-08
1.5999999999999700e+01  3.0017431550050408e-15  3.1538969866452774e-08
1.6799999999999802e+01  1.3215880057386800e-14  3.0098664049945439e-08
1.7600000000000001e+01  8.1896451048154264e-14  3.1936500034764379e-08
1.8400000000000102e+01  1.5967465395098677e-13  3.6309137681860297e-08
1.9200000000000198e+01  7.3994814135157248e-13  3.4624246468384032e-08
2.0000000000000298e+01  2.6365802395216385e-12  2.8954270733980812e-08
2.0800000000000502e+01  3.8044134011078831e-12  3.1648758164217027e-08
2.1600000000000598e+01  1.7416877537254632e-11  4.1747671802100042e-08
2.2400000000000698e+01  2.3230855999476559e-11  5.0510575026537332e-08
2.3200000000000799e+01  6.6021179177330757e-11  7.1002781987856347e-08
2.4000000000000998e+01  8.8176314844383996e-11  8.2812861393386731e-08
2.4800000000001098e+01  1.9186578395596874e-10  9.0183320295292087e-08
2.5600000000001199e+01  2.0218219416431564e-10  8.6134435263078943e-08
2.6400000000001299e+01  3.8344750434886778e-10  1.0355589460056373e-07
2.7200000000001499e+01  3.1642932536998693e-10  1.0691436969687573e-07
2.8000000000001599e+01  5.2241109609514440e-10  1.1597331445297939e-07
2.8800000000001699e+01  4.0844822582856932e-10  1.0980172105907277e-07
2.9600000000001799e+01  6.2419931530919590e-10  1.0699693831459901e-07
3.0400000000001999e+01  6.7013083416829537e-10  1.0840490204576185e-07
3.1200000000002099e+01  9.3400306835537315e-10  8.8131617001964771e-08
3.2000000000002203e+01  1.0239613820816962e-09  1.0594846104056772e-07
3.2800000000002001e+01  1.2604925973138067e-09  8.6521170292063517e-08
3.3600000000001899e+01  1.0967933636466817e-09  9.4374138878589656e-08
3.4400000000001697e+01  1.1637912341065126e-09  8.8722769187089569e-08
3.5200000000001602e+01  9.7795802215159818e-10  6.3210013785942498e-08
3.6000000000001400e+01  9.0759110436226621e-10  5.1578754196296652e-08
3.6800000000001198e+01  9.4580176385706768e-10  3.6331570520426558e-08
3.7600000000001103e+01  8.6212509708815187e-10  4.4139318335634871e-08
3.8400000000000901e+01  9.3563350468980252e-10  5.1344028053423316e-08
3.9200000000000799e+01  9.1630705271706498e-10  4.7023284887401103e-08
4.0000000000000597e+01  8.3161506749088733e-10  4.6041370285668274e-08
4.0800000000000502e+01  8.2709850433542389e-10  3.8355219647127734e-08
4.1600000000000300e+01  7.2015558483016628e-10  4.4888152178008520e-08
4.2400000000000098e+01  6.7898505988146271e-10  4.5530871828283762e-08
4.3200000000000003e+01  5.4389952385521957e-10  4.6449034677424968e-08
4.3999999999999801e+01  5.1267488865915834e-10  5.2541654393320732e-08
4.4799999999999699e+01  3.9740102651925751e-10  4.9642809985862301e-08
4.5599999999999497e+01  3.5752276290146319e-10  5.7041775575435750e-08
4.6399999999999302e+01  3.3909716056823587e-10  5.5341260157543115e-08
4.7199999999999200e+01  4.7583403295238665e-10  5.6147341116976063e-08
4.7999999999998998e+01  4.1775638797025176e-10  6.4015597642937106e-08
4.8799999999998903e+01  4.4945965813542370e-10  6.0001675239728677e-08
4.9599999999998701e+01  5.2952737702500816e-10  5.9597620354172778e-08
5.0399999999998499e+01  4.2890927371867412e-10  6.5085451748129501e-08
5.1199999999998397e+01  3.8890728461196245e-10  6.2331423417300790e-08
5.1999999999998202e+01  4.5975887032769536e-10  7.7037670476967812e-08
5.2799999999998100e+01  5.0618868573068257e-10  6.4055424100097195e-08
5.3599999999997898e+01  3.5394647055527310e-10  7.2269566059347203e-08
5.4399999999997704e+01  4.3790043679915323e-10  7.4034756987243081e-08
5.5199999999997601e+01  4.1432498577899543e-10  7.4494761120010473e-08
5.5999999999997399e+01  3.7407309972174480e-10  8.9143263384446663e-08
5.6799999999997297e+01  3.4444311475487896e-10  6.8894904153975083e-08
