# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  7.9472465837496440e+00  2.4551160005931646e-02  6.6419753243758484e+00  2.7556671788255677e-01  3.1920973771883752e+01  3.2000000000000014e+01  3.2000000000000000e+01  4.7999999999999998e+00  7.9470550931511887e+00  6.6422425766954847e+00  2.7634445236644456e-01  4.3375355098767940e+00  7.4559277604039853e-01  4.4068764575965442e+00  7.3603051322509383e-01  4.9206580087864493e-01  9.8961493962662328e-01
8.0000000000000004e-01  7.9533919210226891e+00  2.4619320018679430e-02  6.6419975462534158e+00  2.7556234073878128e-01  3.1920384660147402e+01  3.2000000000000256e+01  3.2000000000000000e+01  4.7999999999999998e+00  7.9531938007267007e+00  6.6422693221905433e+00  2.7633728052439982e-01  4.3377548634011314e+00  7.4557066672940653e-01  4.4067498707515886e+00  7.3606352438801026e-01  4.9200327152702811e-01  9.8961458336376873e-01
1.6000000000000001e+00  7.9596643046783484e+00  2.4560048147910352e-02  6.6420560182753965e+00  2.7557413018106525e-01  3.1919593994527812e+01  3.2000000000002572e+01  3.1999999999999996e+01  4.7999999999999998e+00  7.9594539483647733e+00  6.6423349828072107e+00  2.7478135471882215e-01  4.3381880766573371e+00  7.4558194611973649e-01  4.4065370401758139e+00  7.3616809748990508e-01  4.9191685953551600e-01  9.8962702709429529e-01
2.3999999999999901e+00  7.9661393488885981e+00  2.4491322089481283e-02  6.6420814924389022e+00  2.7558337404483324e-01  3.1920113457937813e+01  3.2000000000007596e+01  3.1999999999999986e+01  4.7999999999999998e+00  7.9659176492460908e+00  6.6423611305746224e+00  2.7479244775128109e-01  4.3384936284046400e+00  7.4556149428107432e-01  4.4063192568317291e+00  7.3621680699544301e-01  4.9196322890569305e-01  9.8964144962121803e-01
3.1999999999999802e+00  7.9725495919562892e+00  2.4588541396969327e-02  6.6420919669559053e+00  2.7557296525226244e-01  3.1922391942809842e+01  3.2000000000014296e+01  3.1999999999999957e+01  4.7999999999999998e+00  7.9723268453281602e+00  6.6423618584334099e+00  2.7634579589634922e-01  4.3388631678316685e+00  7.4517614145503597e-01  4.4059612149243179e+00  7.3615779054946640e-01  4.9218630646427247e-01  9.8960485822780653e-01
3.9999999999999600e+00  7.9786808817200416e+00  2.4610770789963710e-02  6.6421188804370628e+00  2.7395550238771266e-01  3.1925498442054394e+01  3.2000000000023938e+01  3.1999999999999893e+01  4.7999999999999998e+00  7.9784707099007424e+00  6.6423729795755557e+00  2.7595238436215636e-01  4.3396235375878343e+00  7.4472558803171351e-01  4.4052727482887981e+00  7.3644751681046150e-01  4.9248558549774174e-01  9.8958356578799289e-01
4.7999999999999403e+00  7.9841773229882769e+00  2.4547770300484630e-02  6.6421679926144526e+00  2.7394831775188394e-01  3.1928000622428375e+01  3.2000000000029914e+01  3.1999999999999769e+01  4.7999999999999998e+00  7.9839861247797881e+00  6.6424092810429283e+00  2.7594092420570154e-01  4.3407918836173538e+00  7.4442470163958263e-01  4.4042804298910845e+00  7.3697733587344094e-01  4.9271249116546534e-01  9.8967113647746541e-01
5.5999999999999304e+00  7.9893127350439848e+00  2.4511202147002129e-02  6.6421363239487876e+00  2.7395307093282573e-01  3.1929533455618984e+01  3.2000000000013834e+01  3.1999999999999513e+01  4.7999999999999998e+00  7.9891372899190873e+00  6.6423716393692338e+00  2.7594295448450967e-01  4.3419499306442528e+00  7.4439017746671310e-01  4.4030750672006729e+00  7.3744203022455157e-01  4.9283350081813299e-01  9.8965560519395346e-01
6.3999999999999098e+00  7.9949405226353072e+00  2.4529424167125551e-02  6.6419600226885862e+00  2.7397694674825157e-01  3.1931283142081984e+01  3.1999999999962274e+01  3.1999999999998998e+01  4.7999999999999998e+00  7.9947749561373929e+00  6.6421903538973455e+00  2.7539090816817458e-01  4.3428778024884203e+00  7.4430771760832237e-01  4.4016542416460842e+00  7.3754876185837037e-01  4.9297302196062842e-01  9.8966937679434674e-01
7.1999999999998900e+00  8.0013812643437774e+00  2.4559929005277509e-02  6.6417618630002977e+00  2.7256473955311949e-01  3.1934274421903986e+01  3.1999999999873431e+01  3.1999999999997975e+01  4.7999999999999998e+00  8.0012226477492661e+00  6.6419820081695322e+00  2.7542219406038160e-01  4.3440815018262331e+00  7.4420293568503737e-01  4.3998903998821817e+00  7.3768882032859595e-01  4.9323147845556359e-01  9.8967947493039554e-01
