# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  7.1351385724804626e-12  2.8692197295397587e-12  4.0843402483412961e-01  2.6337360993365184e+00  8.9158148883328747e-01
8.0000000000000004e-01  4.9867134556295100e-12  2.2049367680635819e-12  4.1229818995881284e-01  2.6491927598352514e+00  8.7667164717631263e-01
1.6000000000000001e+00  5.9641219286737370e-12  2.2667953629927671e-12  3.5279602790785003e-01  2.4111841116314001e+00  8.9105256073047745e-01
2.3999999999999901e+00  5.8310740680344094e-12  2.1024550983523276e-12  2.7737996063177328e-01  2.1095198425270931e+00  8.8538434576520320e-01
3.1999999999999802e+00  6.7346390163425604e-12  2.2216650195506251e-12  2.7471126458842687e-01  2.0988450583537075e+00  9.1424082806033191e-01
3.9999999999999600e+00  9.4084333516552078e-12  3.9461976787887786e-12  2.7836266092725148e-01  2.1134506437090059e+00  9.1147631079991653e-01
4.7999999999999403e+00  1.2158530609954272e-11  6.0755472930662821e-12  5.2335629074536039e-01  3.0934251629814415e+00  9.3491330508162673e-01
5.5999999999999304e+00  1.7005573520238694e-11  1.0183896301691690e-11  4.4675384321584144e-01  2.7870153728633658e+00  9.3449113813280626e-01
6.3999999999999098e+00  2.2573203682734537e-11  1.4310347271145388e-11  4.9036364565107282e-01  2.9614545826042913e+00  9.2853358252039275e-01
7.1999999999998900e+00  2.2492376868742851e-11  1.3458706582348101e-11  6.3186363571576631e-01  3.5274545428630653e+00  8.6982901852466143e-01
7.9999999999998703e+00  2.1045679728576933e-11  1.3036375522081629e-11  6.7834382956995531e-01  3.7133753182798213e+00  7.7798470609400361e-01
8.7999999999998604e+00  1.5069247584744261e-11  8.3393133705961896e-12  6.1385967896150750e-01  3.4554387158460300e+00  7.0950518255465156e-01
9.5999999999998398e+00  1.2692854136094057e-11  6.8329742017183297e-12  6.4119321625797121e-01  3.5647728650318848e+00  4.2589138403784510e-01
1.0399999999999800e+01  1.2767150272869818e-11  6.8895799373719423e-12  6.3612594212415507e-01  3.5445037684966203e+00  3.4833323637679653e-01
1.1199999999999800e+01  1.5242778529688551e-11  8.3962790538852856e-12  6.3683438648447022e-01  3.5473375459378809e+00  1.6767032485039177e-01
1.1999999999999799e+01  1.9783880934862961e-11  1.1965232629332628e-11  6.5471138117095595e-01  3.6188455246838238e+00  2.8325268870766643e-02
1.2799999999999800e+01  2.7506516236362248e-11  1.7800118757754752e-11  6.7838672229943386e-01  3.7135468891977355e+00  9.7094337087526947e-02
1.3599999999999801e+01  3.6363539391940830e-11  2.4216077511181972e-11  6.8948189296477924e-01  3.7579275718591170e+00  1.3420682668207518e-01
1.4399999999999700e+01  4.1357726300442628e-11  2.7896938703922079e-11  6.9927345388752249e-01  3.7970938155500900e+00  8.8705854342610704e-02
1.5199999999999701e+01  4.2657376827065501e-11  2.8860915135576391e-11  7.0220557982780907e-01  3.8088223193112363e+00  2.5175450013200949e-02
1.5999999999999700e+01  4.2695504714976859e-11  2.8794722729232803e-11  7.0700472026466576e-01  3.8280188810586631e+00  1.7454337023054625e-01
1.6799999999999802e+01  4.5593141023159886e-11  3.0916630653694951e-11  7.1615810701138027e-01  3.8646324280455211e+00  5.2438636952543516e-01
1.7600000000000001e+01  5.1325767352111236e-11  3.5139255102150483e-11  6.9635064089707477e-01  3.7854025635882991e+00  9.0705165780022190e-01
1.8400000000000102e+01  5.9613073835419679e-11  4.1200912901058621e-11  6.7182086170542488e-01  3.6872834468216995e+00  9.2430132975859880e-01
1.9200000000000198e+01  6.8921728099335676e-11  4.8079072297197190e-11  7.1002136813921779e-01  3.8400854725568712e+00  8.3366705471602731e-01
2.0000000000000298e+01  7.8286216193020601e-11  5.5000994207416575e-11  6.9032065991813218e-01  3.7612826396725287e+00  9.4177234665643583e-01
2.0800000000000502e+01  8.9154720011747226e-11  6.3017089625763373e-11  7.2173419910537384e-01  3.8869367964214954e+00  8.8172183285854733e-01
