# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  3.9105682550128438e+00  3.7000308984201602e+01  3.1999999999999979e+01  3.1999999999999982e+01  4.3375355098767949e+00  4.0366783287367998e+00  2.7000322330213187e+01  3.2000000000000043e+01  3.2000000000000021e+01  4.4068764575965460e+00
8.0000000000000004e-01  3.9130948448797973e+00  3.7000343884797566e+01  3.2000000000000618e+01  3.2000000000000000e+01  4.3377548634011314e+00  4.0402970761428918e+00  2.7000359751198094e+01  3.1999999999999908e+01  3.2000000000000000e+01  4.4067498707515877e+00
1.6000000000000001e+00  3.9154930677143200e+00  3.7000414055046797e+01  3.2000000000007518e+01  3.1999999999999993e+01  4.3381880766573371e+00  4.0441712369640284e+00  2.7000436382349047e+01  3.1999999999997787e+01  3.2000000000000007e+01  4.4065370401758139e+00
2.3999999999999901e+00  3.9190476359919302e+00  3.7000465980075496e+01  3.2000000000022915e+01  3.1999999999999996e+01  4.3384936284046409e+00  4.0470917128966679e+00  2.7000495877134632e+01  3.1999999999992752e+01  3.1999999999999979e+01  4.4063192568317300e+00
3.1999999999999802e+00  3.9239797367682088e+00  3.7000507788758597e+01  3.2000000000041254e+01  3.1999999999999989e+01  4.3388631678316685e+00  4.0485698551880809e+00  2.7000549318573160e+01  3.1999999999988169e+01  3.1999999999999915e+01  4.4059612149243170e+00
3.9999999999999600e+00  3.9293853255335325e+00  3.7000611688123840e+01  3.2000000000056687e+01  3.1999999999999950e+01  4.3396235375878343e+00  4.0492955561865092e+00  2.7000672571031313e+01  3.1999999999992173e+01  3.1999999999999840e+01  4.4052727482887981e+00
4.7999999999999403e+00  3.9339038987163706e+00  3.7000833106416280e+01  3.2000000000039250e+01  3.1999999999999861e+01  4.3407918836173538e+00  4.0502734242719063e+00  2.7000917091053594e+01  3.2000000000020833e+01  3.1999999999999670e+01  4.4042804298910854e+00
5.5999999999999304e+00  3.9374009643426193e+00  3.7001145732262628e+01  3.1999999999953339e+01  3.1999999999999684e+01  4.3419499306442528e+00  4.0519117707013654e+00  2.7001249672832650e+01  3.2000000000072632e+01  3.1999999999999339e+01  4.4030750672006738e+00
6.3999999999999098e+00  3.9412899898390137e+00  3.7001490573517955e+01  3.1999999999781917e+01  3.1999999999999314e+01  4.3428778024884194e+00  4.0536505327962935e+00  2.7001613543222607e+01  3.2000000000137632e+01  3.1999999999998696e+01  4.4016542416460842e+00
7.1999999999998900e+00  3.9465331106989279e+00  3.7001882506637735e+01  3.1999999999501636e+01  3.1999999999998568e+01  4.3440815018262331e+00  4.0548481536448513e+00  2.7002034707706528e+01  3.2000000000235275e+01  3.1999999999997385e+01  4.3998903998821808e+00
7.9999999999998703e+00  3.9521001734014516e+00  3.7002412953526211e+01  3.1999999999078629e+01  3.1999999999997048e+01  4.3461507742470351e+00  4.0557932582855347e+00  2.7002609595497120e+01  3.2000000000403141e+01  3.1999999999994785e+01  4.3977280793550371e+00
8.7999999999998604e+00  3.9561806864720634e+00  3.7003127239725849e+01  3.1999999998498474e+01  3.1999999999993975e+01  4.3488736687330194e+00  4.0572561931262339e+00  2.7003379142422837e+01  3.2000000000648456e+01  3.1999999999989669e+01  4.3953980131278927e+00
9.5999999999998398e+00  3.9587458325971951e+00  3.7003955818583314e+01  3.1999999997750045e+01  3.1999999999988024e+01  4.3516528447403893e+00  4.0594492027027158e+00  2.7004277357363158e+01  3.2000000000959581e+01  3.1999999999979472e+01  4.3932013192960087e+00
1.0399999999999800e+01  3.9617647050206646e+00  3.7004806823944001e+01  3.1999999996803595e+01  3.1999999999974452e+01  4.3550637834956918e+00  4.0619001425211092e+00  2.7005243053491771e+01  3.2000000001342798e+01  3.1999999999959432e+01  4.3913743973952846e+00
1.1199999999999800e+01  3.9665861218363991e+00  3.7005684754559944e+01  3.1999999995634667e+01  3.1999999999947779e+01  4.3614167473576329e+00  4.0643555719150486e+00  2.7006333492789885e+01  3.2000000001814726e+01  3.1999999999919588e+01  4.3905581341149604e+00
1.1999999999999799e+01  3.9720978941298988e+00  3.7006673293036755e+01  3.1999999994194557e+01  3.1999999999883869e+01  4.3725498352625616e+00  4.0672902630889203e+00  2.7007659090089515e+01  3.2000000002346304e+01  3.1999999999815724e+01  4.3919105768216911e+00
1.2799999999999800e+01  3.9765987466366601e+00  3.7007756971839292e+01  3.1999999992526945e+01  3.1999999999804324e+01  4.3887714217963198e+00  4.0712881886534458e+00  2.7009198081998221e+01  3.2000000002878785e+01  3.1999999999633705e+01  4.3963268905114301e+00
1.3599999999999801e+01  3.9805726727643429e+00  3.7008864493278828e+01  3.1999999990597093e+01  3.1999999999675559e+01  4.4110844183762676e+00  4.0765682701727961e+00  2.7010819849593926e+01  3.2000000003405390e+01  3.1999999999331695e+01  4.4053487502939781e+00
1.4399999999999700e+01  3.9854934308008687e+00  3.7010071532234633e+01  3.1999999988482632e+01  3.1999999999535252e+01  4.4382972287789357e+00  4.0831710542025306e+00  2.7012655146157719e+01  3.2000000003893156e+01  3.1999999998958227e+01  4.4219930611821905e+00
1.5199999999999701e+01  3.9916314743904184e+00  3.7011502393499434e+01  3.1999999985372835e+01  3.1999999998933980e+01  4.4687725840194714e+00  4.0906188675841166e+00  2.7014815368659615e+01  3.2000000004237783e+01  3.1999999998454303e+01  4.4464803578224998e+00
1.5999999999999700e+01  3.9974240898092201e+00  3.7013245826360496e+01  3.1999999981087463e+01  3.1999999997768683e+01  4.5011309216835889e+00  4.0984016547136415e+00  2.7017187267809852e+01  3.2000000003971515e+01  3.1999999997194777e+01  4.4762286876594279e+00
1.6799999999999802e+01  4.0016216713202883e+00  3.7015227496265354e+01  3.1999999975333292e+01  3.1999999995672603e+01  4.5344303813990559e+00  4.1070924693310857e+00  2.7019759874363505e+01  3.2000000002658084e+01  3.1999999994625941e+01  4.5120964981858549e+00
1.7600000000000001e+01  4.0050373255332863e+00  3.7017292139449424e+01  3.1999999967514572e+01  3.1999999991800184e+01  4.5692238030174961e+00  4.1165473071539775e+00  2.7022351660466523e+01  3.1999999998181970e+01  3.1999999988851638e+01  4.5538733947686536e+00
1.8400000000000102e+01  4.0092759816567085e+00  3.7019374581093260e+01  3.1999999956371354e+01  3.1999999984954716e+01  4.6064160243522823e+00  4.1255714802519741e+00  2.7024840109290043e+01  3.1999999986181592e+01  3.1999999977069688e+01  4.5978774727758873e+00
1.9200000000000198e+01  4.0150543233460727e+00  3.7021817576601173e+01  3.1999999939671628e+01  3.1999999973392345e+01  4.6483415292458190e+00  4.1337916314202969e+00  2.7027393781804058e+01  3.1999999961645141e+01  3.1999999955791061e+01  4.6430239411742003e+00
2.0000000000000298e+01  4.0212941618250433e+00  3.7024729352700191e+01  3.1999999916663281e+01  3.1999999955837698e+01  4.6958012715060882e+00  4.1417705729944982e+00  2.7030085264490125e+01  3.1999999914649113e+01  3.1999999917878540e+01  4.6908880911243758e+00
2.0800000000000502e+01  4.0263547925001539e+00  3.7027540313947362e+01  3.1999999897305248e+01  3.1999999937868608e+01  4.7446229555620780e+00  4.1505162943731300e+00  2.7032643476020688e+01  3.1999999826094594e+01  3.1999999854079881e+01  4.7450282539833211e+00
2.1600000000000598e+01  4.0309381387320293e+00  3.7030104455784823e+01  3.1999999897231692e+01  3.1999999928760811e+01  4.7946046888447187e+00  4.1598800350378928e+00  2.7035164327224440e+01  3.1999999677841572e+01  3.1999999766773275e+01  4.8056735066413880e+00
2.2400000000000698e+01  4.0367606268147203e+00  3.7032381692907755e+01  3.1999999910923734e+01  3.1999999925354096e+01  4.8493806715813497e+00  4.1687368286767423e+00  2.7037772102295918e+01  3.1999999491325219e+01  3.1999999684463369e+01  4.8690742614191329e+00
2.3200000000000799e+01  4.0440845795400708e+00  3.7034395171606853e+01  3.1999999902832748e+01  3.1999999911954252e+01  4.9108959303299660e+00  4.1769361648649372e+00  2.7040506895246182e+01  3.1999999309658094e+01  3.1999999629148242e+01  4.9350879000387682e+00
2.4000000000000998e+01  4.0512565329767227e+00  3.7036449365997761e+01  3.1999999853198400e+01  3.1999999886062238e+01  4.9749578435675046e+00  4.1846189295592850e+00  2.7043457602244931e+01  3.1999999143232547e+01  3.1999999580558519e+01  5.0040697212496754e+00
2.4800000000001098e+01  4.0575981792197409e+00  3.7038355689985899e+01  3.1999999788142706e+01  3.1999999864151683e+01  5.0395248827212020e+00  4.1917520896811169e+00  2.7046522706410467e+01  3.1999998961342285e+01  3.1999999501665815e+01  5.0747869687319698e+00
2.5600000000001199e+01  4.0645711153257214e+00  3.7039483691530016e+01  3.1999999744245816e+01  3.1999999855729431e+01  5.1092002083290105e+00  4.1982881636077334e+00  2.7049767284255712e+01  3.1999998734919330e+01  3.1999999387271203e+01  5.1459245996246574e+00
2.6400000000001299e+01  4.0736586514933482e+00  3.7040266272514096e+01  3.1999999721237781e+01  3.1999999849459897e+01  5.1893084124109130e+00  4.2042602167521785e+00  2.7053326294996562e+01  3.1999998467707027e+01  3.1999999264132530e+01  5.2178359948654718e+00
2.7200000000001499e+01  4.0833584710519473e+00  3.7041031282740093e+01  3.1999999692477665e+01  3.1999999832425008e+01  5.2736363231001580e+00  4.2096598116745554e+00  2.7057300230173432e+01  3.1999998188382001e+01  3.1999999157383851e+01  5.2909476226588099e+00
