time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  2.6932559192864256e-08
4.0000000000000002e-01  -2.3820418225056158e-40  2.6930183528996625e-08
8.0000000000000004e-01  -4.3124148354091151e-40  2.6931691131965589e-08
1.2000000000000000e+00  -5.4224040502851786e-40  2.6936431888059308e-08
1.6000000000000001e+00  -5.4993059007495830e-40  2.6931221468802643e-08
2.0000000000000000e+00  -4.5275953510869170e-40  2.6932788102387853e-08
2.3999999999999901e+00  -2.6915698156944500e-40  2.6927485690155510e-08
2.7999999999999798e+00  -3.3967713615495590e-41  2.6929259947232021e-08
3.1999999999999802e+00  2.0804367574516700e-40  2.6957030253158528e-08
3.5999999999999699e+00  4.1059572420946058e-40  2.6948850789141882e-08
3.9999999999999600e+00  5.3487883927800713e-40  2.6896079129662665e-08
4.3999999999999497e+00  5.5720283475735198e-40  2.6895125317853405e-08
4.7999999999999403e+00  4.7348859054691621e-40  2.6979883729987751e-08
5.1999999999999300e+00  2.9978696591765648e-40  2.7009911273096422e-08
5.5999999999999304e+00  6.9051703667769642e-41  2.6912895000507386e-08
5.9999999999999201e+00  -1.7504413373330799e-40  2.6847418890443313e-08
6.3999999999999098e+00  -3.8619127409154289e-40  2.6883195757578369e-08
6.7999999999999003e+00  -5.2411011437117144e-40  2.6935311760125828e-08
7.1999999999998900e+00  -5.6225334810978836e-40  2.6958339921224836e-08
7.5999999999998797e+00  -4.9301793633322377e-40  2.6970336232081751e-08
7.9999999999998703e+00  -3.2934840285255052e-40  2.6892977837404800e-08
8.3999999999998707e+00  -1.0234656074834132e-40  2.6749421720331594e-08
8.7999999999998604e+00  1.4466144319470109e-40  2.6734403598435023e-08
9.1999999999998501e+00  3.6443600565232839e-40  2.6855282834799563e-08
9.5999999999998398e+00  5.1489387350236318e-40  2.6891119612888950e-08
9.9999999999998295e+00  5.6718461586126552e-40  2.6783530399603750e-08
1.0399999999999800e+01  5.1122198497490804e-40  2.6710470219958197e-08
1.0799999999999800e+01  3.5761299641806222e-40  2.6727321486736695e-08
1.1199999999999800e+01  1.3562258261560416e-40  2.6744535759846836e-08
1.1599999999999801e+01  -1.1242498337909652e-40  2.6708571866315364e-08
1.1999999999999799e+01  -3.3922717288589734e-40  2.6561068865913057e-08
1.2399999999999800e+01  -5.0152310664299273e-40  2.6423302988781348e-08
1.2799999999999800e+01  -5.6833731143883430e-40  2.6567037550213184e-08
1.3199999999999800e+01  -5.2687931230651784e-40  2.6789836994039272e-08
1.3599999999999801e+01  -3.8497734284824177e-40  2.6656186369117841e-08
1.3999999999999700e+01  -1.6958778971202215e-40  2.6338545046278001e-08
1.4399999999999700e+01  7.8326122576555102e-41  2.6318092837170159e-08
1.4799999999999701e+01  3.1157106209187677e-40  2.6500159534994579e-08
1.5199999999999701e+01  4.8570455989630235e-40  2.6453875554120613e-08
1.5599999999999699e+01  5.6752037115486552e-40  2.6281741955714686e-08
1.5999999999999700e+01  5.4136070016088142e-40  2.6291564875439314e-08
1.6399999999999800e+01  4.1204693396938550e-40  2.6383325011498684e-08
1.6799999999999802e+01  2.0401226385616699e-40  2.6258112401762132e-08
1.7199999999999900e+01  -4.3169537501623329e-41  2.6075355925164458e-08
1.7600000000000001e+01  -2.8227666784352907e-40  2.6121413324167723e-08
1.8000000000000000e+01  -4.6769550382687944e-40  2.6265395707223119e-08
1.8400000000000102e+01  -5.6425309341408281e-40  2.6203669889665023e-08
1.8800000000000100e+01  -5.5345450053563511e-40  2.6057066042605821e-08
1.9200000000000198e+01  -4.3695266716157478e-40  2.5994289803956465e-08
1.9600000000000300e+01  -2.3718195467817955e-40  2.6032562698464303e-08
2.0000000000000298e+01  1.1094532073738025e-41  2.6060377659872578e-08
2.0400000000000400e+01  2.7211786943555259e-40  2.5950990691810108e-08
2.0800000000000502e+01  4.7404655606439146e-40  2.5841493744020792e-08
2.1200000000000500e+01  5.8260509162832408e-40  2.5832734432786238e-08
2.1600000000000598e+01  7.2403190230593157e-40  2.5844951678318544e-08
2.2000000000000600e+01  3.9761260982824947e-39  2.5868019060881141e-08
2.2400000000000698e+01  5.8897160681340244e-39  2.5849315607880348e-08
2.2800000000000800e+01  6.1054101990314332e-38  2.5746962071542477e-08
2.3200000000000799e+01  7.8959487425665296e-38  2.5663898628851108e-08
2.3600000000000900e+01  1.0229881327607465e-36  2.5599141877101967e-08
2.4000000000000998e+01  1.8859200307756637e-36  2.5526645307863360e-08
2.4400000000001000e+01  1.3109387836276357e-35  2.5520283041050781e-08
2.4800000000001098e+01  4.0871542765534096e-35  2.5515388723766130e-08
2.5200000000001101e+01  1.3663123206504101e-34  2.5489622938649557e-08
2.5600000000001199e+01  6.9638071212621080e-34  2.5511396859009894e-08
2.6000000000001300e+01  1.4812634577942841e-33  2.5552237420706083e-08
2.6400000000001299e+01  8.5191383795188936e-33  2.5632743138803133e-08
2.6800000000001400e+01  2.1392702908387910e-32  2.5670863738044104e-08
2.7200000000001499e+01  7.5548725646189339e-32  2.5521026608153403e-08
2.7600000000001501e+01  3.0526133243728106e-31  2.5379383661375850e-08
2.8000000000001599e+01  6.3779663252261204e-31  2.5471948263400894e-08
2.8400000000001601e+01  3.0827954101493563e-30  2.5617034631663546e-08
2.8800000000001699e+01  7.8059426173800488e-30  2.5543811793916341e-08
2.9200000000001801e+01  2.0539660432975285e-29  2.5340658657658488e-08
2.9600000000001799e+01  9.4679408154847881e-29  2.5303528299634773e-08
3.0000000000001901e+01  1.4504795330457498e-28  2.5415321934770757e-08
3.0400000000001999e+01  7.1931491720498150e-28  2.5845511341249780e-08
3.0800000000002001e+01  1.8656215801573449e-27  2.6712827322611457e-08
3.1200000000002099e+01  3.2787652434690040e-27  2.7720730102144372e-08
3.1600000000002101e+01  1.8758725679433109e-26  2.6981118581289830e-08
3.2000000000002203e+01  2.5031636841032136e-26  2.6827908348778029e-08
3.2400000000002102e+01  9.5326443614886435e-26  3.3463605766310751e-08
3.2800000000002001e+01  3.2437733883077463e-25  3.9047248034848959e-08
3.3200000000001999e+01  3.5752787392308091e-25  4.2819313141179294e-08
3.3600000000001899e+01  2.1417756120494250e-24  3.8296147610489062e-08
3.4000000000001798e+01  4.1662804817702060e-24  5.0954634179669291e-08
3.4400000000001697e+01  6.8420614175704964e-24  6.6321260634602595e-08
3.4800000000001603e+01  3.4757008561185712e-23  7.6636823221330960e-08
3.5200000000001602e+01  4.8378759427429336e-23  7.3028162480110916e-08
3.5600000000001501e+01  1.2116737773340296e-22  7.6436009131487191e-08
3.6000000000001400e+01  4.4903866516843160e-22  7.9646623781622053e-08
