# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  3.6917193041390775e+01  4.0754522640042493e-02  6.5891677663840076e+00  3.0205393281366744e-01  6.3445235297872856e+01  6.4000038955214364e+01  6.4000038659180206e+01  4.7999999999999998e+00  3.6717923240305332e+01  6.5915495433647449e+00  3.0119883119088425e-01  5.0453420920196992e+00  5.5926790123020897e-01  5.4266619748994795e+00  4.5503077099152456e-01  4.3040118683749323e-01  9.8430711913636881e-01
4.0000000000000002e-01  3.6925552680468058e+01  4.0753406610071347e-02  6.5890914316968932e+00  3.0207309977511682e-01  6.3444409989721834e+01  6.4000041953340613e+01  6.4000041681602056e+01  4.7999999999999998e+00  3.6725767171061889e+01  6.5914978346518964e+00  3.0075502619839867e-01  5.0457173844481176e+00  5.5904660488914237e-01  5.4263887197433212e+00  4.5508710139859454e-01  4.3028136264660066e-01  9.8426498982990729e-01
8.0000000000000004e-01  3.6934637464160069e+01  4.0746075976811749e-02  6.5889370691251559e+00  3.0211730456661995e-01  6.3442263751613446e+01  6.4000049606095175e+01  6.4000049394829503e+01  4.7999999999999998e+00  3.6733665523779607e+01  6.5913905376344832e+00  3.0079514773338478e-01  5.0467237467569870e+00  5.5873227226858535e-01  5.4257506226529717e+00  4.5515493126303808e-01  4.2996859331705001e-01  9.8413706622497710e-01
1.2000000000000000e+00  3.6943248674647513e+01  4.0747479485128052e-02  6.5888076048178812e+00  3.0226949767945827e-01  6.3439633144094969e+01  6.4000059606499420e+01  6.4000059496370540e+01  4.7999999999999998e+00  3.6740633933831930e+01  6.5913181144869659e+00  3.0019022334866086e-01  5.0479660327074063e+00  5.5844349483485545e-01  5.4251093510219182e+00  4.5513778516910847e-01  4.2958195044859276e-01  9.8394114828602031e-01
1.6000000000000001e+00  3.6951546576242407e+01  4.0762237332747663e-02  6.5887486146332428e+00  3.0262367887043751e-01  6.3437336300305766e+01  6.4000070317790616e+01  6.4000070350725480e+01  4.7999999999999998e+00  3.6746972560411891e+01  6.5913220094788656e+00  3.0021437892452002e-01  5.0490192511688008e+00  5.5828633000398009e-01  5.4247302603361502e+00  4.5497320838581773e-01  4.2923885621859947e-01  9.8371761199227259e-01
2.0000000000000000e+00  3.6960333586462653e+01  4.0781274427872868e-02  6.5887450025963590e+00  3.0235497883108176e-01  6.3435762708584711e+01  6.4000081576434980e+01  6.4000081789197964e+01  4.7999999999999998e+00  3.6753561474328230e+01  6.5913870337544900e+00  3.0022004114957429e-01  5.0497209868315958e+00  5.5829763424422407e-01  5.4246339500703762e+00  4.5467006227822748e-01  4.2899737661680476e-01  9.8340431154273733e-01
2.3999999999999901e+00  3.6970081173357364e+01  4.0791786067052069e-02  6.5887598474570348e+00  3.0234929981807734e-01  6.3434827534314756e+01  6.4000094892391999e+01  6.4000095301444446e+01  4.7999999999999998e+00  3.6760889671089856e+01  6.5914805704421155e+00  3.0021594517249017e-01  5.0502614918770297e+00  5.5843182224215093e-01  5.4246268927543237e+00  4.5430284274358956e-01  4.2884931910305374e-01  9.8296650927048224e-01
2.7999999999999798e+00  3.6980673938702502e+01  4.0789675280299614e-02  6.5887780280470816e+00  3.0234829047540879e-01  6.3434268353258553e+01  6.4000112426556001e+01  6.4000113019217508e+01  4.7999999999999998e+00  3.6768838139779803e+01  6.5915926607208091e+00  3.0053218801050957e-01  5.0510244193329550e+00  5.5859076512764039e-01  5.4244588716612308e+00  4.5396525477606925e-01  4.2876063648034385e-01  9.8247453789006101e-01
3.1999999999999802e+00  3.6991754146609281e+01  4.0781018291645335e-02  6.5888242611131549e+00  3.0235052876958363e-01  6.3433971689893809e+01  6.4000134681159253e+01  6.4000135431206274e+01  4.7999999999999998e+00  3.6777067568092988e+01  6.5917488213267132e+00  3.0084231618070639e-01  5.0523332201170437e+00  5.5867971984267295e-01  5.4239776919508484e+00  4.5371194219071204e-01  4.2871596504591847e-01  9.8202069581906426e-01
3.5999999999999699e+00  3.7003291846612186e+01  4.0773194332887105e-02  6.5889408216724776e+00  3.0234168586332122e-01  6.3434043625152789e+01  6.4000159690143491e+01  6.4000160577434414e+01  4.7999999999999998e+00  3.6785606388340369e+01  6.5919859410194377e+00  3.0096066282865713e-01  5.0542878627571239e+00  5.5865904492556129e-01  5.4231788598669999e+00  4.5353148320811792e-01  4.2872713349536440e-01  9.8144505542641436e-01
3.9999999999999600e+00  3.7015827525474847e+01  4.0769520973544027e-02  6.5891479837803182e+00  3.0230631731807994e-01  6.3434595822447982e+01  6.4000184978449099e+01  6.4000185995858232e+01  4.7999999999999998e+00  3.6795070391242987e+01  6.5923161824282559e+00  3.0135373090934808e-01  5.0567720000707013e+00  5.5855942309774653e-01  5.4221588867894619e+00  4.5336742806448133e-01  4.2880182229578134e-01  9.8079919212478595e-01
4.3999999999999497e+00  3.7030112510460114e+01  4.0769120952989991e-02  6.5894304644621968e+00  3.0223796211056103e-01  6.3435460055166217e+01  6.4000210305656282e+01  6.4000211462326448e+01  4.7999999999999998e+00  3.6806257607485890e+01  6.5927191102821716e+00  3.0165950668506525e-01  5.0595764156768954e+00  5.5845295347676849e-01  5.4210627397521334e+00  4.5316034793488696e-01  4.2890354245354445e-01  9.8059909243284082e-01
4.7999999999999403e+00  3.7046589677267349e+01  4.0770293157807183e-02  6.5897601051551753e+00  3.0214003599667683e-01  6.3436120841448918e+01  6.4000239026544904e+01  6.4000240353226289e+01  4.7999999999999998e+00  3.6819607477219222e+01  6.5931667293407852e+00  3.0221479236108112e-01  5.0624945405254627e+00  5.5840986937852932e-01  5.4200903177044140e+00  4.5287355043417171e-01  4.2894418423442277e-01  9.8092171113525151e-01
5.1999999999999300e+00  3.7065300779148942e+01  4.0772867900048027e-02  6.5901311262785702e+00  3.0202001719342342e-01  6.3435964646014490e+01  6.4000277194609936e+01  6.4000278745621245e+01  4.7999999999999998e+00  3.6835139458421004e+01  6.5936550065926847e+00  3.0208573080310125e-01  5.0653101407251171e+00  5.5847442399407521e-01  5.4195399991155515e+00  4.5249037274917375e-01  4.2882264375071494e-01  9.8132366038691110e-01
5.5999999999999304e+00  3.7086184677842041e+01  4.0777834334073788e-02  6.5905859865016136e+00  3.0188344204294565e-01  6.3434654896035539e+01  6.4000330925091404e+01  6.4000332776820628e+01  4.7999999999999998e+00  3.6852805047319805e+01  6.5942236383613180e+00  3.0194717687278905e-01  5.0677564445615486e+00  5.5866268512813266e-01  5.4198131590718681e+00  4.5199844929081801e-01  4.2848195829641877e-01  9.8169849787231411e-01
5.9999999999999201e+00  3.7109492601648085e+01  4.0786192150086581e-02  6.5912167889864879e+00  3.0173304890426583e-01  6.3432353380535190e+01  6.4000403789408409e+01  6.4000406035033023e+01  4.7999999999999998e+00  3.6872930896788944e+01  6.5949549045004154e+00  3.0098881487636947e-01  5.0695600548687318e+00  5.5896710292396801e-01  5.4213256351745098e+00  4.5138434187930299e-01  4.2794389690319240e-01  9.8199624571950594e-01
6.3999999999999098e+00  3.7135904498306090e+01  4.0797822018431656e-02  6.5921516145814500e+00  3.0187324022724626e-01  6.3429636868798504e+01  6.4000495880649822e+01  6.4000498620220540e+01  4.7999999999999998e+00  3.6896328961729040e+01  6.5959636014361545e+00  3.0040821120210232e-01  5.0706100882248677e+00  5.5935343470136778e-01  5.4243609379735958e+00  4.5150060859851537e-01  4.2729790162400727e-01  9.8220003031268810e-01
6.7999999999999003e+00  3.7166157119342898e+01  4.0810886167734206e-02  6.5935473674002374e+00  3.0170476031550486e-01  6.3427200942497777e+01  6.4000605088154487e+01  6.4000608420370753e+01  4.7999999999999998e+00  3.6923900334451666e+01  6.5973973421015879e+00  2.9978548772556846e-01  5.0711521073733241e+00  5.5975459369409131e-01  5.4289761431887360e+00  4.5215066367917073e-01  4.2665609759267120e-01  9.8236504749454268e-01
