# time  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16  chi_mean_R24  chi_min_R24  chi_max_R24  lapse_mean_R24  lapse_min_R24  lapse_max_R24  K_mean_R24  K_min_R24  K_max_R24  chi_mean_R32  chi_min_R32  chi_max_R32  lapse_mean_R32  lapse_min_R32  lapse_max_R32  K_mean_R32  K_min_R32  K_max_R32  chi_mean_R40  chi_min_R40  chi_max_R40  lapse_mean_R40  lapse_min_R40  lapse_max_R40  K_mean_R40  K_min_R40  K_max_R40
0.0000000000000000e+00  1.0013922706494136e+00  9.9703771249359840e-01  1.0062340245816894e+00  1.0008298791814363e+00  9.9851113571172712e-01  1.0033859002939041e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0007943710290754e+00  9.9896545538834380e-01  1.0027234590867526e+00  1.0005486302378035e+00  9.9954476880525689e-01  1.0016021140895113e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0004990972484697e+00  9.9953794886213188e-01  1.0014997406872779e+00  1.0004105010673032e+00  9.9985330730071798e-01  1.0009898943476991e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0003213760435452e+00  9.9976738540893662e-01  1.0008855265861247e+00  1.0003279902326332e+00  9.9997347875039433e-01  1.0006943878019317e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
4.0000000000000002e-01  1.0013920164305370e+00  9.9702405324195609e-01  1.0062120288609169e+00  1.0008297047021406e+00  9.9850280173993644e-01  1.0033726205983347e+00  -5.7797227371662568e-07  -1.3295739377207092e-04  1.0897314404671409e-04  1.0007943694968469e+00  9.9896545539574932e-01  1.0027234549770689e+00  1.0005486346861718e+00  9.9954477360256200e-01  1.0016021182337997e+00  -1.1694263538092291e-08  -1.1853688792826814e-06  1.1302085414934439e-06  1.0004990967592311e+00  9.9953794860618173e-01  1.0014997401298757e+00  1.0004105025323207e+00  9.9985330841550812e-01  1.0009898951028242e+00  -3.6720614563428725e-09  -7.9494159552329133e-09  7.3751672784259960e-10  1.0003213758444736e+00  9.9976738533937681e-01  1.0008855262595771e+00  1.0003279908246232e+00  9.9997347906131162e-01  1.0006943885085060e+00  -1.5081767180484790e-09  -2.9696262111305347e-09  -1.5822185870219458e-10
8.0000000000000004e-01  1.0013918966800643e+00  9.9701865636362452e-01  1.0062056412221949e+00  1.0008296432316821e+00  9.9850319336008519e-01  1.0033706504603324e+00  -2.6978732456907767e-07  -1.3096101605255468e-04  7.8453031265153134e-05  1.0007943649268758e+00  9.9896545356612620e-01  1.0027234433152621e+00  1.0005486483350423e+00  9.9954478583797646e-01  1.0016021430962430e+00  -2.2551280487683396e-08  -1.6425815743908488e-06  3.2871537086104764e-06  1.0004990952984278e+00  9.9953794759290282e-01  1.0014997374828529e+00  1.0004105068918361e+00  9.9985331264475863e-01  1.0009899001142635e+00  -7.3209174862791110e-09  -1.2959973278929744e-08  -4.0888804095842483e-09  1.0003213752351985e+00  9.9976738469035487e-01  1.0008855256833382e+00  1.0003279926356297e+00  9.9997348098951455e-01  1.0006943900590048e+00  -3.0460952548289499e-09  -4.6882381240783865e-09  -1.5706116214903747e-09
1.2000000000000000e+00  1.0013918581342236e+00  9.9701656097124391e-01  1.0062067238434154e+00  1.0008296064825428e+00  9.9850477216820777e-01  1.0033666369479426e+00  -1.1729660893809264e-07  -7.1765903935374104e-05  5.8780170925936277e-05  1.0007943576738834e+00  9.9896545053917540e-01  1.0027234275505601e+00  1.0005486710030544e+00  9.9954480358746944e-01  1.0016021820517869e+00  -3.2770850843020368e-08  -1.7174739353036823e-06  2.8988933091530780e-06  1.0004990928555331e+00  9.9953794573667243e-01  1.0014997329918143e+00  1.0004105141828881e+00  9.9985331920712106e-01  1.0009899112100176e+00  -1.1001481952066776e-08  -1.8316264904626567e-08  -7.4384395271914836e-09  1.0003213742212136e+00  9.9976738383689234e-01  1.0008855242141865e+00  1.0003279956665909e+00  9.9997348401126895e-01  1.0006943934440282e+00  -4.5616118970707344e-09  -6.6432288158067288e-09  -3.2266408788180091e-09
1.6000000000000001e+00  1.0013918707252230e+00  9.9701591287331104e-01  1.0062072585838220e+00  1.0008295523873925e+00  9.9850540026311096e-01  1.0033611375106488e+00  6.4321436698788514e-08  -4.0209698163740932e-05  4.9066786191687118e-05  1.0007943478098031e+00  9.9896544579101543e-01  1.0027234059501362e+00  1.0005487023147612e+00  9.9954482596086325e-01  1.0016022371261908e+00  -4.2766773452376433e-08  -1.6784101093429126e-06  2.4047957522080271e-06  1.0004990894167660e+00  9.9953794278193309e-01  1.0014997277024398e+00  1.0004105244379233e+00  9.9985332896449708e-01  1.0009899258943054e+00  -1.4728185316636123e-08  -2.2690287018127179e-08  -1.1041022599850345e-08  1.0003213728018989e+00  9.9976738259066833e-01  1.0008855219145347e+00  1.0003279999134378e+00  9.9997348800605257e-01  1.0006943993417388e+00  -6.0854700357491667e-09  -8.7371747094789722e-09  -4.8883215419968717e-09
2.0000000000000000e+00  1.0013919751163520e+00  9.9701515718032518e-01  1.0061958332198304e+00  1.0008293562357624e+00  9.9850577774622806e-01  1.0033783319166929e+00  2.9796638878117210e-07  -3.6324957168965866e-05  3.8254229137235475e-05  1.0007943354063600e+00  9.9896543703395524e-01  1.0027233772065205e+00  1.0005487418911549e+00  9.9954485712572694e-01  1.0016023111229104e+00  -5.2790472852218506e-08  -1.5181411155168249e-06  2.0425035450384235e-06  1.0004990849699182e+00  9.9953793942708069e-01  1.0014997214084869e+00  1.0004105376904335e+00  9.9985334064226894e-01  1.0009899439592671e+00  -1.8495010114016452e-08  -2.8450433506368961e-08  -1.4404510179221220e-08  1.0003213709740684e+00  9.9976738085365380e-01  1.0008855195629349e+00  1.0003280053818056e+00  9.9997349338764829e-01  1.0006944062695322e+00  -7.6172459398705740e-09  -1.0310998485060792e-08  -6.3703274903209474e-09
2.3999999999999901e+00  1.0013919690144109e+00  9.9701100283218924e-01  1.0061883786089405e+00  1.0008292844730002e+00  9.9851220452028455e-01  1.0033987338219950e+00  -2.0423687795625642e-07  -3.1920094182465781e-05  2.3922382885038977e-05  1.0007943196332894e+00  9.9896542618490525e-01  1.0027233445115566e+00  1.0005487909279753e+00  9.9954489642151645e-01  1.0016024012327003e+00  -6.5402424658671251e-08  -1.3712697557332953e-06  1.8407057276343357e-06  1.0004990794966131e+00  9.9953793506862154e-01  1.0014997133422050e+00  1.0004105539847759e+00  9.9985335485973759e-01  1.0009899664755022e+00  -2.2333502474607350e-08  -3.3540590366245821e-08  -1.7310250927365020e-08  1.0003213687285220e+00  9.9976737901170221e-01  1.0008855167500750e+00  1.0003280120888070e+00  9.9997349948024428e-01  1.0006944145377437e+00  -9.1837401573494406e-09  -1.2024185142567290e-08  -7.6741447420948421e-09
2.7999999999999798e+00  1.0013915997842411e+00  9.9700712146449610e-01  1.0061926533513212e+00  1.0008298891914582e+00  9.9852128140664764e-01  1.0034016283642906e+00  -1.0899540001028238e-06  -4.4875779671472769e-05  2.0668902873874744e-05  1.0007943008024025e+00  9.9896541912780878e-01  1.0027233102668336e+00  1.0005488496330743e+00  9.9954493157595214e-01  1.0016024986749006e+00  -7.4546711313927083e-08  -1.5533233155573894e-06  1.9674342999736733e-06  1.0004990729725374e+00  9.9953792948384357e-01  1.0014997033766468e+00  1.0004105733803317e+00  9.9985337231603477e-01  1.0009899940315277e+00  -2.6247096231661738e-08  -3.9150127758506762e-08  -2.1229075839001267e-08  1.0003213660532513e+00  9.9976737669378435e-01  1.0008855133424441e+00  1.0003280200618681e+00  9.9997350674322860e-01  1.0006944244428433e+00  -1.0777955284150399e-08  -1.4133162411795396e-08  -9.0897231476661654e-09
3.1999999999999802e+00  1.0013910877149379e+00  9.9700991323319954e-01  1.0062014364104530e+00  1.0008309671090712e+00  9.9852043355624998e-01  1.0033932421931364e+00  -1.2228161660041796e-06  -4.7135428589140552e-05  3.7168934138567762e-05  1.0007942822035876e+00  9.9896539174321708e-01  1.0027232400066055e+00  1.0005489125172871e+00  9.9954499849911493e-01  1.0016026612125937e+00  -7.5458480820874221e-08  -1.7373986875662086e-06  2.3290987261420471e-06  1.0004990653684644e+00  9.9953792314921441e-01  1.0014996922431811e+00  1.0004105959478702e+00  9.9985339226807934e-01  1.0009900255536919e+00  -3.0267728876020700e-08  -4.4824105257208379e-08  -2.4563682179415397e-08  1.0003213629447110e+00  9.9976737371120605e-01  1.0008855096049960e+00  1.0003280293163117e+00  9.9997351562871584e-01  1.0006944354816552e+00  -1.2386356686125884e-08  -1.6121224472909176e-08  -1.0740508104894054e-08
3.5999999999999699e+00  1.0013907681674938e+00  9.9701279788670316e-01  1.0062129071120214e+00  1.0008319168167532e+00  9.9851683028840665e-01  1.0033747973034248e+00  -8.3436251257804998e-07  -3.3883080754634839e-05  3.5056316741883628e-05  1.0007942652854926e+00  9.9896534464576048e-01  1.0027231813632522e+00  1.0005489754773023e+00  9.9954511652633204e-01  1.0016028372135040e+00  -7.5562105106789952e-08  -1.8746743439543103e-06  2.2544771412773984e-06  1.0004990566458276e+00  9.9953791555152216e-01  1.0014996794246533e+00  1.0004106217820907e+00  9.9985341555002205e-01  1.0009900618528309e+00  -3.4409226520774960e-08  -5.0920747084800292e-08  -2.7854300409909785e-08  1.0003213593991434e+00  9.9976737041481190e-01  1.0008855051080552e+00  1.0003280398662620e+00  9.9997352562957531e-01  1.0006944483654070e+00  -1.4017775437272905e-08  -1.8110219747081490e-08  -1.2206837030982219e-08
