# time  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)  Re_m-2(R=24)  Im_m-2(R=24)  Re_m-1(R=24)  Im_m-1(R=24)  Re_m0(R=24)  Im_m0(R=24)  Re_m1(R=24)  Im_m1(R=24)  Re_m2(R=24)  Im_m2(R=24)  Re_m-2(R=32)  Im_m-2(R=32)  Re_m-1(R=32)  Im_m-1(R=32)  Re_m0(R=32)  Im_m0(R=32)  Re_m1(R=32)  Im_m1(R=32)  Re_m2(R=32)  Im_m2(R=32)  Re_m-2(R=40)  Im_m-2(R=40)  Re_m-1(R=40)  Im_m-1(R=40)  Re_m0(R=40)  Im_m0(R=40)  Re_m1(R=40)  Im_m1(R=40)  Re_m2(R=40)  Im_m2(R=40)
0.0000000000000000e+00  -9.2487706414877315e-05  1.0436425344540516e-06  4.1231314204251805e-06  4.6266125725778520e-06  6.0322259148315840e-05  -2.6406309767293666e-07  1.4609921390715637e-06  -4.1787753610527740e-06  -9.5382025061008691e-05  -8.4058368810151368e-07  -2.9436088819816662e-05  2.7812407135134355e-07  3.3845729440168833e-07  6.2184635579084517e-09  2.3979001105105406e-05  -3.1283721801004242e-08  -3.5317042929373679e-07  1.5007724118937285e-08  -2.9437955528292835e-05  -3.0406415864652006e-07  -1.1886310861354984e-05  1.2043144588819441e-07  1.4893251814356917e-07  4.3540715033538883e-09  9.7261859220237395e-06  -1.0425115860735415e-08  -1.5074605283953117e-07  4.7616460878438294e-09  -1.1886996943425694e-05  -1.2952006225155655e-07  -5.9019985123427808e-06  6.4576477911859071e-08  7.8141640851815418e-08  3.4288047307622897e-09  4.8554668994938039e-06  -4.5230932290733423e-09  -7.8440609923499328e-08  1.3085408441171609e-09  -5.9023507236434516e-06  -6.8551936622733392e-08
4.0000000000000002e-01  -8.0908762015342839e-05  9.2633012263977132e-07  -5.7524086932262080e-07  4.1666909655612216e-06  6.9701316681039033e-05  -4.8649188865361967e-08  -2.7958807054661163e-06  -3.7055865653461620e-06  -9.0063437184626860e-05  -1.0583407692172251e-06  -2.9208898712089305e-05  2.8236870996325347e-07  3.4316145873065100e-07  6.0494869921221087e-09  2.3801120110928197e-05  -3.0910226189535523e-08  -3.5803320698783065e-07  1.5439353226722053e-08  -2.9210781472705659e-05  -3.0798387851755446e-07  -1.1908910773734395e-05  1.2179853151686248e-07  1.5059784408193056e-07  4.3513186010845887e-09  9.7427270868762117e-06  -1.0381123434960403e-08  -1.5243663244775164e-07  4.8607979866285334e-09  -1.1909598606336270e-05  -1.3085737113996694e-07  -5.9208445224593278e-06  6.5091451549743115e-08  7.8855140877002633e-08  3.3802518496589819e-09  4.8701725257654067e-06  -4.5143429356439463e-09  -7.9158874933176271e-08  1.3988140278728827e-09  -5.9211974924191610e-06  -6.9062166040338190e-08
8.0000000000000004e-01  -8.0477934572286878e-05  -4.8957542589722076e-07  -8.9182673700325555e-07  6.8230431379604395e-06  7.5662284326018440e-05  1.1127146681934735e-07  -8.8598732414751739e-08  -1.3549258015492237e-05  -1.0259901421274547e-04  4.2877347416301636e-07  -2.8920298347445742e-05  2.8643073371465294e-07  3.4776984343992801e-07  5.9186243095534440e-09  2.3572083798370435e-05  -3.0475717734098124e-08  -3.6266639019877734e-07  1.5820609746197732e-08  -2.8922201467008378e-05  -3.1167222884547898e-07  -1.1924772373277106e-05  1.2315966030386892e-07  1.5223588911288367e-07  4.3309915430032918e-09  9.7572738847749143e-06  -1.0332209774522434e-08  -1.5410712348871243e-07  4.9758796209397578e-09  -1.1925462209223244e-05  -1.3218462169922423e-07  -5.9383804645412583e-06  6.5617327411902110e-08  7.9555125327177173e-08  3.3369665095580695e-09  4.8835701008064784e-06  -4.5048321821855984e-09  -7.9880058030309390e-08  1.4834603585216834e-09  -5.9387342261024087e-06  -6.9582656936596045e-08
1.2000000000000000e+00  -8.1064672539606371e-05  -2.9464664828873071e-06  -3.6828109009074551e-06  1.6391509782896319e-05  9.0504398778767995e-05  -2.7803842800132389e-07  1.3533902129108612e-06  -3.0484454340965351e-05  -1.3080418601840618e-04  2.6027855853268031e-06  -2.8554266346681457e-05  2.9042946123165074e-07  3.5217963924120622e-07  5.7633031492460240e-09  2.3281432598384729e-05  -2.9970766193635777e-08  -3.6713274449794074e-07  1.6212552932665755e-08  -2.8556194833175332e-05  -3.1524077327220659e-07  -1.1934509410742434e-05  1.2449563811169486e-07  1.5385008898108435e-07  4.3339445654909569e-09  9.7640776264915216e-06  -1.0277839116382776e-08  -1.5574981613327245e-07  5.0658811365229810e-09  -1.1935201529040196e-05  -1.3348217058866843e-07  -5.9550923535833504e-06  6.6136247569127075e-08  8.0257553198208737e-08  3.2940214059988443e-09  4.8960150876101233e-06  -4.4944946952650983e-09  -8.0587447002125562e-08  1.5673910972394247e-09  -5.9554469417598018e-06  -7.0095496829695287e-08
1.6000000000000001e+00  -6.0593587153545565e-05  -5.2431171352025093e-06  -7.2273115256934629e-06  3.1341574246230649e-05  8.2871036616154214e-05  -1.0361479770371534e-07  2.7590122996825824e-06  -4.5432948189917304e-05  -1.3889015595764344e-04  5.1948892342821006e-06  -2.8105607151886800e-05  2.9427878521099008e-07  3.5640431155031282e-07  5.6081402670173838e-09  2.2923320020432934e-05  -2.9383697697980308e-08  -3.7137359628409410e-07  1.6588231372708175e-08  -2.8107563561806881e-05  -3.1859372246980915e-07  -1.1936539251682676e-05  1.2581476375100830e-07  1.5543858868900681e-07  4.3195802011191209e-09  9.7648271800282748e-06  -1.0217410072378868e-08  -1.5736186559376204e-07  5.1712346758196619e-09  -1.1937233970273756e-05  -1.3475780859751482e-07  -5.9706387374931107e-06  6.6640697649161717e-08  8.0949754893460426e-08  3.2462482976771432e-09  4.9087493308099508e-06  -4.4832650513896192e-09  -8.1292886116312972e-08  1.6557474264986939e-09  -5.9709941915608229e-06  -7.0593111135504302e-08
2.0000000000000000e+00  -1.8162322694010554e-05  -4.8527312772342834e-06  -7.0770203255614076e-06  3.9452370161445117e-05  5.0981824845312053e-05  2.3958259199430777e-06  4.3745490691362328e-06  -5.3037007325459616e-05  -1.0933767669549083e-04  6.8606312739403898e-06  -2.7560226050362768e-05  2.9797720541471797e-07  3.6043831175750572e-07  5.4503530021621947e-09  2.2487373708558738e-05  -2.8706705244981333e-08  -3.7534258316294354e-07  1.6951761698509222e-08  -2.7562245177270499e-05  -3.2172388561709840e-07  -1.1930170873398956e-05  1.2710389862105787e-07  1.5699711339222033e-07  4.3095001316434449e-09  9.7595795347164563e-06  -1.0150249637963112e-08  -1.5894238495968260e-07  5.2701583696262019e-09  -1.1930868542824449e-05  -1.3599782302764569e-07  -5.9848296482250607e-06  6.7147957411852092e-08  8.1637503798389741e-08  3.2002026789123110e-09  4.9192912393257398e-06  -4.4710651666942502e-09  -8.1989726099892839e-08  1.7419423248568291e-09  -5.9851860137864539e-06  -7.1092715654803861e-08
2.3999999999999901e+00  2.5470576428572858e-05  -5.5602123319818040e-06  -3.7834761691846351e-06  3.3055341785553257e-05  1.5520653141991623e-05  1.9242362785062744e-06  7.6077852847661809e-06  -5.1687615386849289e-05  -5.6882582064537582e-05  7.1096982977887350e-06  -2.6905603172839421e-05  3.0151823711006608e-07  3.6416844573147789e-07  5.1928080929497864e-09  2.1961327474081728e-05  -2.7898890478974879e-08  -3.7910067829166449e-07  1.7398806473542230e-08  -2.6907561640035028e-05  -3.2458869333965406e-07  -1.1914796429430987e-05  1.2837879925116115e-07  1.5852211696432659e-07  4.2991818280903399e-09  9.7463913544002342e-06  -1.0075594895363395e-08  -1.6048926414201829e-07  5.3669612751844106e-09  -1.1915497449335130e-05  -1.3721732854150676e-07  -5.9975671623266778e-06  6.7649303761895773e-08  8.2317115964027390e-08  3.1568709851260977e-09  4.9285703224265161e-06  -4.4578112930391225e-09  -8.2680697891226716e-08  1.8249579207137188e-09  -5.9979244834201112e-06  -7.1585514833511840e-08
2.7999999999999798e+00  5.4269490607914752e-05  -1.6427489071755974e-05  -8.9689211885563702e-06  2.7937990919934005e-05  -1.2221297911146073e-05  -6.6707009606880919e-06  1.6082935679483536e-05  -3.8486128432778095e-05  -1.0421916081254552e-05  1.1117692258094795e-05  -2.6124323839075425e-05  3.0488943329824134e-07  3.6790881912954863e-07  5.1110917619530582e-09  2.1333185741067008e-05  -2.6969809919160848e-08  -3.8225697146478101e-07  1.7585702919615313e-08  -2.6126472917933137e-05  -3.2717925508597601e-07  -1.1889299662635073e-05  1.2962480684240974e-07  1.6001061842365039e-07  4.2865795145280963e-09  9.7248550583168217e-06  -9.9925859841266796e-09  -1.6199925931183905e-07  5.4634726666373177e-09  -1.1890004474659836e-05  -1.3840093577355411e-07  -6.0090427042435138e-06  6.8144061504569706e-08  8.2989626430249178e-08  3.1096509750469605e-09  4.9373010126979865e-06  -4.4434136454228631e-09  -8.3363738119865294e-08  1.9113603001731471e-09  -6.0094010325303679e-06  -7.2070752667074575e-08
3.1999999999999802e+00  7.4249719166920948e-05  -3.1778843460311977e-05  -2.4545677563169867e-05  3.7458826494246028e-05  -3.7388711671796379e-05  -1.1581107316174633e-05  2.8358000814575853e-05  -2.7652944188300237e-05  1.6455896632933818e-05  2.2080251001269908e-05  -2.5200114474137481e-05  3.0789446171606458e-07  3.7086385905240074e-07  5.2139214550646798e-09  2.0589826324442572e-05  -2.6151070363887809e-08  -3.8548907596425947e-07  1.7634287456498854e-08  -2.5203047181203906e-05  -3.2953819349747334e-07  -1.1852462084979703e-05  1.3083881141001554e-07  1.6146127610557243e-07  4.2713576172638149e-09  9.6942548291032542e-06  -9.9002497997131598e-09  -1.6346686806173342e-07  5.5597763302630277e-09  -1.1853171190131666e-05  -1.3954470964424137e-07  -6.0187708962494471e-06  6.8631920887733161e-08  8.3654497391523502e-08  3.0625750384967029e-09  4.9446186522298428e-06  -4.4277727299295489e-09  -8.4038285712488847e-08  1.9970823225172313e-09  -6.0191302882347826e-06  -7.2548038423652993e-08
3.5999999999999699e+00  1.1298548947455948e-04  -4.2108367489648084e-05  -3.8564931417969735e-05  4.6216402479307416e-05  -6.9932598287254409e-05  -7.0049293038806802e-06  4.0895085050785907e-05  -2.7028261945745347e-05  5.2222241125715005e-05  3.6672291496504347e-05  -2.4109231773216422e-05  3.1112199901864854e-07  3.7248769761833557e-07  2.6917078798586076e-09  1.9710617659919670e-05  -2.4274183540610912e-08  -3.8943744784791643e-07  2.0748834591853521e-08  -2.4108075419178254e-05  -3.3120159647017440e-07  -1.1803107214639446e-05  1.3202538921964419e-07  1.6286946960967519e-07  4.2560573638818256e-09  9.6531306480377075e-06  -9.7974860303967495e-09  -1.6488917079890030e-07  5.6530582013230363e-09  -1.1803821181772830e-05  -1.4065229991976564e-07  -6.0267384985258905e-06  6.9114743913947612e-08  8.4310485542660926e-08  3.0172722678951490e-09  4.9501798434737535e-06  -4.4107745510808792e-09  -8.4704385818483896e-08  2.0804500200230844e-09  -6.0270990171486445e-06  -7.3019132501494740e-08
