# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.5162051838018046e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.5162028066397696e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.5161843662838340e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.5161672841657390e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.5162079512968394e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.5162254455103267e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.5161103456954786e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.5161359776582182e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.5161287118791303e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.5161237631897793e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.5161192131243609e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.5161155847765876e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.5161092446420180e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.5161008108595717e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.5160949043634590e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.5160939912152036e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.5160947296873709e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.5160920925988667e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.5160860244076400e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.5160813856307496e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.5160812636095004e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.5160827887380743e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.5160811621983253e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.5160762754563343e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.5160728027720342e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.5160731064458924e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.5160754735804186e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.5160781862750298e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.5160775399520474e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.5160751460762620e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.5160796549852554e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.5160900490394500e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.5160985922134232e-01  2.5000000000000000e-01
2.6400000000001299e+01  2.5161039055639817e-01  2.5000000000000000e-01
2.7200000000001499e+01  2.5161093565079035e-01  2.5000000000000000e-01
2.8000000000001599e+01  2.5161172550126182e-01  2.5000000000000000e-01
2.8800000000001699e+01  2.5161262032330117e-01  2.5000000000000000e-01
2.9600000000001799e+01  2.5161332811314957e-01  2.5000000000000000e-01
3.0400000000001999e+01  2.5161377894069964e-01  2.5000000000000000e-01
3.1200000000002099e+01  2.5161406479541509e-01  2.5000000000000000e-01
3.2000000000002203e+01  2.5161437961249822e-01  2.5000000000000000e-01
3.2800000000002001e+01  2.5161479075463961e-01  2.5000000000000000e-01
3.3600000000001899e+01  2.5161503869253327e-01  2.5000000000000000e-01
3.4400000000001697e+01  2.5161502217188264e-01  2.5000000000000000e-01
3.5200000000001602e+01  2.5161498115325737e-01  2.5000000000000000e-01
3.6000000000001400e+01  2.5161508258142473e-01  2.5000000000000000e-01
3.6800000000001198e+01  2.5161522402303294e-01  2.5000000000000000e-01
3.7600000000001103e+01  2.5161520436627033e-01  2.5000000000000000e-01
3.8400000000000901e+01  2.5161503321696693e-01  2.5000000000000000e-01
3.9200000000000799e+01  2.5161498845854308e-01  2.5000000000000000e-01
4.0000000000000597e+01  2.5161515386628197e-01  2.5000000000000000e-01
4.0800000000000502e+01  2.5161531268980164e-01  2.5000000000000000e-01
4.1600000000000300e+01  2.5161536496356784e-01  2.5000000000000000e-01
4.2400000000000098e+01  2.5161536235462262e-01  2.5000000000000000e-01
4.3200000000000003e+01  2.5161541905555984e-01  2.5000000000000000e-01
4.3999999999999801e+01  2.5161560236957176e-01  2.5000000000000000e-01
4.4799999999999699e+01  2.5161580434680697e-01  2.5000000000000000e-01
4.5599999999999497e+01  2.5161593311148406e-01  2.5000000000000000e-01
4.6399999999999302e+01  2.5161608696386473e-01  2.5000000000000000e-01
4.7199999999999200e+01  2.5161630331358431e-01  2.5000000000000000e-01
4.7999999999998998e+01  2.5161649991556845e-01  2.5000000000000000e-01
4.8799999999998903e+01  2.5161671321858720e-01  2.5000000000000000e-01
4.9599999999998701e+01  2.5161697139705885e-01  2.5000000000000000e-01
5.0399999999998499e+01  2.5161717611950257e-01  2.5000000000000000e-01
5.1199999999998397e+01  2.5161731660463887e-01  2.5000000000000000e-01
5.1999999999998202e+01  2.5161752773919022e-01  2.5000000000000000e-01
5.2799999999998100e+01  2.5161785867531611e-01  2.5000000000000000e-01
5.3599999999997898e+01  2.5161819056161638e-01  2.5000000000000000e-01
5.4399999999997704e+01  2.5161841927722733e-01  2.5000000000000000e-01
5.5199999999997601e+01  2.5161858208258731e-01  2.5000000000000000e-01
5.5999999999997399e+01  2.5161888027018398e-01  2.5000000000000000e-01
5.6799999999997297e+01  2.5161922592861907e-01  2.5000000000000000e-01
5.7599999999997102e+01  2.5161935659493712e-01  2.5000000000000000e-01
5.8399999999997000e+01  2.5161956301462862e-01  2.5000000000000000e-01
5.9199999999996798e+01  2.5161996483659921e-01  2.5000000000000000e-01
