# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  3.9125963834931596e+00  2.4529085840934970e-02  4.3375125427957348e+00  7.4559427766764896e-01  3.1999999999999584e+01  3.1999999999999623e+01  3.1999999999999780e+01  4.7999999999999998e+00  3.9594504417663252e+00  4.3286464144029324e+00  7.4699859604147911e-01  4.3375125427957348e+00  7.4559427766764896e-01  nan  nan  1.0000000000000000e+00  9.8716082411273298e-01
8.0000000000000004e-01  3.9155958947239586e+00  2.4599790281184340e-02  4.3375999462201875e+00  7.4559256980606292e-01  3.2000000000000028e+01  3.2000000000000028e+01  3.2000000000000021e+01  4.7999999999999998e+00  3.9624793605015904e+00  4.3287378763902939e+00  7.4699692230018810e-01  4.3375999462201875e+00  7.4559256980606292e-01  nan  nan  1.0000000000000000e+00  9.8716268933785389e-01
1.6000000000000001e+00  3.9186912715875408e+00  2.4531576557509063e-02  4.3377982096664001e+00  7.4563462342004372e-01  3.2000000000000078e+01  3.2000000000000071e+01  3.2000000000000050e+01  4.7999999999999998e+00  3.9656083562478432e+00  4.3289390185022496e+00  7.4703878086261266e-01  4.3377982096664001e+00  7.4563462342004372e-01  nan  nan  1.0000000000000000e+00  9.8717715862580113e-01
2.3999999999999901e+00  3.9219404295075284e+00  2.4436204398452593e-02  4.3379215752853044e+00  7.4564031801415154e-01  3.2000000000000568e+01  3.2000000000000504e+01  3.2000000000000306e+01  4.7999999999999998e+00  3.9689053451813550e+00  4.3290566949492852e+00  7.4704492224772079e-01  4.3379215752853044e+00  7.4564031801415154e-01  nan  nan  1.0000000000000000e+00  9.8719056245165326e-01
3.1999999999999802e+00  3.9252499372892231e+00  2.4518874497868579e-02  4.3380084610087861e+00  7.4538222582668634e-01  3.2000000000001556e+01  3.2000000000001393e+01  3.2000000000000817e+01  4.7999999999999998e+00  3.9722593248299347e+00  4.3291374112929608e+00  7.4678812768845937e-01  4.3380084610087861e+00  7.4538222582668634e-01  nan  nan  1.0000000000000000e+00  9.8715865262195834e-01
3.9999999999999600e+00  3.9285340766570003e+00  2.4554600645138501e-02  4.3381778005659690e+00  7.4524140062849842e-01  3.2000000000003077e+01  3.2000000000002736e+01  3.2000000000001577e+01  4.7999999999999998e+00  3.9755635546094599e+00  4.3293146213167386e+00  7.4664710055671801e-01  4.3381778005659690e+00  7.4524140062849842e-01  nan  nan  1.0000000000000000e+00  9.8714492610614735e-01
4.7999999999999403e+00  3.9315473084290185e+00  2.4522223403008116e-02  4.3384731908233825e+00  7.4530067178902315e-01  3.2000000000005770e+01  3.2000000000005116e+01  3.2000000000002920e+01  4.7999999999999998e+00  3.9785733967662700e+00  4.3296284512835532e+00  7.4670451436773477e-01  4.3384731908233825e+00  7.4530067178902315e-01  nan  nan  1.0000000000000000e+00  9.8723524233349624e-01
5.5999999999999304e+00  3.9343241048588382e+00  2.4508235482324680e-02  4.3386957831271218e+00  7.4549114345644607e-01  3.2000000000011063e+01  3.2000000000009784e+01  3.2000000000005528e+01  4.7999999999999998e+00  3.9813458196300067e+00  4.3298653435921919e+00  7.4689184276791565e-01  4.3386957831271218e+00  7.4549114345644607e-01  nan  nan  1.0000000000000000e+00  9.8721512843799886e-01
6.3999999999999098e+00  3.9373028227062647e+00  2.4520696749528500e-02  4.3386926851191916e+00  7.4547927336661224e-01  3.2000000000021750e+01  3.2000000000019206e+01  3.2000000000010807e+01  4.7999999999999998e+00  3.9843414149114835e+00  4.3298663779200144e+00  7.4687827856595834e-01  4.3386926851191916e+00  7.4547927336661224e-01  nan  nan  1.0000000000000000e+00  9.8722082997254923e-01
7.1999999999998900e+00  3.9407278648588764e+00  2.4526961813228738e-02  4.3386809660557928e+00  7.4543054521324059e-01  3.2000000000043300e+01  3.2000000000038213e+01  3.2000000000021458e+01  4.7999999999999998e+00  3.9877987471812908e+00  4.3298553140721543e+00  7.4682966909079906e-01  4.3386809660557928e+00  7.4543054521324059e-01  nan  nan  1.0000000000000000e+00  9.8722471329028139e-01
7.9999999999998703e+00  3.9442299872509254e+00  2.4522988386899879e-02  4.3389759863935495e+00  7.4545844985542298e-01  3.2000000000086644e+01  3.2000000000076419e+01  3.2000000000042888e+01  4.7999999999999998e+00  3.9913372070316369e+00  4.3301493144529157e+00  7.4685856269905371e-01  4.3389759863935495e+00  7.4545844985542298e-01  nan  nan  1.0000000000000000e+00  9.8722828382149164e-01
8.7999999999998604e+00  3.9471852728412928e+00  2.4511445177892728e-02  4.3395393750153133e+00  7.4552091521571462e-01  3.2000000000173074e+01  3.2000000000152596e+01  3.2000000000085514e+01  4.7999999999999998e+00  3.9943261501059997e+00  4.3307089626337243e+00  7.4692104034877727e-01  4.3395393750153133e+00  7.4552091521571462e-01  nan  nan  1.0000000000000000e+00  9.8723113107552818e-01
9.5999999999998398e+00  3.9496039042688551e+00  2.4504480243796884e-02  4.3400927410729198e+00  7.4560712172396648e-01  3.2000000000349182e+01  3.2000000000307836e+01  3.2000000000173152e+01  4.7999999999999998e+00  3.9967752700962351e+00  4.3312573192533268e+00  7.4700685763439723e-01  4.3400927410729198e+00  7.4560712172396648e-01  nan  nan  1.0000000000000000e+00  9.8723610636515191e-01
1.0399999999999800e+01  3.9522711067847918e+00  2.4511528483944230e-02  4.3409486813251075e+00  7.4567651680909586e-01  3.2000000000686299e+01  3.2000000000605617e+01  3.2000000000336485e+01  4.7999999999999998e+00  3.9994743439553786e+00  4.3321069143662019e+00  7.4707583361962493e-01  4.3409486813251075e+00  7.4567651680909586e-01  nan  nan  1.0000000000000000e+00  9.8724272465998553e-01
1.1199999999999800e+01  3.9557956023740122e+00  2.4525600961932448e-02  4.3435487322256243e+00  7.4567610863367695e-01  3.2000000001442025e+01  3.2000000001274920e+01  3.2000000000716994e+01  4.7999999999999998e+00  4.0030346554357763e+00  4.3346906116257067e+00  7.4707526926597101e-01  4.3435487322256243e+00  7.4567610863367695e-01  nan  nan  1.0000000000000000e+00  9.8724735974122191e-01
1.1999999999999799e+01  3.9597968040560021e+00  2.4530107284979147e-02  4.3492527075595007e+00  7.4554301920509614e-01  3.2000000003420816e+01  3.2000000003043517e+01  3.2000000001744141e+01  4.7999999999999998e+00  4.0070725492437376e+00  4.3403559373758602e+00  7.4694283174369291e-01  4.3492527075595007e+00  7.4554301920509614e-01  nan  nan  1.0000000000000000e+00  9.8724807633081713e-01
1.2799999999999800e+01  3.9635575226597304e+00  2.4520552063384216e-02  4.3582564748593793e+00  7.4533744355481757e-01  3.2000000008316711e+01  3.2000000007294403e+01  3.2000000004242764e+01  4.7999999999999998e+00  4.0108672817502082e+00  4.3492932623043714e+00  7.4673871775739098e-01  4.3582564748593793e+00  7.4533744355481757e-01  nan  nan  1.0000000000000000e+00  9.8724749681726798e-01
