# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  1.4690895484403777e-17  6.2581295161370246e-22  2.9320005078260019e-03  1.0117280020313040e+00  7.0781658900259614e-01
8.0000000000000004e-01  1.5202173197583922e-15  7.3844911201320212e-22  1.3722541425493734e-03  1.0054890165701975e+00  9.4815962368922890e-01
1.6000000000000001e+00  1.2066136075536592e-13  6.1510546284440209e-22  1.8996667814464071e-03  1.0075986671257857e+00  9.9537733637250869e-01
2.3999999999999901e+00  1.1967048112826772e-14  5.0466377872374456e-22  1.1002720203369360e-02  1.0440108808134774e+00  9.9447792675640423e-01
3.1999999999999802e+00  3.4986115715344895e-15  5.1012321756252569e-22  1.5682190497948369e-03  1.0062728761991793e+00  9.7309338577763238e-01
3.9999999999999600e+00  9.4027744794091251e-17  1.3021567588292362e-21  7.0782711530874255e-04  1.0028313084612350e+00  6.6835198033845933e-01
4.7999999999999403e+00  4.2766262074271008e-16  3.5420198242964717e-21  3.6331984692149677e-04  1.0014532793876860e+00  6.4642838152852911e-01
5.5999999999999304e+00  1.4770073530428207e-15  2.1676897328227652e-19  4.3530803596484197e-04  1.0017412321438595e+00  5.2322398558448932e-02
6.3999999999999098e+00  1.6639638615005344e-15  1.9436082842425761e-18  6.2775389322096279e-04  1.0025110155728838e+00  7.5931081969030845e-01
7.1999999999998900e+00  2.1211666474062840e-15  4.2301371255864049e-18  2.1044680774930974e-03  1.0084178723099724e+00  3.0983509743480631e-01
7.9999999999998703e+00  3.6509181120437202e-15  5.0142709053746444e-18  7.3108500399986813e-03  1.0292434001599948e+00  2.1658083922947313e-01
8.7999999999998604e+00  1.2981480932247273e-14  3.2963614379113466e-18  4.5041819674335997e-03  1.0180167278697343e+00  4.9184613147692763e-01
9.5999999999998398e+00  1.5417541596478757e-15  5.0726242359220797e-19  5.8664724633340759e-04  1.0023465889853336e+00  1.1052662272314148e-01
1.0399999999999800e+01  1.9000733067587748e-15  1.7556786537800815e-19  1.6335206125607266e-03  1.0065340824502429e+00  4.9119228417742633e-01
1.1199999999999800e+01  1.2151706729948359e-15  8.1881997968974137e-19  2.0630452198934723e-03  1.0082521808795739e+00  6.1798675845454280e-02
1.1999999999999799e+01  2.0491950579555297e-15  2.7340785825854804e-18  6.7922825845952205e-04  1.0027169130338380e+00  8.7375312103554414e-01
1.2799999999999800e+01  9.3984891712563962e-16  3.1068781017816662e-18  2.5337303759621478e-03  1.0101349215038486e+00  4.6518824636489559e-01
1.3599999999999801e+01  1.2116825302264294e-15  1.3691449255638314e-17  1.3747433477867298e-02  1.0549897339114691e+00  2.5109638528465650e-01
1.4399999999999700e+01  2.3889283098569221e-16  5.9136614823379389e-18  3.1664389830523734e-02  1.1266575593220949e+00  2.3138859639119894e-01
1.5199999999999701e+01  4.5021386613713602e-15  1.9041080750717351e-17  2.1527560337962050e-03  1.0086110241351849e+00  9.3957932900413366e-01
1.5999999999999700e+01  4.3272533310273202e-16  8.8973648722570607e-18  1.0792954043093786e-02  1.0431718161723751e+00  8.2393686747095762e-01
1.6799999999999802e+01  2.7952998620794124e-15  1.5566657635896227e-17  3.0599784447556413e-03  1.0122399137790226e+00  9.0374405026760163e-01
1.7600000000000001e+01  1.0178356596302017e-16  9.3870992391488630e-18  5.3959711207700170e-02  1.2158388448308006e+00  6.5933457706656706e-01
1.8400000000000102e+01  1.8249998102090630e-15  5.4900726402888272e-18  2.7610438338526990e-03  1.0110441753354107e+00  9.5402615174110106e-01
1.9200000000000198e+01  1.7100139927873211e-16  5.6945113165123284e-18  1.7639363685621849e-02  1.0705574547424874e+00  8.4863934585667078e-01
2.0000000000000298e+01  4.6807936806636104e-17  1.4519980983626546e-19  2.4756154074966723e-03  1.0099024616299868e+00  7.4768677553260299e-01
2.0800000000000502e+01  2.2507556252824212e-17  1.5052904894577891e-19  4.2346252796059795e-03  1.0169385011184240e+00  6.8560514447425225e-01
2.1600000000000598e+01  4.1274118794825070e-16  1.2364907044875314e-18  1.9290800001463587e-03  1.0077163200005854e+00  7.9216866202203251e-01
