# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  9.6572442075740980e-19  -7.4467852713457939e-16  1.2306417050811248e-09  1.2192663131444477e-09  4.8131239549705685e-09  1.3574809333819453e-22  1.2306432886257262e-09  -1.2192678966894712e-09  9.6558919832470877e-19  7.4740484278375346e-16  3.2709899552415348e-14  2.5016230759632161e-11  6.1634358290183286e-12  2.6072035520081566e-11  4.5908060717519978e-10  5.6621028915473567e-18  6.1665103526460861e-12  -2.6075120137746073e-11  3.2710210276713745e-14  -2.5016233945174313e-11
8.0000000000000004e-01  2.7990130227024676e-16  1.1270956606009198e-16  3.4012420378443397e-11  2.8107181639321809e-11  5.5135221204265573e-08  1.9161664367599988e-18  3.4012473149740933e-11  -2.8107496014061937e-11  6.0196171098020076e-17  -7.6483698223725239e-17  3.5466660140521599e-14  2.7174417064523159e-11  4.5200020995384039e-12  2.6439919398737341e-11  7.3158228443840787e-10  5.7059971952095662e-18  4.5202004193432788e-12  -2.6439862514113009e-11  3.5508945189698580e-14  -2.7174376945204562e-11
1.6000000000000001e+00  2.8368756545657171e-16  8.3870294397236625e-17  -1.6606944535749689e-08  -1.6613301599991425e-08  -4.9012122266291243e-07  -8.2998359936166428e-18  -1.6606944756071214e-08  1.6613301858528459e-08  3.1246465213161744e-16  1.5030775438708818e-17  3.8087880836192883e-14  2.4801203853646305e-11  5.7007589020378740e-12  2.5522907037626282e-11  5.6674373881908776e-10  8.0412339131921320e-17  5.7004306466067445e-12  -2.5522839181435411e-11  3.8498257432850268e-14  -2.4801376576932557e-11
2.3999999999999901e+00  -9.6477555420155392e-17  -7.2523247260818409e-17  1.6750405833784354e-08  1.6739041677652912e-08  -1.5103809829157695e-07  1.9669214904831747e-16  1.6750405953225082e-08  -1.6739041533319193e-08  -1.2099480291351982e-16  -9.6557148279021474e-17  4.0354169872024080e-14  2.2464740197637135e-11  6.2718137651253964e-12  2.3982387631720511e-11  2.0887527999259495e-10  1.0587595666399242e-16  6.2718288990641903e-12  -2.3982206608781364e-11  4.0419717151493738e-14  -2.2464633160794416e-11
3.1999999999999802e+00  -3.6101175851395029e-16  -4.5664358284340699e-17  -7.8750944035582213e-09  -7.8949308277260519e-09  8.2147451278003832e-08  -2.2376314823123870e-16  -7.8750948858436325e-09  7.8949312381181537e-09  -1.9229043003196584e-16  3.0737426759569383e-16  4.2521904537809610e-14  2.2586022760336180e-11  6.0249328436223404e-12  2.3670316660611423e-11  5.6839672234377583e-10  -1.5478045104236968e-16  6.0253425360158119e-12  -2.3670084764344824e-11  4.3159438931355680e-14  -2.2585710966919411e-11
3.9999999999999600e+00  5.5304597606770166e-16  8.7058862273974007e-17  5.4774157643537006e-09  5.5130237797508449e-09  8.0885602703697197e-09  4.0358568704863144e-17  5.4774159224127451e-09  -5.5130235642818460e-09  1.4282617754340031e-16  -1.0808751808909825e-16  4.5171814567378973e-14  3.6084664017401099e-11  6.2991536438201057e-12  3.4222508205587650e-11  1.3544842659815602e-09  2.4188413809642604e-15  6.2975483341915690e-12  -3.4223132937645857e-11  4.6292732802587481e-14  -3.6086096443842308e-11
4.7999999999999403e+00  -4.5480419483286340e-16  -1.8113401137669088e-16  7.5130060115556745e-09  7.4440435896692505e-09  2.4937083092905979e-08  -4.8389989526940611e-17  7.5130058660207996e-09  -7.4440436981555918e-09  -2.7195436406747640e-16  7.9248976898290261e-17  4.3292614372319206e-14  5.9495437301789244e-11  7.6687940107434165e-12  6.8314580747339655e-11  -3.1196966299334231e-09  1.9663864863661883e-14  7.6125236610024631e-12  -6.8304756266001670e-11  3.6065235090749193e-14  -5.9534270916760806e-11
5.5999999999999304e+00  2.0729518445575013e-16  -4.9262935770330236e-17  -5.8017395973829777e-09  -5.7828842647403435e-09  -4.8185516331014120e-08  2.1776055402135308e-17  -5.8017397979079761e-09  5.7828842570308531e-09  -1.3227366656913480e-16  -1.3285545755346316e-16  5.4714126094840395e-14  -4.6545144349195292e-10  -2.8881084039994008e-11  -4.3257882064562671e-10  -2.2297027863917136e-08  -1.9585449971165444e-13  -2.8478443028499720e-11  4.3254489607515636e-10  8.9050284895958336e-14  4.6571760691661750e-10
6.3999999999999098e+00  8.4116875599609409e-17  6.9363660644662852e-17  -5.2062087997310331e-09  -5.1632513228828386e-09  -1.1147609003021472e-08  -1.8742024971575700e-16  -5.2062086052559064e-09  5.1632511112543500e-09  1.8814821743077843e-16  -7.6490621679187144e-17  3.9135556242873760e-14  1.3937606077388619e-09  9.7629615563442586e-11  1.2414378613222587e-09  5.5580057620247096e-08  6.5975146532687917e-13  9.6353862861733887e-11  -1.2413647738971795e-09  -1.0618909079385848e-13  -1.3945063370213785e-09
7.1999999999998900e+00  -1.0011035727823832e-16  -1.3159166869843838e-16  7.9959177182213491e-09  7.9199178483520298e-09  4.4485272053149622e-08  2.1405499521363565e-16  7.9959178138411945e-09  -7.9199178586956769e-09  1.8022067923123540e-16  -1.8533507095688963e-16  1.2545028484527909e-13  -2.0557407202184113e-09  -1.1834793838826214e-10  -1.7676698589277586e-09  -4.4669211363122428e-08  -1.8167521435032079e-12  -1.1442330869345524e-10  1.7674243126964463e-09  7.1510505769809845e-13  2.0577181088029487e-09
7.9999999999998703e+00  -4.5005981032505447e-16  -3.1119669029554295e-16  8.8898925087833472e-09  8.8971207699216456e-09  7.9369964762349588e-08  1.2460123229315896e-17  8.8898928345260302e-09  -8.8971208679946788e-09  -3.6708538296271441e-16  -6.1628195313139477e-17  -1.6938160498812845e-13  2.2358774204397296e-09  1.2222052200701669e-10  1.8971122661374386e-09  2.5857759631770924e-08  4.9404475418379304e-12  1.0725893783039324e-10  -1.8945289309432937e-09  -3.1031762853565089e-12  -2.2426288843951523e-09
8.7999999999998604e+00  -2.5498570041474284e-16  -2.0209704407037526e-16  -6.4739320693472554e-09  -6.4442931450712365e-09  -1.5831688427134518e-07  -3.9441429925948291e-17  -6.4739302937039444e-09  6.4442915379615144e-09  8.4077917610921631e-16  1.7193084788314885e-15  -1.1847170891343673e-12  -1.8058260646235845e-09  -9.8650970684195355e-11  -1.5149303842133444e-09  -2.6845971042873210e-08  -8.7420958758680898e-12  -4.7490757002697772e-11  1.4962217970766480e-09  1.2497653708879569e-11  1.8252554630084563e-09
