# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.4928784033734538e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.4928759490313573e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.4928780042045687e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.4928793870639571e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.4928794624229197e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.4928826428464265e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.4928837810901053e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.4928795196254633e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.4928787177297596e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.4928928939746992e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.4928940553652176e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.4928903544953507e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.4928896418754629e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.4928885989057042e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.4928872395406371e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.4928859342555562e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.4928852018852246e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.4928851476784217e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.4928849692144550e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.4928840836230443e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.4928828370719058e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.4928819067599159e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.4928814542764421e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.4928809627442680e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.4928798852575670e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.4928789699481999e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.4928775861927699e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.4928734694105245e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.4928703550983189e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.4928696141451809e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.4928650014539022e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.4928562098852974e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.4928472550851880e-01  2.5000000000000000e-01
2.6400000000001299e+01  2.4928389470744083e-01  2.5000000000000000e-01
2.7200000000001499e+01  2.4928309489814782e-01  2.5000000000000000e-01
2.8000000000001599e+01  2.4928232099367523e-01  2.5000000000000000e-01
2.8800000000001699e+01  2.4928158433037195e-01  2.5000000000000000e-01
2.9600000000001799e+01  2.4928088106139734e-01  2.5000000000000000e-01
3.0400000000001999e+01  2.4928022768894650e-01  2.5000000000000000e-01
3.1200000000002099e+01  2.4927974366577901e-01  2.5000000000000000e-01
3.2000000000002203e+01  2.4927938721125692e-01  2.5000000000000000e-01
3.2800000000002001e+01  2.4927903686454589e-01  2.5000000000000000e-01
3.3600000000001899e+01  2.4927876471526719e-01  2.5000000000000000e-01
3.4400000000001697e+01  2.4927860428011464e-01  2.5000000000000000e-01
3.5200000000001602e+01  2.4927848676104211e-01  2.5000000000000000e-01
3.6000000000001400e+01  2.4927841016303162e-01  2.5000000000000000e-01
3.6800000000001198e+01  2.4927841551554974e-01  2.5000000000000000e-01
3.7600000000001103e+01  2.4927849006924510e-01  2.5000000000000000e-01
3.8400000000000901e+01  2.4927853782658038e-01  2.5000000000000000e-01
3.9200000000000799e+01  2.4927845393659592e-01  2.5000000000000000e-01
4.0000000000000597e+01  2.4927832353784207e-01  2.5000000000000000e-01
4.0800000000000502e+01  2.4927831547094245e-01  2.5000000000000000e-01
4.1600000000000300e+01  2.4927836150104976e-01  2.5000000000000000e-01
4.2400000000000098e+01  2.4927829016043729e-01  2.5000000000000000e-01
4.3200000000000003e+01  2.4927810880190815e-01  2.5000000000000000e-01
4.3999999999999801e+01  2.4927795734586553e-01  2.5000000000000000e-01
4.4799999999999699e+01  2.4927791849527481e-01  2.5000000000000000e-01
4.5599999999999497e+01  2.4927788265248638e-01  2.5000000000000000e-01
4.6399999999999302e+01  2.4927769332050520e-01  2.5000000000000000e-01
4.7199999999999200e+01  2.4927742348880669e-01  2.5000000000000000e-01
4.7999999999998998e+01  2.4927725697908176e-01  2.5000000000000000e-01
4.8799999999998903e+01  2.4927716524587804e-01  2.5000000000000000e-01
4.9599999999998701e+01  2.4927700837254235e-01  2.5000000000000000e-01
5.0399999999998499e+01  2.4927679314152465e-01  2.5000000000000000e-01
5.1199999999998397e+01  2.4927658765207530e-01  2.5000000000000000e-01
5.1999999999998202e+01  2.4927640246792152e-01  2.5000000000000000e-01
5.2799999999998100e+01  2.4927620143122811e-01  2.5000000000000000e-01
5.3599999999997898e+01  2.4927596275318298e-01  2.5000000000000000e-01
5.4399999999997704e+01  2.4927579635996971e-01  2.5000000000000000e-01
5.5199999999997601e+01  2.4927566716697308e-01  2.5000000000000000e-01
5.5999999999997399e+01  2.4927537661119908e-01  2.5000000000000000e-01
5.6799999999997297e+01  2.4927509150176053e-01  2.5000000000000000e-01
5.7599999999997102e+01  2.4927497066964782e-01  2.5000000000000000e-01
5.8399999999997000e+01  2.4927476404593668e-01  2.5000000000000000e-01
5.9199999999996798e+01  2.4927446974786560e-01  2.5000000000000000e-01
5.9999999999996597e+01  2.4927427094530311e-01  2.5000000000000000e-01
6.0799999999996501e+01  2.4927402990117664e-01  2.5000000000000000e-01
6.1599999999996299e+01  2.4927378455231003e-01  2.5000000000000000e-01
6.2399999999996197e+01  2.4927362532489405e-01  2.5000000000000000e-01
6.3199999999996002e+01  2.4927330738845718e-01  2.5000000000000000e-01
6.3999999999995801e+01  2.4927299760176175e-01  2.5000000000000000e-01
6.4799999999996203e+01  2.4927297771771045e-01  2.5000000000000000e-01
6.5599999999996697e+01  2.4927283878392900e-01  2.5000000000000000e-01
6.6399999999997107e+01  2.4927243089425624e-01  2.5000000000000000e-01
6.7199999999997502e+01  2.4927227866253160e-01  2.5000000000000000e-01
6.7999999999997897e+01  2.4927235732047368e-01  2.5000000000000000e-01
6.8799999999998306e+01  2.4927206063437368e-01  2.5000000000000000e-01
6.9599999999998701e+01  2.4927155076150620e-01  2.5000000000000000e-01
7.0399999999999096e+01  2.4927131360016289e-01  2.5000000000000000e-01
7.1199999999999505e+01  2.4927109625430985e-01  2.5000000000000000e-01
7.1999999999999901e+01  2.4927075815243754e-01  2.5000000000000000e-01
7.2800000000000296e+01  2.4927034269960852e-01  2.5000000000000000e-01
7.3600000000000705e+01  2.4926983635556307e-01  2.5000000000000000e-01
7.4400000000001199e+01  2.4926950179908197e-01  2.5000000000000000e-01
7.5200000000001594e+01  2.4926924425687666e-01  2.5000000000000000e-01
7.6000000000002004e+01  2.4926878437824951e-01  2.5000000000000000e-01
7.6800000000002399e+01  2.4926826677499073e-01  2.5000000000000000e-01
7.7600000000002794e+01  2.4926794236953406e-01  2.5000000000000000e-01
7.8400000000003203e+01  2.4926769803274479e-01  2.5000000000000000e-01
7.9200000000003598e+01  2.4926738887212804e-01  2.5000000000000000e-01
8.0000000000003993e+01  2.4926704745440711e-01  2.5000000000000000e-01
8.0800000000004403e+01  2.4926661998044428e-01  2.5000000000000000e-01
8.1600000000004798e+01  2.4926629018555219e-01  2.5000000000000000e-01
8.2400000000005207e+01  2.4926610984319431e-01  2.5000000000000000e-01
8.3200000000005701e+01  2.4926582621692567e-01  2.5000000000000000e-01
8.4000000000006096e+01  2.4926548437049881e-01  2.5000000000000000e-01
8.4800000000006506e+01  2.4926518734387970e-01  2.5000000000000000e-01
8.5600000000006901e+01  2.4926490810919222e-01  2.5000000000000000e-01
8.6400000000007296e+01  2.4926463331800283e-01  2.5000000000000000e-01
8.7200000000007705e+01  2.4926434459566779e-01  2.5000000000000000e-01
8.8000000000008100e+01  2.4926404407941469e-01  2.5000000000000000e-01
8.8800000000008495e+01  2.4926375634865919e-01  2.5000000000000000e-01
8.9600000000008905e+01  2.4926347891329495e-01  2.5000000000000000e-01
9.0400000000009300e+01  2.4926318547923174e-01  2.5000000000000000e-01
9.1200000000009794e+01  2.4926288183148113e-01  2.5000000000000000e-01
9.2000000000010203e+01  2.4926260803460673e-01  2.5000000000000000e-01
9.2800000000010598e+01  2.4926236770880994e-01  2.5000000000000000e-01
9.3600000000010994e+01  2.4926212714878543e-01  2.5000000000000000e-01
9.4400000000011403e+01  2.4926186729938085e-01  2.5000000000000000e-01
9.5200000000011798e+01  2.4926158272286614e-01  2.5000000000000000e-01
9.6000000000012193e+01  2.4926128334364636e-01  2.5000000000000000e-01
9.6800000000012602e+01  2.4926099189267234e-01  2.5000000000000000e-01
9.7600000000012997e+01  2.4926071433011093e-01  2.5000000000000000e-01
9.8400000000013407e+01  2.4926043991566013e-01  2.5000000000000000e-01
9.9200000000013802e+01  2.4926015277187413e-01  2.5000000000000000e-01
1.0000000000001400e+02  2.4925985807114109e-01  2.5000000000000000e-01
1.0080000000001500e+02  2.4925957412971697e-01  2.5000000000000000e-01
1.0160000000001500e+02  2.4925926016462985e-01  2.5000000000000000e-01
1.0240000000001500e+02  2.4925888900342014e-01  2.5000000000000000e-01
1.0320000000001600e+02  2.4925855812777442e-01  2.5000000000000000e-01
1.0400000000001600e+02  2.4925831356185582e-01  2.5000000000000000e-01
1.0480000000001699e+02  2.4925802804409078e-01  2.5000000000000000e-01
1.0560000000001700e+02  2.4925763670194986e-01  2.5000000000000000e-01
1.0640000000001800e+02  2.4925725103546439e-01  2.5000000000000000e-01
1.0720000000001799e+02  2.4925695477892584e-01  2.5000000000000000e-01
1.0800000000001801e+02  2.4925668127045716e-01  2.5000000000000000e-01
1.0880000000001900e+02  2.4925631449248020e-01  2.5000000000000000e-01
1.0960000000001899e+02  2.4925586498070509e-01  2.5000000000000000e-01
1.1040000000002000e+02  2.4925548934189079e-01  2.5000000000000000e-01
1.1120000000002000e+02  2.4925523634090832e-01  2.5000000000000000e-01
1.1200000000001999e+02  2.4925494596785103e-01  2.5000000000000000e-01
1.1280000000002100e+02  2.4925454238743031e-01  2.5000000000000000e-01
1.1360000000002100e+02  2.4925414151271483e-01  2.5000000000000000e-01
1.1440000000002200e+02  2.4925380806417624e-01  2.5000000000000000e-01
1.1520000000002200e+02  2.4925350621258729e-01  2.5000000000000000e-01
1.1600000000002200e+02  2.4925320478021062e-01  2.5000000000000000e-01
1.1680000000002300e+02  2.4925286695653723e-01  2.5000000000000000e-01
1.1760000000002300e+02  2.4925250551690212e-01  2.5000000000000000e-01
1.1840000000002399e+02  2.4925217181160741e-01  2.5000000000000000e-01
1.1920000000002400e+02  2.4925183026470971e-01  2.5000000000000000e-01
1.2000000000002400e+02  2.4925146077472296e-01  2.5000000000000000e-01
1.2080000000002499e+02  2.4925110802986875e-01  2.5000000000000000e-01
1.2160000000002501e+02  2.4925075822758241e-01  2.5000000000000000e-01
1.2240000000002600e+02  2.4925040586479569e-01  2.5000000000000000e-01
1.2320000000002599e+02  2.4925005012072113e-01  2.5000000000000000e-01
1.2400000000002700e+02  2.4924964544951941e-01  2.5000000000000000e-01
1.2480000000002700e+02  2.4924926000193937e-01  2.5000000000000000e-01
1.2560000000002699e+02  2.4924896549456280e-01  2.5000000000000000e-01
1.2640000000002800e+02  2.4924862758199362e-01  2.5000000000000000e-01
1.2720000000002800e+02  2.4924815245485094e-01  2.5000000000000000e-01
1.2800000000002899e+02  2.4924767804416739e-01  2.5000000000000000e-01
1.2880000000002801e+02  2.4924733852813943e-01  2.5000000000000000e-01
1.2960000000002699e+02  2.4924706662062901e-01  2.5000000000000000e-01
1.3040000000002601e+02  2.4924669674476591e-01  2.5000000000000000e-01
1.3120000000002599e+02  2.4924621070658634e-01  2.5000000000000000e-01
1.3200000000002501e+02  2.4924577232711742e-01  2.5000000000000000e-01
1.3280000000002400e+02  2.4924546001934622e-01  2.5000000000000000e-01
1.3360000000002299e+02  2.4924516112659506e-01  2.5000000000000000e-01
1.3440000000002300e+02  2.4924476309866533e-01  2.5000000000000000e-01
1.3520000000002199e+02  2.4924430459678376e-01  2.5000000000000000e-01
1.3600000000002100e+02  2.4924392381838872e-01  2.5000000000000000e-01
1.3680000000002099e+02  2.4924363526668375e-01  2.5000000000000000e-01
1.3760000000002000e+02  2.4924329407760465e-01  2.5000000000000000e-01
1.3840000000001899e+02  2.4924287332500097e-01  2.5000000000000000e-01
1.3920000000001801e+02  2.4924248931472290e-01  2.5000000000000000e-01
1.4000000000001799e+02  2.4924215183461101e-01  2.5000000000000000e-01
1.4080000000001701e+02  2.4924179044084191e-01  2.5000000000000000e-01
1.4160000000001600e+02  2.4924141132276464e-01  2.5000000000000000e-01
1.4240000000001501e+02  2.4924102979128612e-01  2.5000000000000000e-01
1.4320000000001500e+02  2.4924064948609054e-01  2.5000000000000000e-01
1.4400000000001401e+02  2.4924030251472656e-01  2.5000000000000000e-01
1.4480000000001300e+02  2.4923993661598740e-01  2.5000000000000000e-01
1.4560000000001301e+02  2.4923951397307917e-01  2.5000000000000000e-01
1.4640000000001200e+02  2.4923910919881778e-01  2.5000000000000000e-01
1.4720000000001099e+02  2.4923875057167605e-01  2.5000000000000000e-01
1.4800000000001000e+02  2.4923840507345368e-01  2.5000000000000000e-01
1.4880000000000999e+02  2.4923800708010582e-01  2.5000000000000000e-01
1.4960000000000900e+02  2.4923755503084460e-01  2.5000000000000000e-01
1.5040000000000799e+02  2.4923715681202582e-01  2.5000000000000000e-01
1.5120000000000701e+02  2.4923683046267195e-01  2.5000000000000000e-01
1.5200000000000699e+02  2.4923646583903888e-01  2.5000000000000000e-01
1.5280000000000601e+02  2.4923601539873200e-01  2.5000000000000000e-01
1.5360000000000500e+02  2.4923557243578676e-01  2.5000000000000000e-01
1.5440000000000501e+02  2.4923520153201059e-01  2.5000000000000000e-01
1.5520000000000400e+02  2.4923486168481548e-01  2.5000000000000000e-01
1.5600000000000301e+02  2.4923447760991146e-01  2.5000000000000000e-01
1.5680000000000200e+02  2.4923402751862245e-01  2.5000000000000000e-01
1.5760000000000201e+02  2.4923359037618509e-01  2.5000000000000000e-01
1.5840000000000100e+02  2.4923319510057992e-01  2.5000000000000000e-01
1.5919999999999999e+02  2.4923280083221258e-01  2.5000000000000000e-01
1.5999999999999901e+02  2.4923240552766476e-01  2.5000000000000000e-01
1.6079999999999899e+02  2.4923199801453566e-01  2.5000000000000000e-01
1.6159999999999800e+02  2.4923156664784382e-01  2.5000000000000000e-01
1.6239999999999699e+02  2.4923114467824639e-01  2.5000000000000000e-01
1.6319999999999700e+02  2.4923075112532794e-01  2.5000000000000000e-01
1.6399999999999599e+02  2.4923035762700654e-01  2.5000000000000000e-01
1.6479999999999501e+02  2.4922993544883362e-01  2.5000000000000000e-01
1.6559999999999400e+02  2.4922950371718494e-01  2.5000000000000000e-01
1.6639999999999401e+02  2.4922909729250869e-01  2.5000000000000000e-01
1.6719999999999300e+02  2.4922870079712262e-01  2.5000000000000000e-01
1.6799999999999201e+02  2.4922827986519086e-01  2.5000000000000000e-01
1.6879999999999100e+02  2.4922784632239919e-01  2.5000000000000000e-01
1.6959999999999101e+02  2.4922742683407953e-01  2.5000000000000000e-01
1.7039999999999000e+02  2.4922701871731973e-01  2.5000000000000000e-01
1.7119999999998899e+02  2.4922660532973753e-01  2.5000000000000000e-01
1.7199999999998900e+02  2.4922617239754169e-01  2.5000000000000000e-01
1.7279999999998799e+02  2.4922572712051216e-01  2.5000000000000000e-01
1.7359999999998701e+02  2.4922530504688375e-01  2.5000000000000000e-01
1.7439999999998599e+02  2.4922490891380486e-01  2.5000000000000000e-01
1.7519999999998601e+02  2.4922448408405479e-01  2.5000000000000000e-01
1.7599999999998499e+02  2.4922401817096454e-01  2.5000000000000000e-01
