time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  2.0418948677671868e-08
8.0000000000000004e-01  0.0000000000000000e+00  1.9999452414108480e-07
1.6000000000000001e+00  0.0000000000000000e+00  1.1411300343069134e-07
2.3999999999999901e+00  0.0000000000000000e+00  4.7634976945587076e-07
3.1999999999999802e+00  0.0000000000000000e+00  6.7297892636110301e-07
3.9999999999999600e+00  0.0000000000000000e+00  6.2140157543278163e-07
4.7999999999999403e+00  0.0000000000000000e+00  4.9007047926991746e-07
5.5999999999999304e+00  0.0000000000000000e+00  3.8743085265036883e-07
6.3999999999999098e+00  0.0000000000000000e+00  3.2764241612783121e-07
7.1999999999998900e+00  0.0000000000000000e+00  2.9064322409368344e-07
7.9999999999998703e+00  0.0000000000000000e+00  2.6129605988139352e-07
8.7999999999998604e+00  0.0000000000000000e+00  2.3528910002389430e-07
9.5999999999998398e+00  0.0000000000000000e+00  2.1287929895188793e-07
1.0399999999999800e+01  0.0000000000000000e+00  1.9470700896953927e-07
1.1199999999999800e+01  0.0000000000000000e+00  1.8009051767098598e-07
1.1999999999999799e+01  0.0000000000000000e+00  1.6916339279867979e-07
1.2799999999999800e+01  0.0000000000000000e+00  1.5775498888130751e-07
1.3599999999999801e+01  0.0000000000000000e+00  1.5106440068859840e-07
1.4399999999999700e+01  0.0000000000000000e+00  1.4226471543658572e-07
1.5199999999999701e+01  0.0000000000000000e+00  1.3776600346734095e-07
1.5999999999999700e+01  0.0000000000000000e+00  1.3244874185138522e-07
1.6799999999999802e+01  0.0000000000000000e+00  1.2823659621819958e-07
1.7600000000000001e+01  0.0000000000000000e+00  1.2354936874621922e-07
1.8400000000000102e+01  0.0000000000000000e+00  1.2148178605374842e-07
1.9200000000000198e+01  0.0000000000000000e+00  1.1868548233103580e-07
2.0000000000000298e+01  0.0000000000000000e+00  1.1551935437015956e-07
2.0800000000000502e+01  0.0000000000000000e+00  1.1471584518318782e-07
2.1600000000000598e+01  0.0000000000000000e+00  1.1236296554034579e-07
2.2400000000000698e+01  0.0000000000000000e+00  1.1461964585562910e-07
