# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  4.3520757656579237e-03  7.5634144789647889e-03  1  1.0158785058712836e+00  0.0000000000000000e+00  0.0000000000000000e+00  nan  1  5  5  1.3730459723160137e-04  0.0000000000000000e+00  0
8.0000000000000004e-01  4.3553784053458949e-03  7.5633500725748150e-03  1  1.0158813040727992e+00  0.0000000000000000e+00  7.8279609371773267e-06  nan  1  5  5  1.3711555930167585e-04  0.0000000000000000e+00  0
1.6000000000000001e+00  4.3589299113662308e-03  7.5687059929590503e-03  1  1.0159197241289046e+00  0.0000000000000000e+00  1.3126450132850806e-05  nan  1  5  5  1.3686264362079370e-04  0.0000000000000000e+00  0
2.3999999999999901e+00  4.3612610275094678e-03  7.5637233367532699e-03  1  1.0158913400901852e+00  0.0000000000000000e+00  2.5943688026551018e-05  nan  1  5  5  1.3932551503977947e-04  0.0000000000000000e+00  0
3.1999999999999802e+00  4.3631558245434089e-03  7.5417445969265052e-03  1  1.0158294026175114e+00  0.0000000000000000e+00  2.2458234242852119e-05  nan  1  5  5  1.3697425619164715e-04  0.0000000000000000e+00  0
3.9999999999999600e+00  4.3633209116872513e-03  7.5344286231983195e-03  1  1.0157709038965526e+00  0.0000000000000000e+00  4.3599085646656651e-05  nan  1  5  5  1.3497588081618609e-04  0.0000000000000000e+00  0
4.7999999999999403e+00  4.3639710849723342e-03  7.5633935002644079e-03  1  1.0158890717103504e+00  0.0000000000000000e+00  1.4340484430689131e-05  nan  1  5  5  1.3838184551077820e-04  0.0000000000000000e+00  0
5.5999999999999304e+00  4.3676663686356238e-03  7.5669401681139389e-03  1  1.0158661468363002e+00  0.0000000000000000e+00  1.2874202359876598e-05  nan  1  5  5  1.3756092454880595e-04  0.0000000000000000e+00  0
6.3999999999999098e+00  4.3707579541298986e-03  7.5701054723978046e-03  1  1.0158721480744684e+00  0.0000000000000000e+00  8.2307370943019807e-06  nan  1  5  5  1.3692061244532686e-04  0.0000000000000000e+00  0
7.1999999999998900e+00  4.3716545895617865e-03  7.5731392079192430e-03  1  1.0158760258117565e+00  0.0000000000000000e+00  9.3454792908160923e-06  nan  1  5  5  1.3710970501119618e-04  0.0000000000000000e+00  0
7.9999999999998703e+00  4.3740490366551534e-03  7.5745648465852513e-03  1  1.0158733421753428e+00  0.0000000000000000e+00  1.1131012633773111e-05  nan  1  5  5  1.3703268043892695e-04  0.0000000000000000e+00  0
8.7999999999998604e+00  4.3788265044771256e-03  7.5740251145928186e-03  1  1.0158629537699280e+00  0.0000000000000000e+00  1.3137628408820958e-05  nan  1  5  5  1.3682814933420993e-04  0.0000000000000000e+00  0
9.5999999999998398e+00  4.3827911127775612e-03  7.5733049358202749e-03  1  1.0158518943604893e+00  0.0000000000000000e+00  1.3640945271780203e-05  nan  1  5  5  1.3668116405039194e-04  0.0000000000000000e+00  0
