# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  nan  nan  nan  nan  3.6999999999999993e+01  3.2000000000000000e+01  3.1999999999999993e+01  2.4411410354063856e-02  nan  nan  nan  0.0000000000000000e+00  nan  nan  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  nan  nan  nan  nan  3.7000000055811405e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4479218797525352e-02  nan  nan  nan  -1.5505963046347249e-11  nan  nan  -4.0289085576650363e-07  8.3499310051454855e-06
1.6000000000000001e+00  nan  nan  nan  nan  3.7000000216490101e+01  3.2000000000000007e+01  3.2000000000000000e+01  2.4405699908404625e-02  nan  nan  nan  -2.5025935421225651e-11  nan  nan  -2.6081340149464437e-06  1.3471226314419159e-05
2.3999999999999901e+00  nan  nan  nan  nan  3.7000000424620303e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4324150008776472e-02  nan  nan  nan  -2.8267261428435185e-11  nan  nan  9.5210545518010435e-06  2.5984300794328407e-05
3.1999999999999802e+00  nan  nan  nan  nan  3.7000000598733003e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4408802352488899e-02  nan  nan  nan  -3.2040276536506920e-11  nan  nan  -1.1921637823483851e-05  2.3272973380300671e-05
3.9999999999999600e+00  nan  nan  nan  nan  3.7000000700166943e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4435011038660144e-02  nan  nan  nan  -3.6455777854612282e-11  nan  nan  1.7949888991606167e-05  4.5469721717928070e-05
4.7999999999999403e+00  nan  nan  nan  nan  3.7000000724306361e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4401857197489694e-02  nan  nan  nan  -3.1944783795035983e-11  nan  nan  -1.0802438416234327e-06  1.4892553751410932e-05
5.5999999999999304e+00  nan  nan  nan  nan  3.7000000704578056e+01  3.1999999999999993e+01  3.2000000000000000e+01  2.4395876798278655e-02  nan  nan  nan  -2.0170324880682137e-11  nan  nan  2.9370368356054967e-06  1.2884083451517244e-05
6.3999999999999098e+00  nan  nan  nan  nan  3.7000000686658787e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4408321264353206e-02  nan  nan  nan  -9.4455596622198400e-12  nan  nan  2.2802783609306879e-06  9.5493993123978002e-06
7.1999999999998900e+00  nan  nan  nan  nan  3.7000000670992492e+01  3.2000000000000007e+01  3.2000000000000000e+01  2.4411720925802433e-02  nan  nan  nan  -6.0031613376736740e-12  nan  nan  3.1491781240194942e-06  9.6709293495628149e-06
7.9999999999998703e+00  nan  nan  nan  nan  3.7000000640103352e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4405455710717106e-02  nan  nan  nan  -6.9110116742525214e-12  nan  nan  3.5072297938331391e-06  1.1814610102231452e-05
8.7999999999998604e+00  nan  nan  nan  nan  3.7000000601285542e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4394805429993626e-02  nan  nan  nan  -5.8283016656407069e-12  nan  nan  4.1322484791563506e-06  1.3959931305829384e-05
9.5999999999998398e+00  nan  nan  nan  nan  3.7000000570221054e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4392082345491235e-02  nan  nan  nan  -2.4052054680268935e-12  nan  nan  4.2201547327557715e-06  1.4612204024005904e-05
1.0399999999999800e+01  nan  nan  nan  nan  3.7000000544557622e+01  3.2000000000000000e+01  3.1999999999999993e+01  2.4401949947743480e-02  nan  nan  nan  -1.6837220553440221e-13  nan  nan  3.5064917118368782e-06  1.2604117818815818e-05
1.1199999999999800e+01  nan  nan  nan  nan  3.7000000513165375e+01  3.1999999999999993e+01  3.2000000000000007e+01  2.4413157170387757e-02  nan  nan  nan  -3.0726663393326449e-13  nan  nan  2.8958904206763220e-06  1.1286198408651625e-05
1.1999999999999799e+01  nan  nan  nan  nan  3.7000000479687948e+01  3.2000000000000007e+01  3.2000000000000000e+01  2.4412326456613051e-02  nan  nan  nan  -7.4548176650184122e-13  nan  nan  3.1977658966363344e-06  1.0882817861955381e-05
