# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0030950260533678e+00  1.0018394297370201e+00  1.0092847280356967e+00  1.0017202598531241e+00  1.0010947452234942e+00  1.0051809128900846e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0014053757920043e+00  1.0009888285334210e+00  1.0023113358341820e+00  1.0008838444865231e+00  1.0006769611326429e+00  1.0013299086296168e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  1.0030950667648995e+00  1.0018394187839714e+00  1.0092850138096667e+00  1.0017203278256632e+00  1.0010947550706872e+00  1.0051845336549674e+00  -8.9249997013228032e-08  -2.6178985762374176e-05  3.8671834623163973e-05  1.0014053753171881e+00  1.0009888274433860e+00  1.0023112987066252e+00  1.0008838449549962e+00  1.0006769617341549e+00  1.0013299462673428e+00  -1.4512093785850097e-09  -1.1522692677409743e-07  4.2257035333150433e-08
1.6000000000000001e+00  1.0030948241932185e+00  1.0018393954324820e+00  1.0092896305988752e+00  1.0017209892069967e+00  1.0010947982549045e+00  1.0051772378963213e+00  -6.9054220238125830e-07  -1.4717192438293856e-05  3.2292736743999116e-05  1.0014053743532370e+00  1.0009888251236121e+00  1.0023112302997828e+00  1.0008838467566092e+00  1.0006769661114447e+00  1.0013300777192065e+00  -2.0993478428649451e-09  -1.2654067394230200e-07  6.8275153029281247e-08
2.3999999999999901e+00  1.0030940152836152e+00  1.0018393574803086e+00  1.0093000116570880e+00  1.0017230023896235e+00  1.0010948791561789e+00  1.0051392127162091e+00  -2.0089985937453179e-06  -1.3498834375757473e-05  3.5295920600035157e-06  1.0014053719953948e+00  1.0009888218406806e+00  1.0023109322074810e+00  1.0008838512538505e+00  1.0006769733826013e+00  1.0013306581437733e+00  -6.3456308533779988e-09  -4.6865071791798118e-07  1.3611417790641957e-07
3.1999999999999802e+00  1.0030927068430706e+00  1.0018393308040459e+00  1.0092833066968407e+00  1.0017267498911318e+00  1.0010949509584282e+00  1.0051587167047844e+00  -2.0377882785163820e-06  -1.1632594344736810e-05  3.5734427249903996e-06  1.0014053757776291e+00  1.0009888173716432e+00  1.0023115292571796e+00  1.0008838477256305e+00  1.0006769840083127e+00  1.0013295704115299e+00  1.2920803186012929e-08  -1.3812956025919110e-06  1.2736412464250512e-06
3.9999999999999600e+00  1.0030923877432709e+00  1.0018391976487020e+00  1.0092892392983164e+00  1.0017292092810983e+00  1.0010952804264752e+00  1.0051501185706173e+00  -1.1727090040736756e-06  -9.7271197220364908e-06  5.3213912231555665e-06  1.0014053312698941e+00  1.0009888119024266e+00  1.0023061390505905e+00  1.0008839202130548e+00  1.0006769978110184e+00  1.0013396778531287e+00  -1.6511072179428058e-07  -8.4087634291496208e-06  1.3988805171006352e-06
4.7999999999999403e+00  1.0030922940347575e+00  1.0018394934698229e+00  1.0092921288470620e+00  1.0017307590542264e+00  1.0010946084321779e+00  1.0051414814922164e+00  -9.0442243361010526e-07  -7.7016279213989144e-06  8.8838243143665851e-06  1.0014050736248583e+00  1.0009888052396136e+00  1.0023053940221647e+00  1.0008844446134240e+00  1.0006770149769955e+00  1.0013447311798183e+00  -4.5757674806915220e-07  -8.9772755469167527e-06  1.2506564680465690e-06
5.5999999999999304e+00  1.0030918995807474e+00  1.0018357177511334e+00  1.0092714625209112e+00  1.0017324527956069e+00  1.0011017692968343e+00  1.0051761677134914e+00  -1.1253116483386960e-06  -3.0661024315425755e-05  5.3357797913081809e-06  1.0014048048969837e+00  1.0009887977065262e+00  1.0023074961726495e+00  1.0008851516967325e+00  1.0006770350774694e+00  1.0013425667886615e+00  -3.9525606698489193e-07  -7.9463088617745603e-06  2.2286925491687742e-06
6.3999999999999098e+00  1.0030914510573270e+00  1.0018345304380161e+00  1.0092658821923339e+00  1.0017342815285026e+00  1.0011067216134475e+00  1.0052024279141312e+00  -1.1837162891658674e-06  -3.0438022489151067e-05  6.1458232044738213e-06  1.0014045639660700e+00  1.0009887889729747e+00  1.0023077971133723e+00  1.0008858597267005e+00  1.0006770587459148e+00  1.0013421528428386e+00  -5.1753411646244738e-07  -6.8542861469603830e-06  1.6245469881355994e-06
7.1999999999998900e+00  1.0030908395516018e+00  1.0018362212565592e+00  1.0092695395681037e+00  1.0017364977956440e+00  1.0011047128818360e+00  1.0052017663872017e+00  -1.4756857029241067e-06  -1.9076913373269526e-05  6.5510864929411785e-06  1.0014042213755725e+00  1.0009887782078579e+00  1.0023079376640569e+00  1.0008867945327582e+00  1.0006770859595377e+00  1.0013419106072607e+00  -7.1349545886758850e-07  -5.8381116464819831e-06  1.7886600405619822e-06
7.9999999999998703e+00  1.0030904002933163e+00  1.0018363619027462e+00  1.0092698309513468e+00  1.0017385614452077e+00  1.0011043583151935e+00  1.0052020979894647e+00  -1.0171597396026986e-06  -1.3845777987601430e-05  5.7690810367720601e-06  1.0014036143626914e+00  1.0009887730084810e+00  1.0023071563717041e+00  1.0008883138460594e+00  1.0006771115677930e+00  1.0013431277857603e+00  -1.1168283551412215e-06  -5.8986973362049613e-06  1.4454423765984929e-06
8.7999999999998604e+00  1.0030901069094544e+00  1.0018364001502156e+00  1.0092706540181120e+00  1.0017402067724197e+00  1.0011042675137043e+00  1.0052022305435793e+00  -1.0795043930249872e-06  -1.2186701030624823e-05  7.6285358504056256e-06  1.0014030730774255e+00  1.0009887462279470e+00  1.0023050640816322e+00  1.0008899318581743e+00  1.0006771496193561e+00  1.0013482513638385e+00  -8.2455175975951447e-07  -5.6291701453058058e-06  1.4370838344000971e-06
9.5999999999998398e+00  1.0030894546166285e+00  1.0018354753690772e+00  1.0092721287564723e+00  1.0017424490276969e+00  1.0011060491436687e+00  1.0052010290343887e+00  -1.7885318151540310e-06  -1.1154951951780118e-05  8.3854267637021530e-06  1.0014028142645564e+00  1.0009887102873827e+00  1.0023071237758339e+00  1.0008910028917823e+00  1.0006772923677481e+00  1.0013459021338493e+00  -5.4049655723059260e-07  -5.1999795154146621e-06  3.3307023833009118e-06
1.0399999999999800e+01  1.0030883097854140e+00  1.0018342813293377e+00  1.0092730318520615e+00  1.0017459093169601e+00  1.0011091961596577e+00  1.0052001880915498e+00  -2.0653198276949011e-06  -1.0447961343982876e-05  8.4349387123918122e-06  1.0014027406037371e+00  1.0009890565295478e+00  1.0023084335789287e+00  1.0008915807763377e+00  1.0006765700324114e+00  1.0013424550395178e+00  -1.6100317943268038e-07  -4.3778911603897005e-06  3.1195245857079947e-06
1.1199999999999800e+01  1.0030878322533687e+00  1.0018355471946609e+00  1.0092729526598316e+00  1.0017484307307234e+00  1.0011078682738916e+00  1.0052004884585026e+00  -1.0890750652292439e-06  -9.2374780796629920e-06  8.1534322244604358e-06  1.0014028208863008e+00  1.0009881212092628e+00  1.0023039735178765e+00  1.0008916665931646e+00  1.0006781789007817e+00  1.0013502921163371e+00  -2.8580969298685922e-08  -8.2299485895657279e-06  1.9486349351487014e-06
1.1999999999999799e+01  1.0030875635390348e+00  1.0018362866235870e+00  1.0092724366658168e+00  1.0017502234287092e+00  1.0011058471050236e+00  1.0052020202349727e+00  -9.8211633246194429e-07  -7.6867080279928827e-06  8.1140052554636674e-06  1.0014027684368187e+00  1.0009882377333252e+00  1.0022992713700369e+00  1.0008918524638273e+00  1.0006786431331534e+00  1.0013624624050765e+00  -2.2146907701245506e-07  -9.8380589965165323e-06  3.7313664856638827e-06
1.2799999999999800e+01  1.0030875301213416e+00  1.0018329250207416e+00  1.0092727473193674e+00  1.0017514104760119e+00  1.0011119794256496e+00  1.0052038720415701e+00  -2.8116586831711592e-07  -5.6192548232890558e-06  8.8429436163349968e-06  1.0014026363709567e+00  1.0009900911508938e+00  1.0022993381011118e+00  1.0008922321769202e+00  1.0006750208684605e+00  1.0013663446918000e+00  -1.4878100275126517e-07  -7.2635189801755660e-06  3.8624839450399880e-06
1.3599999999999801e+01  1.0030878924972342e+00  1.0018307794751098e+00  1.0092743042092063e+00  1.0017515665048460e+00  1.0011184350856845e+00  1.0052048613831450e+00  1.8517717187765618e-07  -2.6549737829737287e-06  1.0003823083545067e-05  1.0014028245194191e+00  1.0009911614081872e+00  1.0023011212212505e+00  1.0008920419195653e+00  1.0006718482495214e+00  1.0013645779582601e+00  3.9157495144111958e-07  -6.6167975643643774e-06  3.6907753276188040e-06
1.4399999999999700e+01  1.0030882649641635e+00  1.0018317816446505e+00  1.0092759379939993e+00  1.0017513933981124e+00  1.0011184935718573e+00  1.0052052285427968e+00  1.8757901806883045e-07  -2.0491211968408448e-06  1.0445880762874064e-05  1.0014032163398321e+00  1.0009919140864214e+00  1.0023028994997776e+00  1.0008912438957394e+00  1.0006693165725322e+00  1.0013609910679262e+00  5.0282773147113199e-07  -6.2894234774811281e-06  4.5866139007848398e-06
1.5199999999999701e+01  1.0030885152517492e+00  1.0018321084757495e+00  1.0092767543949546e+00  1.0017513510856135e+00  1.0011181750510123e+00  1.0052058675947535e+00  1.4876870466646605e-07  -1.5758514546523260e-06  1.0966356377417461e-05  1.0014034833555274e+00  1.0009921013273995e+00  1.0023044319776693e+00  1.0008905205766494e+00  1.0006679848516475e+00  1.0013571102307763e+00  4.5744069690799236e-07  -6.4963141591364013e-06  4.8279772658459329e-06
1.5999999999999700e+01  1.0030889140256098e+00  1.0018322565462627e+00  1.0092777691361297e+00  1.0017510511939940e+00  1.0011180638196171e+00  1.0052058040085174e+00  5.6852250150143941e-07  -5.7288844537066507e-07  1.1822491362188772e-05  1.0014039546550311e+00  1.0009920792939730e+00  1.0023059209895813e+00  1.0008894252935880e+00  1.0006676336665767e+00  1.0013531284664849e+00  1.0227774946829591e-06  -5.5709175273923330e-06  5.4352809875388350e-06
1.6799999999999802e+01  1.0030896493260077e+00  1.0018334155760211e+00  1.0092784153983809e+00  1.0017499763275561e+00  1.0011158480845292e+00  1.0052072020360157e+00  9.7461455486472770e-07  -2.4974028765591847e-06  9.7937321001069463e-06  1.0014049221681054e+00  1.0009936006330156e+00  1.0023072796411379e+00  1.0008872017285073e+00  1.0006644863947827e+00  1.0013493312249104e+00  1.6600517363601193e-06  -4.5769962562686292e-06  5.7921530999302603e-06
1.7600000000000001e+01  1.0030903432166638e+00  1.0018348198498122e+00  1.0092778643093838e+00  1.0017487387068065e+00  1.0011124830716698e+00  1.0052128267402398e+00  8.4594770226890972e-07  -4.5447361557690753e-06  8.6539711965357922e-06  1.0014060281042174e+00  1.0009949205385966e+00  1.0023083368756738e+00  1.0008843527479787e+00  1.0006606441653072e+00  1.0013462119265919e+00  1.9183840241104698e-06  -3.7598874748583691e-06  6.6857072331004290e-06
1.8400000000000102e+01  1.0030909668889194e+00  1.0018357399126789e+00  1.0092786958427453e+00  1.0017476226974031e+00  1.0011095763934277e+00  1.0052170137746090e+00  1.0035023289718134e-06  -3.6532781330656184e-06  1.2065805046734105e-05  1.0014073735776263e+00  1.0009937429987510e+00  1.0023093279119015e+00  1.0008808387986727e+00  1.0006616487412023e+00  1.0013434558291396e+00  2.5106064914009389e-06  -2.6219300846406535e-06  6.5620079190309062e-06
1.9200000000000198e+01  1.0030919581877700e+00  1.0018364531297399e+00  1.0092812781023539e+00  1.0017458138708846e+00  1.0011068688713980e+00  1.0052162248516028e+00  1.6699526154110641e-06  -4.4506354796902758e-06  1.4693968990309532e-05  1.0014090704281309e+00  1.0009930467834163e+00  1.0023105048980649e+00  1.0008763717399765e+00  1.0006629787335162e+00  1.0013404417111038e+00  3.0180258393475351e-06  -1.2727142574411416e-06  5.9962379415050355e-06
