NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500074e+01        2.429310e+01        
2                   8.696644e+00        8.337123e+00        
3                   3.306431e+00        3.152659e+00        
4                   1.296961e+00        1.233639e+00        
5                   5.148295e-01        4.890987e-01        
6                   2.053210e-01        1.949320e-01        
7                   8.203824e-02        7.786057e-02        
8                   3.280451e-02        3.112963e-02        
9                   1.312262e-02        1.245211e-02        
10                  5.252602e-03        4.982426e-03        
11                  2.108859e-03        1.994043e-03        
12                  8.621020e-04        7.981971e-04        
