# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.4992789630343673e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.4992708981479669e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.4992774507701829e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.4992768519356451e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.4992770095062836e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.4992784418349737e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.4992741388103903e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.4992688333408516e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.4992723988894969e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.4992796830589675e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.4992773236285062e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.4992781172063669e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.4992778502595267e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.4992734006607689e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.4992691488680271e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.4992671573985925e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.4992665623153468e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.4992646587425457e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.4992604739869637e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.4992561036359701e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.4992536666813053e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.4992523407838707e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.4992495240227691e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.4992443542875489e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.4992388821456635e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.4992351838468682e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.4992322661298627e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.4992284158946790e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.4992241023337430e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.4992196616119514e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.4992149998328841e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.4992101580228765e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.4992040078159375e-01  2.5000000000000000e-01
2.6400000000001299e+01  2.4991961450358302e-01  2.5000000000000000e-01
2.7200000000001499e+01  2.4991882460726650e-01  2.5000000000000000e-01
2.8000000000001599e+01  2.4991816210171910e-01  2.5000000000000000e-01
2.8800000000001699e+01  2.4991754090406268e-01  2.5000000000000000e-01
2.9600000000001799e+01  2.4991679516917190e-01  2.5000000000000000e-01
3.0400000000001999e+01  2.4991589940549816e-01  2.5000000000000000e-01
3.1200000000002099e+01  2.4991496833918325e-01  2.5000000000000000e-01
3.2000000000002203e+01  2.4991408622724950e-01  2.5000000000000000e-01
3.2800000000002001e+01  2.4991321634127905e-01  2.5000000000000000e-01
3.3600000000001899e+01  2.4991227329795188e-01  2.5000000000000000e-01
3.4400000000001697e+01  2.4991123915085489e-01  2.5000000000000000e-01
3.5200000000001602e+01  2.4991018716890998e-01  2.5000000000000000e-01
3.6000000000001400e+01  2.4990920786397483e-01  2.5000000000000000e-01
3.6800000000001198e+01  2.4990827178045166e-01  2.5000000000000000e-01
3.7600000000001103e+01  2.4990725084636362e-01  2.5000000000000000e-01
3.8400000000000901e+01  2.4990611273667923e-01  2.5000000000000000e-01
3.9200000000000799e+01  2.4990494429214746e-01  2.5000000000000000e-01
4.0000000000000597e+01  2.4990383643765807e-01  2.5000000000000000e-01
4.0800000000000502e+01  2.4990277044601697e-01  2.5000000000000000e-01
4.1600000000000300e+01  2.4990162716239112e-01  2.5000000000000000e-01
4.2400000000000098e+01  2.4990036253850845e-01  2.5000000000000000e-01
4.3200000000000003e+01  2.4989906087335392e-01  2.5000000000000000e-01
4.3999999999999801e+01  2.4989780965371436e-01  2.5000000000000000e-01
4.4799999999999699e+01  2.4989658599089468e-01  2.5000000000000000e-01
4.5599999999999497e+01  2.4989529252831058e-01  2.5000000000000000e-01
