# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  3.8855631072359434e-06  0.0000000000000000e+00  1  1.0132425397968305e+00  0.0000000000000000e+00  0.0000000000000000e+00  nan  1  5  5  1.3286184094633266e-04  0.0000000000000000e+00  0
8.0000000000000004e-01  5.0403637386395721e-06  8.7170606880941160e-07  1  1.0132540243790491e+00  0.0000000000000000e+00  1.1572340698454266e-05  nan  1  5  5  1.3270671299867864e-04  0.0000000000000000e+00  0
1.6000000000000001e+00  5.7302178603815161e-06  3.3702686172729396e-06  1  1.0132988951141157e+00  0.0000000000000000e+00  1.8535831565179940e-05  nan  1  5  5  1.3324369887087549e-04  0.0000000000000000e+00  0
2.3999999999999901e+00  4.5865840631302887e-06  1.7303003806300329e-06  1  1.0132567497205216e+00  0.0000000000000000e+00  3.1935188871042658e-05  nan  1  5  5  1.3547074384849067e-04  0.0000000000000000e+00  0
3.1999999999999802e+00  4.3461908138802888e-06  0.0000000000000000e+00  1  1.0131718642373120e+00  0.0000000000000000e+00  3.1137423791704288e-05  nan  1  5  5  1.3232488246694955e-04  0.0000000000000000e+00  0
3.9999999999999600e+00  1.9011955947145540e-06  0.0000000000000000e+00  1  1.0130926224926999e+00  0.0000000000000000e+00  4.9724588123427942e-05  nan  1  5  5  1.3319792861923356e-04  0.0000000000000000e+00  0
4.7999999999999403e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0132345045947166e+00  0.0000000000000000e+00  1.9635419548561553e-05  nan  1  5  5  1.3394825448685604e-04  0.0000000000000000e+00  0
5.5999999999999304e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0132377323225950e+00  0.0000000000000000e+00  2.1345261207924410e-05  nan  1  5  5  1.3372553266782213e-04  0.0000000000000000e+00  0
6.3999999999999098e+00  0.0000000000000000e+00  4.5243139876502716e-07  1  1.0132608356250394e+00  0.0000000000000000e+00  2.2173983021801688e-05  nan  1  5  5  1.3305513235862504e-04  0.0000000000000000e+00  0
7.1999999999998900e+00  0.0000000000000000e+00  2.3526559028091357e-06  1  1.0132534409870204e+00  0.0000000000000000e+00  2.0513743699177160e-05  nan  1  5  5  1.3269622975216265e-04  0.0000000000000000e+00  0
7.9999999999998703e+00  0.0000000000000000e+00  1.1583836953852097e-06  1  1.0132290475200973e+00  0.0000000000000000e+00  2.6136504314426250e-05  nan  1  5  5  1.3313453868701633e-04  0.0000000000000000e+00  0
8.7999999999998604e+00  0.0000000000000000e+00  4.7604394993862161e-07  1  1.0132148013191138e+00  0.0000000000000000e+00  2.8753666931054512e-05  nan  1  5  5  1.3347146180007924e-04  0.0000000000000000e+00  0
9.5999999999998398e+00  0.0000000000000000e+00  2.4071126672156293e-06  1  1.0132216684395823e+00  0.0000000000000000e+00  3.2604752754825746e-05  nan  1  5  5  1.3316381379096222e-04  0.0000000000000000e+00  0
1.0399999999999800e+01  0.0000000000000000e+00  4.5127504297612665e-06  1  1.0132258925425752e+00  0.0000000000000000e+00  3.0794191468454078e-05  nan  1  5  5  1.3273611573062457e-04  0.0000000000000000e+00  0
