# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  2.6999794725885526e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4516522854767499e-02  3.6999792236289629e+01  3.2000000000000000e+01  3.2000000000000007e+01  2.4424300970827630e-02  -9.9999975104041035e+00  1.0000129060604888e+01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  2.6999692148118598e+01  3.1999999999999755e+01  3.2000000000000000e+01  2.4584742331560251e-02  3.6999685516099930e+01  3.1999999999999776e+01  3.2000000000000000e+01  2.4494707326472544e-02  -9.9999933679813324e+00  1.0000134650050359e+01  -1.6273525082291304e-06  -1.6496466266869458e-06  2.2294118457815411e-08  4.9192583155606432e-07  -4.9796375896499485e-07  1.1681431957318927e-05
1.6000000000000001e+00  2.6999426554032905e+01  3.1999999999996614e+01  3.2000000000000000e+01  2.4525043167195872e-02  3.6999412412797440e+01  3.1999999999999215e+01  3.2000000000000000e+01  2.4412043303817986e-02  -9.9999858587645356e+00  1.0000148850670673e+01  -3.2756499290824055e-06  -3.2997386004763271e-06  2.4088671393921562e-08  2.9099076432738726e-06  -3.2556552459980210e-06  1.8547948659635117e-05
2.3999999999999901e+00  2.6999084647767944e+01  3.1999999999999599e+01  3.1999999999999993e+01  2.4456210888089434e-02  3.6999060628321303e+01  3.1999999999990589e+01  3.2000000000000007e+01  2.4304205395312549e-02  -9.9999759805533586e+00  1.0000157664677786e+01  -4.9572498721901058e-06  -4.9722121101832747e-06  1.4962237993168985e-08  9.6788130760749294e-06  -1.3016623802429486e-05  3.1950180383742737e-05
3.1999999999999802e+00  2.6998673754062626e+01  3.2000000000056893e+01  3.2000000000000000e+01  2.4555129799133397e-02  3.6998637279735483e+01  3.1999999999959748e+01  3.2000000000000000e+01  2.4375859042233841e-02  -9.9999635256728574e+00  1.0000158039395831e+01  -6.6557727074327856e-06  -6.6752065279611949e-06  1.9433820528409271e-08  -6.5257047610687815e-06  9.8327939663290872e-06  3.1669474300961758e-05
3.9999999999999600e+00  2.6998151260469132e+01  3.2000000000149619e+01  3.2000000000000000e+01  2.4579331192002382e-02  3.6998101105041954e+01  3.1999999999928281e+01  3.2000000000000007e+01  2.4416502988206829e-02  -9.9999498445728214e+00  1.0000150699268868e+01  -8.3516878458156638e-06  -8.3933430708856046e-06  4.1655225069940841e-08  2.5472259276182480e-05  -2.1248254117584831e-05  5.1521245783893682e-05
4.7999999999999403e+00  2.6997559009157168e+01  3.2000000000317002e+01  3.2000000000000000e+01  2.4516357847684557e-02  3.6997498577674968e+01  3.1999999999848644e+01  3.1999999999999993e+01  2.4414284899183257e-02  -9.9999395685177994e+00  1.0000145167883165e+01  -1.0042068415609346e-05  -1.0105802788587196e-05  6.3734372977850072e-08  9.1015945622330008e-06  -5.4707240603500410e-06  1.9851847061481501e-05
5.5999999999999304e+00  2.6996980558509456e+01  3.2000000000772729e+01  3.2000000000000000e+01  2.4478066361851944e-02  3.6996911405590211e+01  3.1999999999630255e+01  3.2000000000000000e+01  2.4430123122879829e-02  -9.9999308470807549e+00  1.0000146252552462e+01  -1.1733189668437802e-05  -1.1807170941327713e-05  7.3981272889911753e-08  1.3563345535152242e-05  -9.5529941057003708e-06  2.1860629111291870e-05
6.3999999999999098e+00  2.6996394093744314e+01  3.2000000001441670e+01  3.2000000000000000e+01  2.4496870601299691e-02  3.6996310167997123e+01  3.1999999999394667e+01  3.2000000000000000e+01  2.4433640518792505e-02  -9.9999160742528090e+00  1.0000147593483433e+01  -1.3437615793082623e-05  -1.3518927010673131e-05  8.1311217590508065e-08  1.3596112928128630e-05  -1.1285047498249829e-05  2.3027908412359981e-05
7.1999999999998900e+00  2.6995692773432204e+01  3.2000000002192749e+01  3.2000000000000000e+01  2.4531195325994029e-02  3.6995585445500062e+01  3.1999999999170587e+01  3.2000000000000000e+01  2.4410435292069706e-02  -9.9998926720678583e+00  1.0000144926570716e+01  -1.5147674113395776e-05  -1.5249598607747175e-05  1.0192449435139834e-07  1.4182189839986098e-05  -1.5734670609389714e-05  2.0814098225701293e-05
