# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  1.1296857148261662e+01  3.4213677443249019e-02  6.6653529049758484e+00  2.6831123153713621e-01  3.2000000000019867e+01  3.2000000000001215e+01  3.2000000000000426e+01  4.7999999999999998e+00  1.1123807433869267e+01  6.6733898937369673e+00  2.6766263042700900e-01  nan  nan  nan  nan  nan  1.0000000164445362e+00
8.0000000000000004e-01  1.1404148004820904e+01  3.4585682039758772e-02  6.6644750823652963e+00  2.6850156829481386e-01  3.1999999999999172e+01  3.1999999999999972e+01  3.1999999999999986e+01  4.7999999999999998e+00  1.1229457470425332e+01  6.6725086389082344e+00  2.6785329593839352e-01  nan  nan  nan  nan  nan  1.0002542824239835e+00
1.6000000000000001e+00  1.1366863040248120e+01  3.4298625197209859e-02  6.6636088940407330e+00  2.6880342419620790e-01  3.1999999999999631e+01  3.2000000000000057e+01  3.1999999999999989e+01  4.7999999999999998e+00  1.1192731011618623e+01  6.6716426194773337e+00  2.6815443296669966e-01  nan  nan  nan  nan  nan  1.0002307665498207e+00
2.3999999999999901e+00  1.1358076967030652e+01  3.4040443677437429e-02  6.6623933475198607e+00  2.6929095440150874e-01  3.1999999999982652e+01  3.1999999999999204e+01  3.1999999999999588e+01  4.7999999999999998e+00  1.1183996265595173e+01  6.6704409925462791e+00  2.6863915138830768e-01  nan  nan  nan  nan  nan  1.0001792222804937e+00
3.1999999999999802e+00  1.1454190815285415e+01  3.4345782902440912e-02  6.6594639463569312e+00  2.7026755428576210e-01  3.1999999999949669e+01  3.1999999999997485e+01  3.1999999999998778e+01  4.7999999999999998e+00  1.1278526621301840e+01  6.6675286654145571e+00  2.6961292633484013e-01  nan  nan  nan  nan  nan  1.0001607428877810e+00
3.9999999999999600e+00  1.1358670284671284e+01  3.4065544985777657e-02  6.6571511192801749e+00  2.7132684591040612e-01  3.1999999999897600e+01  3.1999999999994877e+01  3.1999999999997453e+01  4.7999999999999998e+00  1.1184458449259049e+01  6.6652228862241225e+00  2.7066937258342838e-01  nan  nan  nan  nan  nan  1.0001733639385533e+00
4.7999999999999403e+00  1.1441703000399116e+01  3.4317448590544877e-02  6.6529926814027656e+00  2.7278890335083494e-01  3.1999999999799389e+01  3.1999999999989978e+01  3.1999999999994927e+01  4.7999999999999998e+00  1.1266277342354774e+01  6.6610588414278400e+00  2.7212901501988679e-01  nan  nan  nan  nan  nan  1.0001725303927789e+00
5.5999999999999304e+00  1.1446995004609397e+01  3.4339178834090031e-02  6.6473628581243043e+00  2.7456031213602694e-01  3.1999999999613081e+01  3.1999999999980819e+01  3.1999999999990074e+01  4.7999999999999998e+00  1.1271561582650993e+01  6.6554265971385220e+00  2.7389733473052746e-01  nan  nan  nan  nan  nan  1.0001693882096996e+00
6.3999999999999098e+00  1.1388793824623228e+01  3.4147493107739513e-02  6.6432389301067136e+00  2.7621847931556959e-01  3.1999999999239456e+01  3.1999999999962515e+01  3.1999999999980346e+01  4.7999999999999998e+00  1.1214286630285599e+01  6.6513207728232082e+00  2.7555113906321993e-01  nan  nan  nan  nan  nan  1.0001931835115416e+00
7.1999999999998900e+00  1.1501325502034209e+01  3.4467101374548184e-02  6.6356933816570063e+00  2.7838836914716764e-01  3.1999999998499952e+01  3.1999999999926459e+01  3.1999999999961119e+01  4.7999999999999998e+00  1.1325057337019711e+01  6.6437947882887611e+00  2.7771660023212918e-01  nan  nan  nan  nan  nan  1.0002256885845944e+00
7.9999999999998703e+00  1.1419162195087370e+01  3.4184481937682303e-02  6.6279949718826368e+00  2.8063666080038946e-01  3.1999999997037694e+01  3.1999999999854403e+01  3.1999999999922643e+01  4.7999999999999998e+00  1.1244107589402924e+01  6.6361204522679200e+00  2.7995994416982928e-01  nan  nan  nan  nan  nan  1.0002548506893367e+00
8.7999999999998604e+00  1.1458001324656152e+01  3.4281170854131293e-02  6.6197157335520362e+00  2.8287539004581203e-01  3.1999999994087887e+01  3.1999999999712479e+01  3.1999999999846725e+01  4.7999999999999998e+00  1.1282289657014152e+01  6.6278696403793127e+00  2.8219265971599339e-01  nan  nan  nan  nan  nan  1.0002755958249332e+00
9.5999999999998398e+00  1.1509988619312153e+01  3.4427887401844909e-02  6.6072617448512423e+00  2.8558156978065868e-01  3.1999999988222577e+01  3.1999999999426368e+01  3.1999999999695252e+01  4.7999999999999998e+00  1.1333392609479821e+01  6.6154368771943748e+00  2.8489185734452238e-01  nan  nan  nan  nan  nan  1.0002900983120491e+00
1.0399999999999800e+01  1.1418095282274113e+01  3.4112736256897494e-02  6.5976805258694347e+00  2.8791251514302985e-01  3.1999999975766755e+01  3.1999999998881272e+01  3.1999999999398852e+01  4.7999999999999998e+00  1.1242846292024486e+01  6.6058929349119806e+00  2.8721423641324340e-01  nan  nan  nan  nan  nan  1.0002989381750724e+00
1.1199999999999800e+01  1.1527717122231291e+01  3.4429482426174579e-02  6.5855762745737243e+00  2.9060905795477598e-01  3.1999999956309296e+01  3.1999999997759559e+01  3.1999999998811159e+01  4.7999999999999998e+00  1.1350695293504939e+01  6.5938311494040223e+00  2.8990106944126770e-01  nan  nan  nan  nan  nan  1.0003043077697307e+00
1.1999999999999799e+01  1.1481250586505062e+01  3.4275966598967179e-02  6.5715986315736155e+00  2.9373285962752671e-01  3.1999999912871441e+01  3.1999999995161648e+01  3.1999999997411592e+01  4.7999999999999998e+00  1.1304848643787810e+01  6.5799005124689645e+00  2.9301453208595507e-01  nan  nan  nan  nan  nan  1.0003086763791784e+00
