# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.2181424377388539e-07  1.6516109640249432e-07  7.4591100757707229e-01  3.9836440303082892e+00  7.6976718878956329e-01
8.0000000000000004e-01  2.2095991258798387e-07  1.6466735465502203e-07  7.4623214287221251e-01  3.9849285714888500e+00  7.6934359245024653e-01
1.6000000000000001e+00  2.1981942725892170e-07  1.6373188850063463e-07  7.4600950200313565e-01  3.9840380080125426e+00  7.6877105573208770e-01
2.3999999999999901e+00  2.1774194112137386e-07  1.6220122502697737e-07  7.4588717434747698e-01  3.9835486973899079e+00  7.6773187206831728e-01
3.1999999999999802e+00  2.1282810167463705e-07  1.5840212126643721e-07  7.4577878311178725e-01  3.9831151324471490e+00  7.6539530328132099e-01
3.9999999999999600e+00  1.9865764666645136e-07  1.4783440793966732e-07  7.4542654441341050e-01  3.9817061776536420e+00  7.5635772553338532e-01
4.7999999999999403e+00  1.7598053430225195e-07  1.3101931937592414e-07  7.4635422497354242e-01  3.9854168998941697e+00  7.4764636250186511e-01
5.5999999999999304e+00  1.4486935256056196e-07  1.0782399853423745e-07  7.4580045713929199e-01  3.9832018285571680e+00  7.2040052374893582e-01
6.3999999999999098e+00  1.2009137296595009e-07  8.9369354071552961e-08  7.4531107766798066e-01  3.9812443106719226e+00  6.9666090959256555e-01
7.1999999999998900e+00  1.1742521369245045e-07  8.7256930394336132e-08  7.4547703109106533e-01  3.9819081243642613e+00  6.9510896713566883e-01
7.9999999999998703e+00  1.3305741934096780e-07  9.9023286313240571e-08  7.4554256992344081e-01  3.9821702796937632e+00  7.1062080242873160e-01
8.7999999999998604e+00  1.5903238668830365e-07  1.1833582989675549e-07  7.4559006899865632e-01  3.9823602759946253e+00  7.2707638181427903e-01
9.5999999999998398e+00  1.7209988036339122e-07  1.2816612454866404e-07  7.4569432972016214e-01  3.9827773188806486e+00  7.5630046832203657e-01
1.0399999999999800e+01  1.6671848963345319e-07  1.2420138667410412e-07  7.4765803759003935e-01  3.9906321503601574e+00  7.6795268283771656e-01
1.1199999999999800e+01  1.5139970940683855e-07  1.1277739647363131e-07  7.4657662546015180e-01  3.9863065018406072e+00  8.0465033872768621e-01
1.1999999999999799e+01  1.3843664426211473e-07  1.0311541582890806e-07  7.4762029906955607e-01  3.9904811962782243e+00  9.1910400327141539e-01
