# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  4.0554009591230454e-04  2.2401616212200588e-09  1.5368934274355754e-07  -1.2106333669863237e-06  -3.3590309600188214e-04  -7.8374120200529011e-18  1.5368934435900491e-07  1.2106333653353405e-06  4.0554009591227278e-04  -2.2401616371368236e-09  2.6425876975896299e-05  5.5662677382034550e-09  4.2738479125730670e-09  -1.6443444544223638e-08  -2.1735357248137046e-05  1.1063979925802011e-17  4.2738511740930652e-09  1.6443441335125477e-08  2.6425876975864238e-05  -5.5662677469522011e-09
8.0000000000000004e-01  4.0493065779284267e-04  -7.7927024825202738e-10  1.5472508514260824e-07  -1.1979770274087442e-06  -3.3482776272186619e-04  -9.5442766940638970e-17  1.5472508536466608e-07  1.1979770274714302e-06  4.0493065779261954e-04  7.7927013755083519e-10  2.6429472241277936e-05  5.5700315167301817e-09  4.2738592171373184e-09  -1.6444469118053032e-08  -2.1738592907543352e-05  2.2511132245215123e-17  4.2738592684281999e-09  1.6444469315156007e-08  2.6429472240640049e-05  -5.5700315710512938e-09
1.6000000000000001e+00  4.0377362263421910e-04  4.8976826275337764e-10  1.5351973608549441e-07  -1.1616256117835240e-06  -3.3421470647090532e-04  4.6939788160938795e-17  1.5351973621658909e-07  1.1616256113327136e-06  4.0377362263426539e-04  -4.8976834595660349e-10  2.6433882315008577e-05  5.5636439928325710e-09  4.2783598340300731e-09  -1.6423809079926764e-08  -2.1745368111562848e-05  -1.4286531249291716e-16  4.2783595097350315e-09  1.6423808854145272e-08  2.6433882315668622e-05  -5.5636440241530420e-09
2.3999999999999901e+00  4.0187355577208555e-04  1.0887210884676155e-09  1.2814155258898558e-07  -1.1679591150945212e-06  -3.3257317803538604e-04  2.4091164700687783e-17  1.2814155249562047e-07  1.1679591152249094e-06  4.0187355577202510e-04  -1.0887209617187058e-09  2.6436152629685877e-05  5.5722016263878407e-09  4.2758386037380221e-09  -1.6262834546316880e-08  -2.1765839685316046e-05  -3.9724075059715822e-17  4.2758382246640239e-09  1.6262834487489985e-08  2.6436152629963510e-05  -5.5722015576828659e-09
3.1999999999999802e+00  3.9711839707448686e-04  -3.9486088459801517e-10  1.7219634427595803e-07  -1.1549746370331984e-06  -3.2920575203062940e-04  3.4173408444257924e-17  1.7219634405955348e-07  1.1549746371437967e-06  3.9711839707426698e-04  3.9486095186461752e-10  2.6440498111084278e-05  5.5697686869334542e-09  4.2784707600953554e-09  -1.7097777609212576e-08  -2.1744097798764896e-05  -2.9811272383518448e-16  4.2784701274413219e-09  1.7097777860079627e-08  2.6440498110110715e-05  -5.5697657013613856e-09
3.9999999999999600e+00  3.8356772518757104e-04  3.1873796878685415e-10  1.3435198953059621e-07  -1.1441122573623087e-06  -3.1805970770049368e-04  -1.0250009403141091e-16  1.3435198989254535e-07  1.1441122573061983e-06  3.8356772518753635e-04  -3.1873801585111769e-10  2.6649729882197655e-05  5.5896547813396771e-09  4.2825884152325265e-09  -1.5647887483290056e-08  -2.1950972142977058e-05  -1.2788198158368558e-15  4.2825837947240575e-09  1.5647887096182000e-08  2.6649729881166687e-05  -5.5896800879469541e-09
4.7999999999999403e+00  3.6102150938447958e-04  1.1488789544357446e-09  1.3530748642871005e-07  -1.0805219846371187e-06  -2.9909952808165777e-04  1.1292507070431172e-16  1.3530748639603364e-07  1.0805219850948119e-06  3.6102150938432741e-04  -1.1488787366946026e-09  2.6130233568653685e-05  5.4845535439504782e-09  4.3584015829289574e-09  -1.6571462323883146e-08  -2.1436648409079409e-05  5.8590023141849088e-14  4.3585138796507573e-09  1.6571474270170736e-08  2.6130233567742691e-05  -5.4849849329306385e-09
5.5999999999999304e+00  3.2728242602768983e-04  -2.6562084958696398e-10  1.1802699074575273e-07  -1.0492365191274946e-06  -2.7130841165587329e-04  2.0158936285804257e-16  1.1802699080859625e-07  1.0492365189500988e-06  3.2728242602782562e-04  2.6562090185481349e-10  2.6649805298682090e-05  5.2788154417991242e-09  4.0991844453489521e-09  -1.6313606949994530e-08  -2.1914004569204926e-05  -2.3910846975015012e-13  4.0987907544575178e-09  1.6313584201642059e-08  2.6649805195382316e-05  -5.2753209668317240e-09
6.3999999999999098e+00  2.9775607669095257e-04  3.7550954297370510e-10  7.6420694154800772e-08  -1.0335085460845697e-06  -2.4689902130865034e-04  -7.3882615598085005e-17  7.6420694141716813e-08  1.0335085463662369e-06  2.9775607669022924e-04  -3.7550927898613271e-10  2.6658446759389728e-05  8.0051426491037278e-09  4.0266964927582044e-09  -1.7131327402730098e-08  -2.1971856684211380e-05  3.6459886735193212e-13  4.0271212967174802e-09  1.7131367308894563e-08  2.6658447413661083e-05  -8.0165672471021929e-09
7.1999999999998900e+00  2.9419776727138461e-04  6.8785661908967034e-10  6.7893592278270931e-08  -1.0120429747704953e-06  -2.4466204652470443e-04  -5.3878146930688490e-17  6.7893592305442001e-08  1.0120429745301279e-06  2.9419776727322998e-04  -6.8785719834233375e-10  2.6544381378509687e-05  5.9719231941632945e-10  5.5653129926906940e-09  -1.5433125094728618e-08  -2.1794296668015178e-05  -7.9082160554256305e-13  5.5638762592487888e-09  1.5432529596042757e-08  2.6544379221616537e-05  -5.6495181806485732e-10
7.9999999999998703e+00  3.1355597303212149e-04  1.2966408643430409e-10  9.7199245132259322e-08  -1.0001405315220947e-06  -2.5997650190839465e-04  3.2993513934308010e-16  9.7199245717344988e-08  1.0001405310859604e-06  3.1355597303201507e-04  -1.2966441122924687e-10  2.6569489903949974e-05  1.1891119481055778e-08  2.4026242392201916e-09  -2.0175438228753299e-08  -2.1873825168187569e-05  4.9164316088001572e-12  2.4167504449532512e-09  2.0179879138974255e-08  2.6569495655309408e-05  -1.1989198079343063e-08
8.7999999999998604e+00  3.4292662770888131e-04  3.4099714370126203e-10  1.3094939370354312e-07  -9.9518617116474361e-07  -2.8441524098504615e-04  -4.7331153466256553e-15  1.3094938511026099e-07  9.9518616966561747e-07  3.4292662771137140e-04  -3.4097064821152427e-10  2.7150658231437925e-05  -9.3158736696656073e-11  5.8344593172876127e-09  -1.3705463402319158e-08  -2.2339846677984529e-05  -2.2828873952381819e-11  5.7624721638782210e-09  1.3686439809986090e-08  2.7150645765502093e-05  3.2624639349501162e-10
9.5999999999998398e+00  3.5714219856797133e-04  4.4773833187713394e-10  1.4195897016607063e-07  -9.7339244996508171e-07  -2.9571589664078213e-04  2.9023539674781659e-14  1.4195901768767695e-07  9.7339246185238317e-07  3.5714219857398979e-04  -4.4790603248502846e-10  2.4810775860119743e-05  7.7439075816663243e-09  4.1090512997284494e-09  -1.2607487539012855e-08  -2.0437330054810388e-05  4.5180087572418701e-11  4.2356082745438590e-09  1.2624955095069249e-08  2.4810771340322036e-05  -7.9654669666254498e-09
