# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -3.3590309600188214e-04  -7.8374120200529011e-18  -2.1735357248137046e-05  1.1063979925802011e-17
8.0000000000000004e-01  -3.3482776272186619e-04  -9.5442766940638970e-17  -2.1738592907543352e-05  2.2511132245215123e-17
1.6000000000000001e+00  -3.3421470647090532e-04  4.6939788160938795e-17  -2.1745368111562848e-05  -1.4286531249291716e-16
2.3999999999999901e+00  -3.3257317803538604e-04  2.4091164700687783e-17  -2.1765839685316046e-05  -3.9724075059715822e-17
3.1999999999999802e+00  -3.2920575203062940e-04  3.4173408444257924e-17  -2.1744097798764896e-05  -2.9811272383518448e-16
3.9999999999999600e+00  -3.1805970770049368e-04  -1.0250009403141091e-16  -2.1950972142977058e-05  -1.2788198158368558e-15
4.7999999999999403e+00  -2.9909952808165777e-04  1.1292507070431172e-16  -2.1436648409079409e-05  5.8590023141849088e-14
5.5999999999999304e+00  -2.7130841165587329e-04  2.0158936285804257e-16  -2.1914004569204926e-05  -2.3910846975015012e-13
6.3999999999999098e+00  -2.4689902130865034e-04  -7.3882615598085005e-17  -2.1971856684211380e-05  3.6459886735193212e-13
7.1999999999998900e+00  -2.4466204652470443e-04  -5.3878146930688490e-17  -2.1794296668015178e-05  -7.9082160554256305e-13
7.9999999999998703e+00  -2.5997650190839465e-04  3.2993513934308010e-16  -2.1873825168187569e-05  4.9164316088001572e-12
8.7999999999998604e+00  -2.8441524098504615e-04  -4.7331153466256553e-15  -2.2339846677984529e-05  -2.2828873952381819e-11
9.5999999999998398e+00  -2.9571589664078213e-04  2.9023539674781659e-14  -2.0437330054810388e-05  4.5180087572418701e-11
1.0399999999999800e+01  -2.9099033969789815e-04  -1.3155603658273186e-13  -1.8893140861255606e-05  -3.2864144553691377e-11
1.1199999999999800e+01  -2.7752516019873669e-04  5.0322413162278675e-13  -1.4921195013809210e-05  -4.0229113244849983e-13
1.1999999999999799e+01  -2.6572567497320815e-04  -1.6879718845749217e-12  -5.5395750661977299e-06  1.9069248039685952e-11
1.2799999999999800e+01  -2.5943638112449084e-04  4.6580960867987494e-12  1.2147019071304256e-05  -9.4135250825636869e-11
