# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.0649966700624063e+00  3.2000000000016826e+01  3.2000000000001023e+01  3.2000000000000355e+01  6.6651372216786129e+00
8.0000000000000004e-01  0.0000000000000000e+00  nan  nan  nan  nan  8.0728705964386069e+00  3.1999999999998995e+01  3.1999999999999964e+01  3.1999999999999986e+01  6.6645067590433102e+00
1.6000000000000001e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.0831241558809506e+00  3.1999999999997947e+01  3.1999999999999950e+01  3.1999999999999943e+01  6.6629917487331234e+00
2.3999999999999901e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.0930842247221300e+00  3.1999999999980588e+01  3.1999999999999073e+01  3.1999999999999538e+01  6.6613231459955333e+00
3.1999999999999802e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1007895841328903e+00  3.1999999999945310e+01  3.1999999999997222e+01  3.1999999999998682e+01  6.6595477456948018e+00
3.9999999999999600e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1075158971349754e+00  3.1999999999890690e+01  3.1999999999994447e+01  3.1999999999997307e+01  6.6567719580770612e+00
4.7999999999999403e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1144116280839658e+00  3.1999999999795552e+01  3.1999999999989736e+01  3.1999999999994845e+01  6.6525360086872229e+00
5.5999999999999304e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1212681371940683e+00  3.1999999999609802e+01  3.1999999999980613e+01  3.1999999999989999e+01  6.6473342849740700e+00
6.3999999999999098e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1276782715963662e+00  3.1999999999238334e+01  3.1999999999962423e+01  3.1999999999980318e+01  6.6417595058352905e+00
7.1999999999998900e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1335860231805857e+00  3.1999999998495845e+01  3.1999999999926221e+01  3.1999999999961016e+01  6.6355819303086312e+00
7.9999999999998703e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1392626170879456e+00  3.1999999997035907e+01  3.1999999999854268e+01  3.1999999999922625e+01  6.6279296510857213e+00
8.7999999999998604e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1448799802629992e+00  3.1999999994085908e+01  3.1999999999712298e+01  3.1999999999846636e+01  6.6184408547435920e+00
9.5999999999998398e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1504029530434199e+00  3.1999999988204024e+01  3.1999999999427164e+01  3.1999999999695564e+01  6.6077744404115721e+00
1.0399999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.1557660914761456e+00  3.1999999975473642e+01  3.1999999998880355e+01  3.1999999999397915e+01  6.5967436173994374e+00
1.1199999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.1610602797656746e+00  3.1999999954567503e+01  3.1999999997751800e+01  3.1999999998799623e+01  6.5853849522669377e+00
1.1999999999999799e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.1664907972476364e+00  3.1999999916943672e+01  3.1999999995106297e+01  3.1999999997400032e+01  6.5732937016922310e+00
1.2799999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.1725734936220409e+00  3.1999999833519833e+01  3.1999999988252259e+01  3.1999999994211837e+01  6.5609992779250552e+00
1.3599999999999801e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.1806483430224741e+00  3.1999999652781263e+01  3.1999999977943144e+01  3.1999999989235771e+01  6.5511560322741378e+00
1.4399999999999700e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.1909197598238279e+00  3.1999999347469426e+01  3.1999999963730794e+01  3.1999999981760300e+01  6.5457820983348016e+00
1.5199999999999701e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.2023663326217005e+00  3.1999998873385053e+01  3.1999999937490973e+01  3.1999999967707332e+01  6.5440155340850961e+00
1.5999999999999700e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.2148942838483201e+00  3.1999998060028094e+01  3.1999999886751024e+01  3.1999999942269469e+01  6.5452782652201575e+00
1.6799999999999802e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.2293115722949430e+00  3.1999996355176656e+01  3.1999999803705720e+01  3.1999999898869866e+01  6.5514306065762939e+00
1.7600000000000001e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.2453043606903140e+00  3.1999992841022536e+01  3.1999999646093300e+01  3.1999999817550474e+01  6.5619232909486671e+00
1.8400000000000102e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.2621155495532310e+00  3.1999986712672062e+01  3.1999999319018873e+01  3.1999999649618001e+01  6.5764126703957011e+00
1.9200000000000198e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.2779694140660709e+00  3.1999978179227785e+01  3.1999998670836536e+01  3.1999999320382152e+01  6.5931760105861326e+00
2.0000000000000298e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.2928839050811227e+00  3.1999969021496337e+01  3.1999997427250506e+01  3.1999998709803240e+01  6.6119614530005828e+00
2.0800000000000502e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3081491908380833e+00  3.1999961261192254e+01  3.1999995066719425e+01  3.1999997613112832e+01  6.6347625322542605e+00
2.1600000000000598e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3239383939664773e+00  3.1999955396268369e+01  3.1999991250984923e+01  3.1999995913903103e+01  6.6630815396147511e+00
2.2400000000000698e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3385190769961497e+00  3.1999950497180329e+01  3.1999986496592427e+01  3.1999993815449496e+01  6.6955388207708531e+00
2.3200000000000799e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3504389452155756e+00  3.1999945841693055e+01  3.1999981754945384e+01  3.1999991683624827e+01  6.7300233531016334e+00
2.4000000000000998e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3605138031906314e+00  3.1999941724971283e+01  3.1999977196936047e+01  3.1999989627882439e+01  6.7673289070063767e+00
2.4800000000001098e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3706608288926247e+00  3.1999938916482229e+01  3.1999972057300340e+01  3.1999987407746765e+01  6.8107322088000144e+00
2.5600000000001199e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3806149350496710e+00  3.1999936119507684e+01  3.1999965696226990e+01  3.1999984763557361e+01  6.8610772900618739e+00
2.6400000000001299e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3858263646434281e+00  3.1999932424591687e+01  3.1999958362797955e+01  3.1999981746314131e+01  6.9121144908847976e+00
2.7200000000001499e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3863104882076414e+00  3.1999927302826180e+01  3.1999950718461569e+01  3.1999978629489320e+01  6.9639920422626789e+00
2.8000000000001599e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3831380936304853e+00  3.1999920137203773e+01  3.1999943204814183e+01  3.1999975643358503e+01  7.0189559879921735e+00
2.8800000000001699e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3744550102497133e+00  3.1999911293946855e+01  3.1999936050600301e+01  3.1999972887594581e+01  7.0760296512442835e+00
2.9600000000001799e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3546498212957090e+00  3.1999902098372868e+01  3.1999929388430985e+01  3.1999970364172640e+01  7.1336167795088254e+00
3.0400000000001999e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.3100528103052689e+00  3.1999893601423391e+01  3.1999923252812980e+01  3.1999968038915082e+01  7.1966639270570214e+00
3.1200000000002099e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.2190838555841434e+00  3.1999886036186933e+01  3.1999917592055077e+01  3.1999965879640918e+01  7.2748240727557034e+00
3.2000000000002203e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.0731869911421441e+00  3.1999879254100826e+01  3.1999912447679144e+01  3.1999963920176246e+01  7.3737533568694911e+00
3.2800000000002001e+01  0.0000000000000000e+00  nan  nan  nan  nan  7.8945462166670559e+00  3.1999873456053798e+01  3.1999907922251538e+01  3.1999962235795969e+01  7.4888957622565595e+00
3.3600000000001899e+01  0.0000000000000000e+00  nan  nan  nan  nan  7.7233890225650148e+00  3.1999868618668390e+01  3.1999904062699326e+01  3.1999960860712459e+01  7.6146066115223219e+00
3.4400000000001697e+01  0.0000000000000000e+00  nan  nan  nan  nan  7.5922169279889893e+00  3.1999864297616931e+01  3.1999900609842644e+01  3.1999959599523610e+01  7.7465712504664070e+00
3.5200000000001602e+01  0.0000000000000000e+00  nan  nan  nan  nan  7.5198874551280177e+00  3.1999860403519101e+01  3.1999897706965974e+01  3.1999958444247767e+01  7.8794369106636468e+00
3.6000000000001400e+01  0.0000000000000000e+00  nan  nan  nan  nan  7.5346558019234422e+00  3.1999857046136675e+01  3.1999895516264427e+01  3.1999957520695318e+01  8.0146321484782721e+00
