# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.2181424377388539e-07  1.6516109640249432e-07  7.4591100757707229e-01  3.9836440303082892e+00  7.6976718878956329e-01
8.0000000000000004e-01  2.2095991258798387e-07  1.6466735465502203e-07  7.4623214287221251e-01  3.9849285714888500e+00  7.6934359245024653e-01
1.6000000000000001e+00  2.1981942725892294e-07  1.6373188850063569e-07  7.4600950200321248e-01  3.9840380080128499e+00  7.6877105573195303e-01
2.3999999999999901e+00  2.1774194112137118e-07  1.6220122502697366e-07  7.4588717434656948e-01  3.9835486973862779e+00  7.6773187206861226e-01
3.1999999999999802e+00  2.1282810167478205e-07  1.5840212126654934e-07  7.4577878311254997e-01  3.9831151324501999e+00  7.6539530327645033e-01
3.9999999999999600e+00  1.9865764666660007e-07  1.4783440793976399e-07  7.4542654438345290e-01  3.9817061775338116e+00  7.5635772552539327e-01
4.7999999999999403e+00  1.7598053430217987e-07  1.3101931937599682e-07  7.4635422508383420e-01  3.9854169003353368e+00  7.4764636250949057e-01
5.5999999999999304e+00  1.4486935255968142e-07  1.0782399853310626e-07  7.4580045690824492e-01  3.9832018276329797e+00  7.2040052391651488e-01
6.3999999999999098e+00  1.2009137297139947e-07  8.9369354076837811e-08  7.4531107825211795e-01  3.9812443130084718e+00  6.9666090883443721e-01
7.1999999999998900e+00  1.1742521370845939e-07  8.7256930388011297e-08  7.4547702143361017e-01  3.9819080857344407e+00  6.9510896490785257e-01
7.9999999999998703e+00  1.3305741916166948e-07  9.9023286346661883e-08  7.4554265835332623e-01  3.9821706334133049e+00  7.1062082587874309e-01
8.7999999999998604e+00  1.5903238742506646e-07  1.1833582954409795e-07  7.4558961335355989e-01  3.9823584534142396e+00  7.2707629414361075e-01
9.5999999999998398e+00  1.7209988038860143e-07  1.2816612601578472e-07  7.4569519119795591e-01  3.9827807647918236e+00  7.5630046255222250e-01
1.0399999999999800e+01  1.6671848859686383e-07  1.2420138778658567e-07  7.4765945686697632e-01  3.9906378274679053e+00  7.6795284467415137e-01
1.1199999999999800e+01  1.5139970310370079e-07  1.1277739080468370e-07  7.4657492825498828e-01  3.9862997130199531e+00  8.0465152903164372e-01
1.1999999999999799e+01  1.3843664941322800e-07  1.0311541617775534e-07  7.4760579612122946e-01  3.9904231844849178e+00  9.1910124631110357e-01
