# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  4.0554009591230454e-04  2.2401616212200588e-09  1.5368934274355754e-07  -1.2106333669863237e-06  -3.3590309600188214e-04  -7.8374120200529011e-18  1.5368934435900491e-07  1.2106333653353405e-06  4.0554009591227278e-04  -2.2401616371368236e-09  2.6425876975896299e-05  5.5662677382034550e-09  4.2738479125730670e-09  -1.6443444544223638e-08  -2.1735357248137046e-05  1.1063979925802011e-17  4.2738511740930652e-09  1.6443441335125477e-08  2.6425876975864238e-05  -5.5662677469522011e-09
8.0000000000000004e-01  4.0493065779284267e-04  -7.7927024825202738e-10  1.5472508514260824e-07  -1.1979770274087442e-06  -3.3482776272186619e-04  -9.5442766940638970e-17  1.5472508536466608e-07  1.1979770274714302e-06  4.0493065779261954e-04  7.7927013755083519e-10  2.6429472241277936e-05  5.5700315167301040e-09  4.2738592171374739e-09  -1.6444469118052900e-08  -2.1738592907543352e-05  2.2511129763673285e-17  4.2738592684283447e-09  1.6444469315156186e-08  2.6429472240640049e-05  -5.5700315710515089e-09
1.6000000000000001e+00  4.0377362263421910e-04  4.8976826275333597e-10  1.5351973608549435e-07  -1.1616256117835240e-06  -3.3421470647090532e-04  4.6939784852216345e-17  1.5351973621658909e-07  1.1616256113327131e-06  4.0377362263426539e-04  -4.8976834595657867e-10  2.6433882315026585e-05  5.5636440035342682e-09  4.2783598188871705e-09  -1.6423809074726197e-08  -2.1745368111570600e-05  -1.4177701246767707e-16  4.2783595068455895e-09  1.6423808841467650e-08  2.6433882315690875e-05  -5.5636440379715391e-09
2.3999999999999901e+00  4.0187355577208555e-04  1.0887210884680467e-09  1.2814155258898023e-07  -1.1679591150945182e-06  -3.3257317803538609e-04  2.4092607510471228e-17  1.2814155249561946e-07  1.1679591152249064e-06  4.0187355577202510e-04  -1.0887209617211909e-09  2.6436152629711887e-05  5.5722016276330122e-09  4.2758386112665312e-09  -1.6262834700392491e-08  -2.1765839685362656e-05  -3.1100377202618750e-17  4.2758381685607892e-09  1.6262834540937393e-08  2.6436152629797292e-05  -5.5722015841613383e-09
3.1999999999999802e+00  3.9711839707463106e-04  -3.9486094180450574e-10  1.7219634423655965e-07  -1.1549746370847996e-06  -3.2920575203069895e-04  6.1847661607421276e-17  1.7219634406247900e-07  1.1549746372258772e-06  3.9711839707431794e-04  3.9486094544931126e-10  2.6440498111409600e-05  5.5697676878938271e-09  4.2784706609575663e-09  -1.7097777738453422e-08  -2.1744097799216395e-05  1.8401999145895977e-16  4.2784701878546846e-09  1.7097777741313478e-08  2.6440498111095564e-05  -5.5697652532229124e-09
3.9999999999999600e+00  3.8356772518770798e-04  3.1873801787335468e-10  1.3435198953039710e-07  -1.1441122575069002e-06  -3.1805970770041968e-04  -6.4659552963653225e-17  1.3435198983024041e-07  1.1441122573988323e-06  3.8356772518766152e-04  -3.1873793391442908e-10  2.6649729881071728e-05  5.5896689768217105e-09  4.2825873542704392e-09  -1.5647881749260385e-08  -2.1950972146411634e-05  1.1809244925011973e-16  4.2825812282888845e-09  1.5647887047429685e-08  2.6649729882140816e-05  -5.5896988740697116e-09
4.7999999999999403e+00  3.6102150938424702e-04  1.1488788287110756e-09  1.3530748646486515e-07  -1.0805219851402552e-06  -2.9909952808189835e-04  2.0065204390948524e-17  1.3530748646982638e-07  1.0805219853430664e-06  3.6102150938433365e-04  -1.1488788737234172e-09  2.6130233572289614e-05  5.4846798990559856e-09  4.3584502226962408e-09  -1.6571537410117914e-08  -2.1436648398870351e-05  2.9561249590476977e-15  4.3584966119897989e-09  1.6571466913500635e-08  2.6130233569984052e-05  -5.4850140556896050e-09
5.5999999999999304e+00  3.2728242602798001e-04  -2.6562084675715294e-10  1.1802699058787262e-07  -1.0492365188066811e-06  -2.7130841165641132e-04  6.5202019017491872e-17  1.1802699019175560e-07  1.0492365189896413e-06  3.2728242602843760e-04  2.6562092492903674e-10  2.6649805207172699e-05  5.2774902846791276e-09  4.0990108426492795e-09  -1.6313382978985349e-08  -2.1914004574110344e-05  -2.3998706008486444e-14  4.0989258784351685e-09  1.6313668200516078e-08  2.6649805233825048e-05  -5.2743290482794697e-09
6.3999999999999098e+00  2.9775607669067712e-04  3.7550953562166627e-10  7.6420693601967262e-08  -1.0335085469087870e-06  -2.4689902130805577e-04  4.8617009168507607e-18  7.6420694009458018e-08  1.0335085463699046e-06  2.9775607669046077e-04  -3.7550936059423251e-10  2.6658447262596654e-05  8.0100145634036420e-09  4.0269128544751296e-09  -1.7131772204951683e-08  -2.1971856698414171e-05  8.4571151964138920e-14  4.0267402263835487e-09  1.7130871946537976e-08  2.6658447106343828e-05  -8.0211549136272423e-09
7.1999999999998900e+00  2.9419776727155597e-04  6.8785704002491880e-10  6.7893593078127598e-08  -1.0120429749179296e-06  -2.4466204652488061e-04  -2.7017872835995760e-17  6.7893593141870625e-08  1.0120429746683734e-06  2.9419776727211797e-04  -6.8785773563548418e-10  2.6544379829738014e-05  5.8298376228288137e-10  5.5641821130716833e-09  -1.5429704245759008e-08  -2.1794297691773086e-05  -2.8078269931541826e-13  5.5646013851805176e-09  1.5434682288920457e-08  2.6544380543148857e-05  -5.5098701601009549e-10
