# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.0649966700623636e+00  3.2000000000016847e+01  3.2000000000000981e+01  3.2000000000000398e+01  6.6651372216782132e+00
8.0000000000000004e-01  0.0000000000000000e+00  nan  nan  nan  nan  8.0728705964386123e+00  3.1999999999998973e+01  3.1999999999999943e+01  3.1999999999999986e+01  6.6645067590433440e+00
1.6000000000000001e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.0831241558809506e+00  3.1999999999997954e+01  3.1999999999999879e+01  3.1999999999999979e+01  6.6629917487331065e+00
2.3999999999999901e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.0930842247221477e+00  3.1999999999980602e+01  3.1999999999998884e+01  3.1999999999999606e+01  6.6613231459956488e+00
3.1999999999999802e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1007895841329187e+00  3.1999999999945317e+01  3.1999999999996771e+01  3.1999999999998764e+01  6.6595477456950283e+00
3.9999999999999600e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1075158971349701e+00  3.1999999999890708e+01  3.1999999999993452e+01  3.1999999999997421e+01  6.6567719580771012e+00
4.7999999999999403e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1144116280838325e+00  3.1999999999795659e+01  3.1999999999987658e+01  3.1999999999995055e+01  6.6525360086866057e+00
5.5999999999999304e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1212681371936419e+00  3.1999999999610090e+01  3.1999999999976314e+01  3.1999999999990440e+01  6.6473342849720689e+00
6.3999999999999098e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1276782715953146e+00  3.1999999999238963e+01  3.1999999999953644e+01  3.1999999999981206e+01  6.6417595058306302e+00
7.1999999999998900e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1335860231781929e+00  3.1999999998497213e+01  3.1999999999908475e+01  3.1999999999962874e+01  6.6355819302989403e+00
7.9999999999998703e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1392626170827285e+00  3.1999999997038735e+01  3.1999999999818616e+01  3.1999999999926406e+01  6.6279296510665935e+00
8.7999999999998604e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1448799802516358e+00  3.1999999994091723e+01  3.1999999999641208e+01  3.1999999999854321e+01  6.6184408547065328e+00
9.5999999999998398e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.1504029530200448e+00  3.1999999988215819e+01  3.1999999999286349e+01  3.1999999999710134e+01  6.6077744403432552e+00
1.0399999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.1557660914220769e+00  3.1999999975497762e+01  3.1999999998597275e+01  3.1999999999431729e+01  6.5967436172620522e+00
1.1199999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.1610602796516041e+00  3.1999999954619742e+01  3.1999999997190773e+01  3.1999999998856197e+01  6.5853849520249259e+00
1.1999999999999799e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.1664907969784188e+00  3.1999999917059284e+01  3.1999999993812320e+01  3.1999999997527794e+01  6.5732937012020720e+00
1.2799999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.1725734933325320e+00  3.1999999833668909e+01  3.1999999985988580e+01  3.1999999994257980e+01  6.5609992776370945e+00
1.3599999999999801e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.1806483427511782e+00  3.1999999652860893e+01  3.1999999974611523e+01  3.1999999989430158e+01  6.5511560322385485e+00
1.4399999999999700e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.1909197590272527e+00  3.1999999347462609e+01  3.1999999959206708e+01  3.1999999982507408e+01  6.5457820984300978e+00
1.5199999999999701e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.2023663292139446e+00  3.1999998874487677e+01  3.1999999928273159e+01  3.1999999968359131e+01  6.5440155318184194e+00
1.5999999999999700e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.2148942754139505e+00  3.1999998061675058e+01  3.1999999870146439e+01  3.1999999941584452e+01  6.5452782596595949e+00
1.6799999999999802e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.2293115546031359e+00  3.1999996357257078e+01  3.1999999769613911e+01  3.1999999900475114e+01  6.5514305992314377e+00
1.7600000000000001e+01  0.0000000000000000e+00  nan  nan  nan  nan  8.2453043214079624e+00  3.1999992848424025e+01  3.1999999573809855e+01  3.1999999821540460e+01  6.5619232802608778e+00
