# Two-lump tracking of the control_pair_mm_d10_L64_N128_lev0_frames, derived from the
# chi_minus_1_z z-slice cache (y-averaged |chi-1| profile; the two
# strongest local maxima are the stars; gap = 0 once they have merged).
# Generated by analysis/track_wells.py.  Merger (profile loses its
# second maximum) at t = 32.800000000002.
# time  x_lump_1  x_lump_2  gap  peak_abs_chi_minus_1
    0.0000    27.717    36.283    8.567  4.1958e-03
    0.8000    27.717    36.283    8.567  4.2041e-03
    1.6000    27.717    36.283    8.567  4.1989e-03
    2.4000    27.717    36.283    8.567  4.1968e-03
    3.2000    27.717    36.283    8.567  4.1988e-03
    4.0000    27.717    36.283    8.567  4.1994e-03
    4.8000    27.717    36.283    8.567  4.1983e-03
    5.6000    27.717    36.283    8.567  4.1989e-03
    6.4000    27.717    36.283    8.567  4.1998e-03
    7.2000    27.717    36.283    8.567  4.2003e-03
    8.0000    27.717    36.283    8.567  4.2011e-03
    8.8000    27.717    36.283    8.567  4.2025e-03
    9.6000    27.717    36.283    8.567  4.2042e-03
   10.4000    27.717    36.283    8.567  4.2055e-03
   11.2000    27.717    36.283    8.567  4.2068e-03
   12.0000    27.717    36.283    8.567  4.2086e-03
   12.8000    27.717    36.283    8.567  4.2109e-03
   13.6000    27.717    36.283    8.567  4.2133e-03
   14.4000    27.717    36.283    8.567  4.2159e-03
   15.2000    27.717    36.283    8.567  4.2188e-03
   16.0000    27.717    36.283    8.567  4.2219e-03
   16.8000    27.717    36.283    8.567  4.2252e-03
   17.6000    27.717    36.283    8.567  4.2282e-03
   18.4000    28.220    35.780    7.559  4.2334e-03
   19.2000    28.220    35.780    7.559  4.2397e-03
   20.0000    28.220    35.780    7.559  4.2467e-03
   20.8000    28.220    35.780    7.559  4.2543e-03
   21.6000    28.220    35.780    7.559  4.2630e-03
   22.4000    28.220    35.780    7.559  4.2723e-03
   23.2000    28.220    35.780    7.559  4.2804e-03
   24.0000    28.220    35.780    7.559  4.2893e-03
   24.8000    28.220    35.780    7.559  4.2995e-03
   25.6000    28.220    35.276    7.055  4.3089e-03
   26.4000    28.724    35.276    6.551  4.3239e-03
   27.2000    28.724    35.276    6.551  4.3389e-03
   28.0000    28.724    35.276    6.551  4.3544e-03
   28.8000    28.724    35.276    6.551  4.3696e-03
   29.6000    29.228    34.772    5.543  4.3857e-03
   30.4000    29.228    34.772    5.543  4.4058e-03
   31.2000    29.228    34.772    5.543  4.4265e-03
   32.0000    29.732    34.268    4.535  4.4509e-03
   32.8000       nan       nan    0.000  4.4867e-03
   33.6000       nan       nan    0.000  4.5453e-03
   34.4000       nan       nan    0.000  4.6002e-03
   35.2000       nan       nan    0.000  4.6531e-03
   36.0000       nan       nan    0.000  4.7095e-03
   36.8000       nan       nan    0.000  4.7759e-03
   37.6000       nan       nan    0.000  4.8559e-03
   38.4000       nan       nan    0.000  4.9413e-03
   39.2000       nan       nan    0.000  5.0229e-03
   40.0000       nan       nan    0.000  5.0894e-03
   40.8000       nan       nan    0.000  5.1210e-03
