# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  1.6576742042284820e-01  1.6666666666666430e-01
8.0000000000000104e-01  1.6576682175077723e-01  1.6666666666666430e-01
1.6000000000000001e+00  1.6576609622064578e-01  1.6666666666666430e-01
2.3999999999999999e+00  1.6576552445548215e-01  1.6666666666666430e-01
3.2000000000000202e+00  1.6576440058441283e-01  1.6666666666666430e-01
4.0000000000000400e+00  1.6576371290500186e-01  1.6666666666666430e-01
4.8000000000000602e+00  1.6576299063642810e-01  1.6666666666666430e-01
5.6000000000000796e+00  1.6576156031453218e-01  1.6666666666666430e-01
6.4000000000000901e+00  1.6575989902740251e-01  1.6666666666666430e-01
7.2000000000001103e+00  1.6575971696444430e-01  1.6666666666666430e-01
8.0000000000001297e+00  1.6575888026273450e-01  1.6666666666666430e-01
8.8000000000000398e+00  1.6575723444827714e-01  1.6666666666666430e-01
9.5999999999999499e+00  1.6575585900288778e-01  1.6666666666666430e-01
1.0399999999999901e+01  1.6575409359998480e-01  1.6666666666666430e-01
1.1199999999999800e+01  1.6575178051481027e-01  1.6666666666666430e-01
1.1999999999999700e+01  1.6574912659916363e-01  1.6666666666666430e-01
1.2799999999999599e+01  1.6574652749898247e-01  1.6666666666666430e-01
1.3599999999999500e+01  1.6574397026051035e-01  1.6666666666666430e-01
1.4399999999999400e+01  1.6574095300262129e-01  1.6666666666666430e-01
1.5199999999999299e+01  1.6573713572887422e-01  1.6666666666666430e-01
1.5999999999999201e+01  1.6573291566214982e-01  1.6666666666666430e-01
1.6799999999999400e+01  1.6572880559816625e-01  1.6666666666666430e-01
1.7599999999999500e+01  1.6572437027550860e-01  1.6666666666666430e-01
1.8399999999999601e+01  1.6571864278741633e-01  1.6666666666666430e-01
1.9199999999999701e+01  1.6571164587475826e-01  1.6666666666666430e-01
1.9999999999999901e+01  1.6570431446151374e-01  1.6666666666666430e-01
2.0800000000000001e+01  1.6569691395756478e-01  1.6666666666666430e-01
2.1600000000000101e+01  1.6568760368613472e-01  1.6666666666666430e-01
2.2400000000000201e+01  1.6567598098547651e-01  1.6666666666666430e-01
2.3200000000000401e+01  1.6566472613906927e-01  1.6666666666666430e-01
2.4000000000000501e+01  1.6565127155607154e-01  1.6666666666666430e-01
2.4800000000000601e+01  1.6563550960106382e-01  1.6666666666666430e-01
