# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0061738107691456e+00  1.0052892941930729e+00  1.0109917677273426e+00  1.0034341993179290e+00  1.0029837055725366e+00  1.0061774849644183e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0028024995649121e+00  1.0026394512888472e+00  1.0032933136813336e+00  1.0017658860363328e+00  1.0016859700986873e+00  1.0020064097517956e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000104e-01  1.0061738147506314e+00  1.0052893402797278e+00  1.0109928583245518e+00  1.0034345694915685e+00  1.0029836524936295e+00  1.0061765791530477e+00  -7.1522188143528876e-08  -2.8316036856289631e-05  5.3291789557194861e-05  1.0028025002319452e+00  1.0026394521907629e+00  1.0032932985583813e+00  1.0017658831878133e+00  1.0016859662556903e+00  1.0020064225857941e+00  2.7943544130510296e-09  -4.5504888430136394e-08  2.2680203556769130e-08
1.6000000000000001e+00  1.0061734891158152e+00  1.0052894437523239e+00  1.0110009343818918e+00  1.0034354196529527e+00  1.0029834558583559e+00  1.0061642035976619e+00  -1.2373642754415408e-06  -2.3430736336509349e-05  4.6820750091154041e-05  1.0028025026700238e+00  1.0026394543199366e+00  1.0032932653367463e+00  1.0017658749364906e+00  1.0016859591545133e+00  1.0020064758841019e+00  6.2048471286319950e-09  -8.1620511797084049e-08  3.7836868729560391e-08
2.3999999999999999e+00  1.0061721053601049e+00  1.0052898147135629e+00  1.0110066671325595e+00  1.0034388709482096e+00  1.0029828486792651e+00  1.0061326884044557e+00  -3.1793464389685715e-06  -2.0236035502910915e-05  5.1246990328175479e-06  1.0028025072228668e+00  1.0026394588504994e+00  1.0032932076861996e+00  1.0017658607864530e+00  1.0016859460426204e+00  1.0020065811256911e+00  1.0693464488696437e-08  -2.9555409241789989e-07  7.6326253467300913e-08
3.2000000000000202e+00  1.0061697842546198e+00  1.0052768482823426e+00  1.0109969033604407e+00  1.0034454238038284e+00  1.0030054159658104e+00  1.0061424986829930e+00  -2.8994669566400311e-06  -2.6129278642676373e-05  4.4841403224411173e-06  1.0028025124966953e+00  1.0026394650913120e+00  1.0032935265073353e+00  1.0017658440629442e+00  1.0016859272718892e+00  1.0020061247095042e+00  2.8855385151709927e-08  -5.0881838444967549e-07  1.7228492387771137e-06
4.0000000000000400e+00  1.0061701904290268e+00  1.0052807947988935e+00  1.0110087971897475e+00  1.0034476689307086e+00  1.0030075931292894e+00  1.0061201501342938e+00  3.1226854264524078e-07  -1.3645099260475211e-05  3.2451830474529137e-05  1.0028024687977588e+00  1.0026394735461577e+00  1.0032888172775476e+00  1.0017658976439610e+00  1.0016859021929514e+00  1.0020144730578062e+00  -3.0234758063541475e-07  -1.1122789389728415e-05  2.0555599203385736e-06
4.8000000000000602e+00  1.0061721765492746e+00  1.0052849461420865e+00  1.0110228115319650e+00  1.0034449228284468e+00  1.0030043468828200e+00  1.0060646033699576e+00  2.9089581544272884e-06  -9.5619372615513620e-06  4.1599591166839533e-05  1.0028019425191808e+00  1.0026394849503009e+00  1.0032878089024135e+00  1.0017669463231977e+00  1.0016858693099879e+00  1.0020199751606722e+00  -8.2844242486819768e-07  -1.3129979883404268e-05  2.3339342072081443e-06
5.6000000000000796e+00  1.0061749347035414e+00  1.0052863220551185e+00  1.0109954001965522e+00  1.0034380901713595e+00  1.0030007987089533e+00  1.0060598519918222e+00  5.8477223476092909e-06  -3.0694215169017045e-05  1.6980421042626725e-05  1.0028014300058399e+00  1.0026394996339667e+00  1.0032895257558754e+00  1.0017682806894843e+00  1.0016858271082119e+00  1.0020186452883157e+00  -8.6494956019109780e-07  -1.1880584017529453e-05  3.1098274663400831e-06
6.4000000000000901e+00  1.0061763176420970e+00  1.0052886402879191e+00  1.0109615217739751e+00  1.0034311534414919e+00  1.0029954739270279e+00  1.0060885500909551e+00  3.1214695834502259e-06  -3.4399418979717857e-05  1.1395937190430854e-05  1.0028009146431047e+00  1.0026395393794572e+00  1.0032900259300377e+00  1.0017697610590401e+00  1.0016857389442493e+00  1.0020179199932306e+00  -9.5117842876784192e-07  -9.1807544377941858e-06  2.7861073489631441e-06
7.2000000000001103e+00  1.0061760060488658e+00  1.0052895570490124e+00  1.0109471477512870e+00  1.0034270762272017e+00  1.0029924517388136e+00  1.0060894981196460e+00  2.3421439755189203e-06  -2.3835154132767548e-05  1.1805165719216612e-05  1.0028003582854899e+00  1.0026395784342581e+00  1.0032903901997818e+00  1.0017713897886662e+00  1.0016857010196436e+00  1.0020172275671893e+00  -1.1413202714857233e-06  -8.1059324620104541e-06  2.6363929508158718e-06
