# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  7.8292746942983511e+00  2.4574141590205871e-02  6.6189632145772599e+00  2.7054824332964217e-01  3.1999999999987633e+01  3.1999999999999329e+01  3.1999999999999901e+01  4.7999999999999998e+00  7.9532453611951945e+00  6.6110685842930579e+00  2.7119124687722224e-01  6.6189632145772599e+00  2.7054824332964217e-01  nan  nan  1.0000000000000000e+00  9.8456638396330076e-01
8.0000000000000004e-01  7.8385286474036633e+00  2.4636667826888232e-02  6.6182384464713095e+00  2.7071238287106680e-01  3.2000000000000909e+01  3.2000000000000043e+01  3.2000000000000000e+01  4.7999999999999998e+00  7.9626318239784037e+00  6.6103480460655231e+00  2.7135499414138070e-01  6.6182384464713095e+00  2.7071238287106680e-01  nan  nan  1.0000000000000000e+00  9.8457186517557160e-01
1.6000000000000001e+00  7.8510144961587516e+00  2.4532749395084121e-02  6.6165829472316622e+00  2.7117469041922343e-01  3.2000000000002530e+01  3.2000000000000092e+01  3.2000000000000043e+01  4.7999999999999998e+00  7.9753129354606713e+00  6.6086951806180503e+00  2.7181806973525235e-01  6.6165829472316622e+00  2.7117469041922343e-01  nan  nan  1.0000000000000000e+00  9.8459328461802109e-01
2.3999999999999901e+00  7.8597929750616888e+00  2.4355312274916403e-02  6.6148417856414818e+00  2.7175369148627976e-01  3.2000000000017174e+01  3.2000000000000803e+01  3.2000000000000213e+01  4.7999999999999998e+00  7.9842890630987107e+00  6.6069412638204463e+00  2.7239987543384059e-01  6.6148417856414818e+00  2.7175369148627976e-01  nan  nan  1.0000000000000000e+00  9.8460023574426170e-01
3.1999999999999802e+00  7.8619571142307416e+00  2.4346614265707778e-02  6.6129269819971812e+00  2.7250112979774560e-01  3.2000000000046185e+01  3.2000000000002210e+01  3.2000000000000618e+01  4.7999999999999998e+00  7.9865776891514981e+00  6.6050057576608907e+00  2.7315015496069489e-01  6.6129269819971812e+00  2.7250112979774560e-01  nan  nan  1.0000000000000000e+00  9.8458415144368172e-01
3.9999999999999600e+00  7.8617198144132949e+00  2.4404296545446375e-02  6.6097820042188777e+00  2.7361065039309618e-01  3.2000000000091177e+01  3.2000000000004341e+01  3.2000000000001350e+01  4.7999999999999998e+00  7.9863844589638635e+00  6.6018525520677116e+00  2.7426238839657174e-01  6.6097820042188777e+00  2.7361065039309618e-01  nan  nan  1.0000000000000000e+00  9.8459197792234920e-01
4.7999999999999403e+00  7.8641254869797166e+00  2.4472907845677922e-02  6.6049064716950898e+00  2.7511944666806049e-01  3.2000000000169912e+01  3.2000000000008001e+01  3.2000000000002771e+01  4.7999999999999998e+00  7.9888044801473601e+00  6.5969834317286864e+00  2.7577331996102661e-01  6.6049064716950898e+00  2.7511944666806049e-01  nan  nan  1.0000000000000000e+00  9.8469378408385877e-01
5.5999999999999304e+00  7.8694728738643231e+00  2.4534111729877208e-02  6.5989052894198048e+00  2.7688340653685806e-01  3.2000000000324739e+01  3.2000000000015127e+01  3.2000000000005592e+01  4.7999999999999998e+00  7.9941847285836989e+00  6.5909866213448423e+00  2.7754009667295643e-01  6.5989052894198048e+00  2.7688340653685806e-01  nan  nan  1.0000000000000000e+00  9.8466550280402676e-01
6.3999999999999098e+00  7.8738579093515959e+00  2.4543345731965881e-02  6.5924766110024207e+00  2.7878394837447346e-01  3.2000000000637733e+01  3.2000000000029523e+01  3.2000000000011333e+01  4.7999999999999998e+00  7.9986283168449823e+00  6.5845468897866182e+00  2.7944478888560359e-01  6.5924766110024207e+00  2.7878394837447346e-01  nan  nan  1.0000000000000000e+00  9.8465033655969669e-01
7.1999999999998900e+00  7.8746227865003036e+00  2.4495624164906454e-02  6.5852794978011113e+00  2.8087170361604985e-01  3.2000000001270863e+01  3.2000000000058520e+01  3.2000000000022908e+01  4.7999999999999998e+00  7.9994491399513290e+00  6.5773275789990420e+00  2.8153699292552081e-01  6.5852794978011113e+00  2.8087170361604985e-01  nan  nan  1.0000000000000000e+00  9.8463783539719540e-01
7.9999999999998703e+00  7.8742515952298042e+00  2.4466316083740416e-02  6.5762755534184318e+00  2.8322265110311018e-01  3.2000000002524430e+01  3.2000000000116870e+01  3.2000000000046214e+01  4.7999999999999998e+00  7.9991486441627622e+00  6.5683010392045933e+00  2.8389260067033284e-01  6.5762755534184318e+00  2.8322265110311018e-01  nan  nan  1.0000000000000000e+00  9.8464305858228973e-01
8.7999999999998604e+00  7.8771396056396430e+00  2.4490221825399172e-02  6.5652234054102152e+00  2.8576856673025736e-01  3.2000000005122985e+01  3.2000000000232909e+01  3.2000000000092868e+01  4.7999999999999998e+00  8.0021576983657958e+00  6.5572316481084973e+00  2.8644388261927139e-01  6.5652234054102152e+00  2.8576856673025736e-01  nan  nan  1.0000000000000000e+00  9.8465332539122419e-01
9.5999999999998398e+00  7.8838038044357539e+00  2.4527097853789787e-02  6.5531109302097397e+00  2.8835965922547707e-01  3.2000000010253700e+01  3.2000000000470095e+01  3.2000000000186319e+01  4.7999999999999998e+00  8.0089840112905044e+00  6.5451029444196402e+00  2.8904123247287478e-01  6.5531109302097397e+00  2.8835965922547707e-01  nan  nan  1.0000000000000000e+00  9.8465639365454016e-01
1.0399999999999800e+01  7.8905706572811845e+00  2.4522730858226049e-02  6.5409412262658657e+00  2.9096585746644349e-01  3.2000000021350637e+01  3.2000000000918227e+01  3.2000000000373618e+01  4.7999999999999998e+00  8.0159091894281644e+00  6.5329084358839316e+00  2.9165522130979776e-01  6.5409412262658657e+00  2.9096585746644349e-01  nan  nan  1.0000000000000000e+00  9.8465335890452133e-01
1.1199999999999800e+01  7.8951695826273465e+00  2.4482655744822494e-02  6.5289825339390104e+00  2.9371148329496705e-01  3.2000000040561027e+01  3.2000000001937181e+01  3.2000000000764715e+01  4.7999999999999998e+00  8.0206422580167978e+00  6.5209085073082074e+00  2.9441035366479584e-01  6.5289825339390104e+00  2.9371148329496705e-01  nan  nan  1.0000000000000000e+00  9.8465139591250039e-01
1.1999999999999799e+01  7.9001980334927762e+00  2.4461756636352475e-02  6.5175096931166401e+00  2.9668609354656911e-01  3.2000000075751913e+01  3.2000000004370087e+01  3.2000000001654101e+01  4.7999999999999998e+00  8.0258102630947441e+00  6.5093719079506194e+00  2.9739587380349791e-01  6.5175096931166401e+00  2.9668609354656911e-01  nan  nan  1.0000000000000000e+00  9.8465687658692147e-01
1.2799999999999800e+01  7.9101221765189980e+00  2.4490216775687294e-02  6.5079161113905624e+00  2.9982613001232655e-01  3.2000000152026153e+01  3.2000000008995713e+01  3.2000000003462439e+01  4.7999999999999998e+00  8.0359201219628957e+00  6.4996815525386236e+00  3.0054908022791044e-01  6.5079161113905624e+00  2.9982613001232655e-01  nan  nan  1.0000000000000000e+00  9.8466826139378050e-01
