# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.1896668952354107e-07  1.6303004878777199e-07  7.4588771450748559e-01  3.9835508580299424e+00  7.6840376019114942e-01
8.0000000000000004e-01  2.1887555131703508e-07  1.6311337883027904e-07  7.4623164453782675e-01  3.9849265781513070e+00  7.6839784654756982e-01
1.6000000000000001e+00  2.1616472155984492e-07  1.6098720980005473e-07  7.4596475017653729e-01  3.9838590007061492e+00  7.6715625979756374e-01
2.3999999999999901e+00  2.1415203835762885e-07  1.5948850238607354e-07  7.4584124878696634e-01  3.9833649951478654e+00  7.6622005623986467e-01
3.1999999999999802e+00  2.0840550085387846e-07  1.5513905746387891e-07  7.4582475695116290e-01  3.9832990278046516e+00  7.6358967858325821e-01
3.9999999999999600e+00  1.9615117506052338e-07  1.4600544647534035e-07  7.4576128878752757e-01  3.9830451551501103e+00  7.5594047751000149e-01
4.7999999999999403e+00  1.7508981232262190e-07  1.3032886265108384e-07  7.4605471775639309e-01  3.9842188710255724e+00  7.4750032440441072e-01
5.5999999999999304e+00  1.4563641930366894e-07  1.0841616463687639e-07  7.4568220831163112e-01  3.9827288332465245e+00  7.2232444530533180e-01
6.3999999999999098e+00  1.2124747545470015e-07  9.0218583968345289e-08  7.4568118235573766e-01  3.9827247294229506e+00  7.0124870838420217e-01
7.1999999999998900e+00  1.1492220366327946e-07  8.5390498419309372e-08  7.4510474621408651e-01  3.9804189848563460e+00  6.9516357630827919e-01
7.9999999999998703e+00  1.2733500064147636e-07  9.4732293785981309e-08  7.4578046305504264e-01  3.9831218522201706e+00  7.0912810784886604e-01
8.7999999999998604e+00  1.5131494397542552e-07  1.1258354882220687e-07  7.4518929612982676e-01  3.9807571845193070e+00  7.2800581086964589e-01
9.5999999999998398e+00  1.6826794532583478e-07  1.2526482140331250e-07  7.4572781280117006e-01  3.9829112512046803e+00  7.5798443409718164e-01
1.0399999999999800e+01  1.6751786465096029e-07  1.2477226404460230e-07  7.4745891395454356e-01  3.9898356558181742e+00  7.7644469594922116e-01
1.1199999999999800e+01  1.5491511146343927e-07  1.1538999904010579e-07  7.4688073035269265e-01  3.9875229214107706e+00  8.1389858059007814e-01
1.1999999999999799e+01  1.4081245663697568e-07  1.0486536174614989e-07  7.4670224967694121e-01  3.9868089987077648e+00  9.0371358338402474e-01
1.2799999999999800e+01  1.3153219639630727e-07  9.7934841436237283e-08  7.4318971285925739e-01  3.9727588514370296e+00  8.7287022364537792e-01
1.3599999999999801e+01  1.2888637517407932e-07  9.5964199054489476e-08  7.4449717200143750e-01  3.9779886880057500e+00  6.1689505414214629e-01
1.4399999999999700e+01  1.2766232868593691e-07  9.5095695352478850e-08  7.4645885543981971e-01  3.9858354217592789e+00  4.5873471060541249e-01
1.5199999999999701e+01  1.2333734500960048e-07  9.1897478306039971e-08  7.4809401184556612e-01  3.9923760473822645e+00  4.6343624958199015e-01
1.5999999999999700e+01  1.1618251093613856e-07  8.6561209753347299e-08  7.5001332390207232e-01  4.0000532956082893e+00  6.6308779324572575e-01
1.6799999999999802e+01  1.0917665237808484e-07  8.1334851680950746e-08  7.3174236281537097e-01  3.9269694512614839e+00  9.2662964155830696e-01
1.7600000000000001e+01  1.0352370466435483e-07  7.7120505972832412e-08  7.4534237357404298e-01  3.9813694942961719e+00  6.3371556844916910e-01
1.8400000000000102e+01  9.6360897946259094e-08  7.1789543540826745e-08  7.4699410605554029e-01  3.9879764242221611e+00  5.7659545192309347e-01
1.9200000000000198e+01  8.6869506926835605e-08  6.4721003372988138e-08  7.4757362577150854e-01  3.9902945030860342e+00  6.5548469461444114e-01
2.0000000000000298e+01  7.6854761670846020e-08  5.7257663173984145e-08  7.4671275595970399e-01  3.9868510238388160e+00  7.6994295371591082e-01
2.0800000000000502e+01  6.7036014353819139e-08  4.9941998066730471e-08  7.4494296742479460e-01  3.9797718696991784e+00  8.2319287931411911e-01
