# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  -4.0290378301808806e-04  2.2483596889027635e-09  -1.5347550207674429e-07  1.2101715699856507e-06  3.3376295237359273e-04  6.4145428728389453e-18  -1.5347550044485250e-07  -1.2101715714838305e-06  -4.0290378301811115e-04  -2.2483596748608647e-09  -2.6430860398255541e-05  -5.5703312113668547e-09  -4.2754680046230675e-09  1.6433369282338069e-08  2.1739281906497877e-05  1.3993157996569678e-18  -4.2754649001778549e-09  -1.6433372447186811e-08  -2.6430860398267823e-05  5.5703312117818421e-09
8.0000000000000004e-01  -4.0300749931711710e-04  -1.5476362710771260e-09  -1.5210739992459665e-07  1.2073706325891754e-06  3.3324007086024850e-04  2.9049064409257685e-17  -1.5210739976719180e-07  -1.2073706325892157e-06  -4.0300749931724558e-04  1.5476361487953864e-09  -2.6426015419355518e-05  -5.5718171198931691e-09  -4.2730275909887756e-09  1.6431368757975944e-08  2.1735634544689699e-05  6.2395256000111993e-17  -4.2730274498059932e-09  -1.6431368790223673e-08  -2.6426015419612013e-05  5.5718171114817382e-09
1.6000000000000001e+00  -4.0036134336342803e-04  3.3932276499504155e-10  -1.5041560254823924e-07  1.1653132343357029e-06  3.3148143729656442e-04  -2.3896187657906830e-17  -1.5041560271759342e-07  -1.1653132342437759e-06  -4.0036134336316479e-04  -3.3932254472175121e-10  -2.6419774967143879e-05  -5.5632719136559882e-09  -4.2756916190565173e-09  1.6378701245214104e-08  2.1732890160361832e-05  -4.2831417081079448e-17  -4.2756917859920172e-09  -1.6378701239803042e-08  -2.6419774967587778e-05  5.5632718710363856e-09
2.3999999999999901e+00  -3.9848581643294649e-04  4.3988775680972352e-10  -1.3394048283403562e-07  1.1598978969783543e-06  3.2992682050274162e-04  1.0561433259358352e-16  -1.3394048333167716e-07  -1.1598978967901601e-06  -3.9848581643286350e-04  -4.3988776357432018e-10  -2.6411294112387228e-05  -5.5678742777140969e-09  -4.2705123065466538e-09  1.6196976294080428e-08  2.1740236625558589e-05  -1.7415617450135585e-16  -4.2705127047353476e-09  -1.6196976293448415e-08  -2.6411294111968387e-05  5.5678742104763337e-09
3.1999999999999802e+00  -3.9299183051654570e-04  -4.9318517242333988e-10  -1.6633701941180850e-07  1.1510435206317129e-06  3.2566706030878062e-04  6.0514731239523540e-17  -1.6633701954931914e-07  -1.1510435206951989e-06  -3.9299183051623205e-04  4.9318545290743018e-10  -2.6390880622581993e-05  -5.5639284437873183e-09  -4.2708687030823762e-09  1.7171474560318403e-08  2.1705917286661562e-05  -3.6149556069479089e-16  -4.2708689445668579e-09  -1.7171474557998268e-08  -2.6390880623372925e-05  5.5639244852281376e-09
3.9999999999999600e+00  -3.8118370325966562e-04  -8.2855216038991164e-11  -1.3653446699982598e-07  1.1414620358090370e-06  3.1593055469694774e-04  -1.1448094715945236e-16  -1.3653446685196193e-07  -1.1414620358353596e-06  -3.8118370325953839e-04  8.2855024767079720e-11  -2.6541115530189462e-05  -5.5724832383108514e-09  -4.2701830930529435e-09  1.5649844382083557e-08  2.1833417012940729e-05  1.0335647396449070e-16  -4.2701826211168902e-09  -1.5649845719155852e-08  -2.6541115529790086e-05  5.5725468903156118e-09
4.7999999999999403e+00  -3.6006810201779044e-04  3.9080932613798035e-10  -1.3175997633810586e-07  1.0827459959990920e-06  2.9843073631036497e-04  -1.2146153396476198e-16  -1.3175997668811610e-07  -1.0827459958184785e-06  -3.6006810201790509e-04  -3.9080921110509636e-10  -2.6073444938182671e-05  -5.3933162171352629e-09  -4.3145487492593087e-09  1.5858596793913893e-08  2.1415298945934878e-05  5.0546575001995718e-14  -4.3144590786738889e-09  -1.5858583699446780e-08  -2.6073444944364846e-05  5.3937608404999176e-09
5.5999999999999304e+00  -3.2819787620637803e-04  5.3864747260887559e-11  -1.2076438363856358e-07  1.0456019017189410e-06  2.7196035556928551e-04  -1.1532322505895540e-17  -1.2076438373362280e-07  -1.0456019015234776e-06  -3.2819787620648076e-04  -5.3864880449746766e-11  -2.6501295363716242e-05  -5.8019244881707038e-09  -4.0184358907765424e-09  1.7355775992496140e-08  2.1814168852398323e-05  -2.6847893298570126e-13  -4.0188897533045360e-09  -1.7355795139075002e-08  -2.6501295396800380e-05  5.7965251083707300e-09
6.3999999999999098e+00  -2.9920793226065941e-04  -6.6089188758081587e-11  -8.2885152561680027e-08  1.0287046363878080e-06  2.4816696933355577e-04  -6.5700517630038758e-17  -8.2885152277099298e-08  -1.0287046365117043e-06  -2.9920793225992454e-04  6.6089349081698775e-11  -2.6328638464517867e-05  -6.7205582232149613e-09  -4.4067536822101966e-09  1.5972593063276441e-08  2.1651964092618330e-05  6.4261206469363351e-13  -4.4059406445532531e-09  -1.5972760526293095e-08  -2.6328638166689082e-05  6.7416059140976162e-09
7.1999999999998900e+00  -2.9103580802203809e-04  2.5575626021267986e-10  -6.6502175636459109e-08  1.0135778581495988e-06  2.4206486066325985e-04  1.9879293155915803e-16  -6.6502175608802464e-08  -1.0135778578883770e-06  -2.9103580802159780e-04  -2.5575487470327623e-10  -2.6242271942710267e-05  -1.6602351835329046e-09  -4.7384440916421564e-09  1.5953919643630723e-08  2.1585866691984122e-05  -1.8227631733714458e-12  -4.7398654913471423e-09  -1.5953013729250612e-08  -2.6242273046301569e-05  1.5983763251063255e-09
