# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  3.3376295237359273e-04  6.4145428728389453e-18  2.1739281906497877e-05  1.3993157996569678e-18
8.0000000000000004e-01  3.3324007086024850e-04  2.9049064409257685e-17  2.1735634544689699e-05  6.2395256000111993e-17
1.6000000000000001e+00  3.3148143729656442e-04  -2.3896187657906830e-17  2.1732890160361832e-05  -4.2831417081079448e-17
2.3999999999999901e+00  3.2992682050274162e-04  1.0561433259358352e-16  2.1740236625558589e-05  -1.7415617450135585e-16
3.1999999999999802e+00  3.2566706030878062e-04  6.0514731239523540e-17  2.1705917286661562e-05  -3.6149556069479089e-16
3.9999999999999600e+00  3.1593055469694774e-04  -1.1448094715945236e-16  2.1833417012940729e-05  1.0335647396449070e-16
4.7999999999999403e+00  2.9843073631036497e-04  -1.2146153396476198e-16  2.1415298945934878e-05  5.0546575001995718e-14
5.5999999999999304e+00  2.7196035556928551e-04  -1.1532322505895540e-17  2.1814168852398323e-05  -2.6847893298570126e-13
6.3999999999999098e+00  2.4816696933355577e-04  -6.5700517630038758e-17  2.1651964092618330e-05  6.4261206469363351e-13
7.1999999999998900e+00  2.4206486066325985e-04  1.9879293155915803e-16  2.1585866691984122e-05  -1.8227631733714458e-12
7.9999999999998703e+00  2.5444326718580173e-04  3.7223584512381317e-16  2.1495178070975402e-05  7.3371704498871001e-12
8.7999999999998604e+00  2.7746760761935711e-04  -2.2573001822972874e-15  2.1737494726785504e-05  -2.5089040225295696e-11
9.5999999999998398e+00  2.9257966428746434e-04  1.6750010104646011e-14  2.0036450432631378e-05  4.6775582519481588e-11
1.0399999999999800e+01  2.9182045339365203e-04  -8.6994535852725154e-14  1.8170453907105699e-05  -4.6041085586282615e-11
1.1199999999999800e+01  2.8079219373845451e-04  3.5752793326776030e-13  1.4289267501734683e-05  2.7023150302625420e-11
1.1999999999999799e+01  2.6804342955111162e-04  -1.1562125025358839e-12  6.7256533358129005e-06  1.2663144615977353e-11
1.2799999999999800e+01  2.5906563696494482e-04  2.7556066480343417e-12  -8.8402045396067417e-06  -1.0083798943579972e-10
1.3599999999999801e+01  2.5481579913162852e-04  -3.8770140929628342e-12  -3.0196344936305783e-05  8.8471592831717641e-11
1.4399999999999700e+01  2.5098223253769859e-04  -6.3465706516070880e-13  -4.6258460683491453e-05  9.8378446343548344e-11
1.5199999999999701e+01  2.4674646107470196e-04  1.0495135373152928e-11  -4.4661587612759583e-05  -1.5677480996087083e-10
1.5999999999999700e+01  2.4220538092801613e-04  -3.3013732605337577e-12  -2.4040767471579896e-05  -1.4282924414904979e-10
1.6799999999999802e+01  2.3592414109477089e-04  -8.6002946554785094e-12  4.7199694668406663e-06  2.0813899981631851e-10
1.7600000000000001e+01  2.2836814000155045e-04  1.1524311950448001e-11  2.5560793489467528e-05  2.1089638163942376e-11
