# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  7.8292795512348130e+00  3.1999999999992163e+01  3.1999999999999517e+01  3.1999999999999808e+01  6.6189635930478570e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.0000000000000104e-01  7.8366012165418741e+00  3.1999999999999872e+01  3.1999999999999972e+01  3.1999999999999979e+01  6.6182274116324953e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.6000000000000001e+00  7.8472528234512140e+00  3.2000000000006793e+01  3.2000000000000362e+01  3.2000000000000135e+01  6.6165315331032941e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.3999999999999999e+00  7.8542232791368427e+00  3.2000000000026738e+01  3.2000000000001577e+01  3.2000000000000597e+01  6.6147455964678015e+00  0.0000000000000000e+00  nan  nan  nan  nan
3.2000000000000202e+00  7.8548258073441417e+00  3.2000000000052275e+01  3.2000000000003169e+01  3.2000000000001208e+01  6.6127642721003692e+00  0.0000000000000000e+00  nan  nan  nan  nan
4.0000000000000400e+00  7.8533959346689537e+00  3.2000000000092626e+01  3.2000000000005713e+01  3.2000000000002188e+01  6.6095326954596478e+00  0.0000000000000000e+00  nan  nan  nan  nan
4.8000000000000602e+00  7.8551909795648296e+00  3.2000000000169507e+01  3.2000000000010559e+01  3.2000000000004086e+01  6.6045440859234184e+00  0.0000000000000000e+00  nan  nan  nan  nan
5.6000000000000796e+00  7.8602237976559772e+00  3.2000000000327546e+01  3.2000000000020506e+01  3.2000000000007994e+01  6.5984512555582695e+00  0.0000000000000000e+00  nan  nan  nan  nan
6.4000000000000901e+00  7.8639099974857540e+00  3.2000000000652328e+01  3.2000000000040949e+01  3.2000000000016001e+01  6.5919929377181417e+00  0.0000000000000000e+00  nan  nan  nan  nan
7.2000000000001103e+00  7.8634035297399976e+00  3.2000000001307399e+01  3.2000000000082174e+01  3.2000000000032159e+01  6.5847872111523387e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.0000000000001297e+00  7.8617663613318527e+00  3.2000000002624049e+01  3.2000000000164945e+01  3.2000000000064610e+01  6.5757578901898013e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.8000000000000398e+00  7.8641288531295004e+00  3.2000000005259508e+01  3.2000000000330907e+01  3.2000000000129674e+01  6.5647173511808079e+00  0.0000000000000000e+00  nan  nan  nan  nan
9.5999999999999499e+00  7.8708695039508578e+00  3.2000000010628312e+01  3.2000000000662553e+01  3.2000000000259696e+01  6.5527534495405968e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.0399999999999901e+01  7.8774161860914749e+00  3.2000000020962908e+01  3.2000000001330889e+01  3.2000000000521922e+01  6.5408364615316437e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.1199999999999800e+01  7.8810867440351187e+00  3.2000000041915740e+01  3.2000000002602185e+01  3.2000000001018876e+01  6.5290348441936841e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.1999999999999700e+01  7.8852092223928860e+00  3.2000000087447837e+01  3.2000000005655068e+01  3.2000000002218599e+01  6.5176393833156423e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.2799999999999599e+01  7.8952658079973936e+00  3.2000000165071548e+01  3.2000000010333721e+01  3.2000000003995716e+01  6.5085507617843001e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.3599999999999500e+01  7.9130756334349908e+00  3.2000000384379796e+01  3.2000000027599093e+01  3.2000000011097384e+01  6.5065320153891930e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.4399999999999400e+01  7.9348145844922033e+00  3.2000000650898194e+01  3.2000000074099020e+01  3.2000000029446028e+01  6.5161342456468612e+00  0.0000000000000000e+00  nan  nan  nan  nan
