# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  3.2000000000000000e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4690169447958394e-02  nan  nan  nan  nan  nan  nan  0.0000000000000000e+00  nan  nan  0.0000000000000000e+00  nan  0.0000000000000000e+00
8.0000000000000104e-01  3.2000000000000000e+01  3.1999999999999996e+01  3.2000000000000000e+01  2.4701660408893034e-02  nan  nan  nan  nan  nan  nan  6.8264581230568776e-20  nan  nan  -3.5228461179864325e-07  nan  9.8838089976752433e-06
1.6000000000000001e+00  3.2000000000000000e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4664740113098646e-02  nan  nan  nan  nan  nan  nan  1.5259141686833021e-19  nan  nan  1.6677613236336691e-06  nan  1.9859447226763189e-05
2.3999999999999999e+00  3.2000000000000000e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4538621841465276e-02  nan  nan  nan  nan  nan  nan  2.7305832492227510e-19  nan  nan  -1.8976385026776081e-06  nan  5.1572395427042971e-05
3.2000000000000202e+00  3.2000000000000000e+01  3.2000000000000007e+01  3.2000000000000000e+01  2.4479649033997370e-02  nan  nan  nan  nan  nan  nan  3.2124508814385310e-19  nan  nan  4.2839560514585302e-05  nan  8.9807830659276690e-05
4.0000000000000400e+00  3.2000000000000007e+01  3.2000000000000007e+01  3.2000000000000007e+01  2.4490657571750625e-02  nan  nan  nan  nan  nan  nan  5.1399214103016494e-19  nan  nan  1.1869913123349945e-04  nan  1.6491352634092105e-04
4.8000000000000602e+00  3.2000000000000007e+01  3.2000000000000007e+01  3.2000000000000000e+01  2.4581234030288675e-02  nan  nan  nan  nan  nan  nan  6.1036566747332084e-19  nan  nan  -1.2131269185087843e-04  nan  1.2248364648653870e-04
5.6000000000000796e+00  3.2000000000000000e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4664106513215035e-02  nan  nan  nan  nan  nan  nan  6.1036566747332084e-19  nan  nan  1.3595735740188922e-04  nan  1.4096435014435092e-04
6.4000000000000901e+00  3.2000000000000000e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4657072374750184e-02  nan  nan  nan  nan  nan  nan  5.7824115865893557e-19  nan  nan  1.5948860661105626e-04  nan  1.6095987767116845e-04
7.2000000000001103e+00  3.2000000000000000e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4598750698357572e-02  nan  nan  nan  nan  nan  nan  -3.8549410577262368e-19  nan  nan  1.9930379734207842e-04  nan  2.0430724507458967e-04
8.0000000000001297e+00  3.2000000000000000e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4569511802841552e-02  nan  nan  nan  nan  nan  nan  -5.8466606042181258e-18  nan  nan  -2.4669197880569394e-04  nan  2.4947605109140058e-04
8.8000000000000398e+00  3.2000000000000000e+01  3.2000000000000000e+01  3.2000000000000007e+01  2.4603060349888871e-02  nan  nan  nan  nan  nan  nan  -4.3560833952306476e-17  nan  nan  -2.8419141439008192e-04  nan  2.8419219902548105e-04
9.5999999999999499e+00  3.1999999999999993e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4646977040603917e-02  nan  nan  nan  nan  nan  nan  -1.4725874840514226e-16  nan  nan  3.0974489043615887e-04  nan  3.0975076133909449e-04
1.0399999999999901e+01  3.1999999999999993e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4632914472911917e-02  nan  nan  nan  nan  nan  nan  -1.2056970648215094e-15  nan  nan  3.4396980326033370e-04  nan  3.4404070445272547e-04
