# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  9.9382567239032982e-01  9.8912998811813868e-01  9.9468706451802869e-01  9.9656005152915816e-01  9.9388927428437157e-01  9.9700077134971565e-01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  9.9718599520571871e-01  9.9670822461889974e-01  9.9733395478237918e-01  9.9822900399424208e-01  9.9799433755098199e-01  9.9830155439124479e-01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000104e-01  9.9382574360693321e-01  9.8912978291565956e-01  9.9468704082513715e-01  9.9655966158521769e-01  9.9388796363609466e-01  9.9700078878704301e-01  3.4429989856660594e-07  -5.4549331465152725e-05  3.0967178862718348e-05  9.9718599655973272e-01  9.9670823619284954e-01  9.9733395670254821e-01  9.9822900038136686e-01  9.9799432330544335e-01  9.9830155061853643e-01  4.9493211052486098e-09  -5.7632393651049643e-09  3.7477022941977154e-08
1.5999999999999901e+00  9.9382618016744206e-01  9.8912236091365136e-01  9.9468698830733981e-01  9.9655841889243391e-01  9.9389588044488253e-01  9.9700086004932520e-01  1.5914184871463914e-06  -4.7500875941921498e-05  2.4909842842086890e-05  9.9718600051361039e-01  9.9670826223707487e-01  9.9733396137773223e-01  9.9822898915538572e-01  9.9799426915022649e-01  9.9830153870638016e-01  9.8915184843830092e-09  -5.2659207914373127e-09  6.2371715158832504e-08
2.3999999999999702e+00  9.9382758982624375e-01  9.8912236961764910e-01  9.9468693669784780e-01  9.9655461149003122e-01  9.9391399223544585e-01  9.9700094715752841e-01  2.7062660257904077e-06  -4.7859165006749137e-06  2.0934553840207040e-05  9.9718600734492380e-01  9.9670830037770253e-01  9.9733396913154859e-01  9.9822896964375452e-01  9.9799417438341920e-01  9.9830151786362120e-01  1.5551700998916139e-08  -3.9381791502813161e-09  9.6798147503473030e-08
3.1999999999999500e+00  9.9382976038862902e-01  9.8912438291161775e-01  9.9469695879033349e-01  9.9654833226609685e-01  9.9391278362805924e-01  9.9698436580407968e-01  3.3871030473474964e-06  -3.9718419761755362e-06  2.9806749285968353e-05  9.9718601905572057e-01  9.9670837806502277e-01  9.9733398008350194e-01  9.9822893828841130e-01  9.9799395980721939e-01  9.9830148760942472e-01  2.8939489974824450e-08  -6.0508559765602987e-07  6.1775077918218133e-07
3.9999999999999400e+00  9.9382978181390402e-01  9.8911363294459886e-01  9.9469553430434632e-01  9.9654531169388738e-01  9.9393494559803097e-01  9.9697812757580861e-01  4.0965712828308782e-07  -2.9229562412660332e-05  1.5577524898236502e-05  9.9718604369680186e-01  9.9671132519065142e-01  9.9733399465683137e-01  9.9822888481826222e-01  9.9798905692676554e-01  9.9830144708285140e-01  1.9788746710612161e-07  -2.1595078817243630e-06  1.0882929947711132e-05
4.7999999999999199e+00  9.9382806757995423e-01  9.8910206466575490e-01  9.9469209108528545e-01  9.9654715094015767e-01  9.9398591425390737e-01  9.9698010222700062e-01  -2.6356784031890592e-06  -3.2121100981316096e-05  9.3984317370849514e-06  9.9718653803644797e-01  9.9671293098400315e-01  9.9733401280807210e-01  9.9822790331928979e-01  9.9798275204744691e-01  9.9830139621832037e-01  7.4377116410060473e-07  -2.1066352684033854e-06  1.3804276865298883e-05
5.5999999999999002e+00  9.9382598664160637e-01  9.8911981474601696e-01  9.9469145442576867e-01  9.9655249237665988e-01  9.9401010417763236e-01  9.9698127720833885e-01  -4.9388857860450022e-06  -1.6628408650387520e-05  2.9115060785099459e-05  9.9718701573634660e-01  9.9671231582645692e-01  9.9733403555175726e-01  9.9822665516092191e-01  9.9798222672002768e-01  9.9830134554930161e-01  8.2134395959489642e-07  -2.7663281742079140e-06  1.2813396325193181e-05
6.3999999999998902e+00  9.9382483049421166e-01  9.8916174687465519e-01  9.9469040016290533e-01  9.9655873483109325e-01  9.9397238469745386e-01  9.9698328413844439e-01  -2.8792404376895013e-06  -1.1585612588834549e-05  4.1379013665206511e-05  9.9718754089092121e-01  9.9671196624478153e-01  9.9733407106530614e-01  9.9822517970383062e-01  9.9798210021746370e-01  9.9830130855985100e-01  9.9095091228835367e-07  -2.5863073463356303e-06  1.0532304806232212e-05
7.1999999999998696e+00  9.9382522444943433e-01  9.8918049918618911e-01  9.9468826456618498e-01  9.9656267380001862e-01  9.9396058302073531e-01  9.9698771225890936e-01  -2.0761558886036454e-06  -9.3011126852465992e-06  2.9655605169370914e-05  9.9718817350570244e-01  9.9671243673427767e-01  9.9733425254910424e-01  9.9822340034945900e-01  9.9798089241419541e-01  9.9830124310372348e-01  1.2205314689486822e-06  -1.6983728773559174e-06  9.1224666678901086e-06
