# Two-well tracking of the PP pair, derived from the chi_minus_1 z-slice cache
# (frames/_slice_cache, y-averaged |chi-1| profile; the two strongest local
# maxima are the stars' gravitational wells; gap = 0 once they have merged).
# This is the source of the merger table quoted in the READMEs: the wells
# close 8.75 -> merged by t ~ 35.  Derivation: thin_frames-era session,
# 2026-08-23; regenerate from the run tree's slice cache if needed.
# time  x_well_1  x_well_2  gap  peak_abs_chi_minus_1
    0.0000    27.625    36.375    8.750  1.5448e-02
    0.8000    27.625    36.375    8.750  1.5443e-02
    1.6000    27.625    36.375    8.750  1.5434e-02
    2.4000    27.625    36.375    8.750  1.5437e-02
    3.2000    27.625    36.375    8.750  1.5424e-02
    4.0000    27.625    36.375    8.750  1.5441e-02
    4.8000    27.625    36.375    8.750  1.5367e-02
    5.6000    27.625    36.375    8.750  1.5380e-02
    6.4000    27.625    36.375    8.750  1.5406e-02
    7.2000    27.625    36.375    8.750  1.5418e-02
    8.0000    27.625    36.375    8.750  1.5418e-02
    8.8000    27.875    36.125    8.250  1.5412e-02
    9.6000    27.875    36.125    8.250  1.5415e-02
   10.4000    27.875    36.125    8.250  1.5427e-02
   11.2000    27.875    36.125    8.250  1.5431e-02
   12.0000    27.875    36.125    8.250  1.5428e-02
   12.8000    27.875    36.125    8.250  1.5421e-02
   13.6000    27.875    36.125    8.250  1.5424e-02
   14.4000    27.875    36.125    8.250  1.5440e-02
   15.2000    27.875    36.125    8.250  1.5456e-02
   16.0000    27.875    36.125    8.250  1.5459e-02
   16.8000    27.875    36.125    8.250  1.5461e-02
   17.6000    27.875    36.125    8.250  1.5471e-02
   18.4000    28.125    35.875    7.750  1.5491e-02
   19.2000    28.125    36.125    8.000  1.5517e-02
   20.0000    28.125    35.875    7.750  1.5526e-02
   20.8000    28.125    35.875    7.750  1.5530e-02
   21.6000    28.125    35.875    7.750  1.5541e-02
   22.4000    28.125    35.875    7.750  1.5583e-02
   23.2000    28.375    35.625    7.250  1.5602e-02
   24.0000    28.375    35.625    7.250  1.5623e-02
   24.8000    28.375    35.625    7.250  1.5651e-02
   25.6000    28.375    35.625    7.250  1.5687e-02
   26.4000    28.625    35.375    6.750  1.5733e-02
   27.2000    28.625    35.375    6.750  1.5780e-02
   28.0000    28.625    35.375    6.750  1.5830e-02
   28.8000    28.875    35.125    6.250  1.5884e-02
   29.6000    28.875    35.125    6.250  1.5938e-02
   30.4000    29.125    34.875    5.750  1.6017e-02
   31.2000    29.375    34.625    5.250  1.6103e-02
   32.0000    29.375    34.625    5.250  1.6204e-02
   32.8000    29.875    34.125    4.250  1.6293e-02
   33.6000    32.125    32.125    0.000  1.6402e-02
   34.4000    32.125    32.125    0.000  1.6832e-02
   35.2000    32.125    32.125    0.000  1.7264e-02
   36.0000    32.125    32.125    0.000  1.7745e-02
   36.8000    32.125    32.125    0.000  1.8358e-02
   37.6000    31.875    31.875    0.000  1.9126e-02
   38.4000    31.875    31.875    0.000  1.9954e-02
   39.2000    31.875    31.875    0.000  2.0558e-02
   40.0000    32.125    32.125    0.000  2.0857e-02
   40.8000    32.125    32.125    0.000  2.0582e-02
   41.6000    31.875    31.875    0.000  1.9866e-02
   42.4000    31.875    31.875    0.000  1.9142e-02
   43.2000    31.875    31.875    0.000  1.8557e-02
   44.0000    31.875    31.875    0.000  1.8153e-02
   44.8000    31.875    31.875    0.000  1.7930e-02
   45.6000    31.875    31.875    0.000  1.7809e-02
   46.4000    31.875    31.875    0.000  1.7643e-02
   47.2000    31.875    31.875    0.000  1.7513e-02
   48.0000    31.875    31.875    0.000  1.8136e-02
   48.8000    31.875    31.875    0.000  1.9443e-02
   49.6000    31.875    31.875    0.000  2.0081e-02
   50.4000    31.875    31.875    0.000  1.9949e-02
   51.2000    31.875    31.875    0.000  1.9425e-02
   52.0000    31.875    31.875    0.000  1.8876e-02
   52.8000    31.875    31.875    0.000  1.8590e-02
   53.6000    31.875    31.875    0.000  1.8592e-02
   54.4000    31.875    31.875    0.000  1.8684e-02
   55.2000    31.875    31.875    0.000  1.8537e-02
   56.0000    31.875    31.875    0.000  1.8003e-02
   56.8000    31.875    31.875    0.000  1.7930e-02
   57.6000    31.875    31.875    0.000  1.8598e-02
   58.4000    32.125    32.125    0.000  1.9950e-02
