# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  5.6715995328626178e+01  5.6534964826948378e-02  6.7447471948000315e+00  2.8568387178473365e-01  3.2000261100170988e+01  3.2000228158490458e+01  3.2000228470253610e+01  4.7999999999999998e+00  5.3472462640386944e+01  6.7728657541983823e+00  2.8267603617435944e-01  nan  nan  nan  nan  nan  1.0000000006264256e+00
2.0000000000000001e-01  5.9329214993100038e+01  1.2217954038831223e-01  6.6161217138284227e+00  3.1529862004634673e-01  3.2000250525635160e+01  3.2000208027492555e+01  3.2000208317720912e+01  4.7999999999999998e+00  5.5869944993419438e+01  6.6471472352571110e+00  3.1159856225621979e-01  nan  nan  nan  nan  nan  1.0002598750194625e+00
4.0000000000000002e-01  5.9713618160918713e+01  1.1783969427510749e-01  6.6180493001846061e+00  3.1463198726700053e-01  3.2000255434972445e+01  3.2000214822692094e+01  3.2000215089010801e+01  4.7999999999999998e+00  5.6216609593772802e+01  6.6497521941547699e+00  3.1079093349122267e-01  nan  nan  nan  nan  nan  1.0011042220838231e+00
5.9999999999999998e-01  5.9924077943798110e+01  1.1249176405393053e-01  6.6357395630719989e+00  3.0970768628817796e-01  3.2000264919307213e+01  3.2000215757987696e+01  3.2000215993270785e+01  4.7999999999999998e+00  5.6423603593585014e+01  6.6668641523870340e+00  3.0600711519348783e-01  nan  nan  nan  nan  nan  1.0010858860309255e+00
8.0000000000000104e-01  6.0004855255132966e+01  8.4633892397557559e-02  6.6649164665669707e+00  3.0225794063275541e-01  3.2000281841456541e+01  3.2000221678427003e+01  3.2000221883055879e+01  4.7999999999999998e+00  5.6527234567208069e+01  6.6943980394920706e+00  2.9893911502761761e-01  nan  nan  nan  nan  nan  1.0009588146214252e+00
1.0000000000000000e+00  6.0462717701368611e+01  1.1358718271321036e-01  6.6728952532212684e+00  2.9933991529557480e-01  3.2000303142000483e+01  3.2000212222164336e+01  3.2000212400568358e+01  4.7999999999999998e+00  5.6978517298678483e+01  6.7010463383367647e+00  2.9635193821345257e-01  nan  nan  nan  nan  nan  1.0008670417550329e+00
1.2000000000000000e+00  6.1353441872371107e+01  9.4106120124356873e-02  6.6558395309280600e+00  3.0239019793143224e-01  3.2000328051397751e+01  3.2000207374714613e+01  3.2000207533895328e+01  4.7999999999999998e+00  5.7828092945583180e+01  6.6830226941219282e+00  2.9965654012912107e-01  nan  nan  nan  nan  nan  1.0008029158473288e+00
1.3999999999999899e+00  6.1987246649594177e+01  8.1438787712228428e-02  6.6475979934975662e+00  3.0379363036380064e-01  3.2000357707492519e+01  3.2000210073934063e+01  3.2000210224275818e+01  4.7999999999999998e+00  5.8441888527982698e+01  6.6734761513673453e+00  3.0141700756698248e-01  nan  nan  nan  nan  nan  1.0007646596945099e+00
1.5999999999999901e+00  6.2361638258710684e+01  7.2927224670707169e-02  6.6460266286721987e+00  3.0349166102196579e-01  3.2000388754325932e+01  3.2000213622734051e+01  3.2000213774419770e+01  4.7999999999999998e+00  5.8815998658511404e+01  6.6703996987985317e+00  3.0152183967778001e-01  nan  nan  nan  nan  nan  1.0007559396343992e+00
1.7999999999999801e+00  6.2519348084473748e+01  6.7191661843350667e-02  6.6487269247240857e+00  3.0147273199119401e-01  3.2000417489306322e+01  3.2000214860020655e+01  3.2000215026994852e+01  4.7999999999999998e+00  5.8988616280598578e+01  6.6715361773662307e+00  2.9994280197862055e-01  nan  nan  nan  nan  nan  1.0007794380827377e+00
