# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0243219071560805e+00  0.0000000000000000e+00  0.0000000000000000e+00  nan  1  5  5  6.6982871394935176e-05  0.0000000000000000e+00  0
2.6666666666666600e-01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0242776055329852e+00  0.0000000000000000e+00  8.9414013565432216e-06  nan  1  5  5  6.6578356704619494e-05  0.0000000000000000e+00  0
5.3333333333333299e-01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0241427078310248e+00  0.0000000000000000e+00  2.7218172179984906e-05  nan  1  5  5  6.5374976753295461e-05  0.0000000000000000e+00  0
8.0000000000000104e-01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0239188723360748e+00  0.0000000000000000e+00  5.7552422472982108e-05  nan  1  5  5  6.4094719551883450e-05  0.0000000000000000e+00  0
1.0666666666666700e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0236079668882110e+00  0.0000000000000000e+00  8.4848258861638381e-05  nan  1  5  5  6.2145753897089459e-05  0.0000000000000000e+00  0
1.3333333333333299e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0232131435555325e+00  0.0000000000000000e+00  1.3251987633760160e-04  nan  1  5  5  5.8210875742127016e-05  0.0000000000000000e+00  0
1.6000000000000001e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0227317877924436e+00  0.0000000000000000e+00  2.1770921091888792e-04  nan  1  5  5  5.2516427232503861e-05  0.0000000000000000e+00  0
1.8666666666666600e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0221697862471542e+00  0.0000000000000000e+00  3.2167142399357413e-04  nan  1  5  5  5.3711201343159567e-05  0.0000000000000000e+00  0
2.1333333333333302e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0215758304977516e+00  0.0000000000000000e+00  4.3229220888476514e-04  nan  1  5  5  5.6390835690230186e-05  0.0000000000000000e+00  0
2.3999999999999999e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0209003869656352e+00  0.0000000000000000e+00  5.3726908533109380e-04  nan  1  5  5  5.7360422446234494e-05  0.0000000000000000e+00  0
2.6666666666666701e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0201041994736659e+00  0.0000000000000000e+00  6.3381999639356096e-04  nan  1  5  5  5.5347543436590619e-05  0.0000000000000000e+00  0
2.9333333333333500e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0192580350922327e+00  0.0000000000000000e+00  7.2184764977218318e-04  nan  1  5  5  5.0994983047364086e-05  0.0000000000000000e+00  0
3.2000000000000202e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0182868523643631e+00  0.0000000000000000e+00  7.9600329890317911e-04  nan  1  5  5  5.2433718417838617e-05  0.0000000000000000e+00  0
3.4666666666666899e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0171063602189523e+00  0.0000000000000000e+00  8.3355582695307723e-04  nan  1  5  5  5.0346342455235639e-05  0.0000000000000000e+00  0
3.7333333333333698e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0160172851871296e+00  0.0000000000000000e+00  8.2233641569276646e-04  nan  1  5  5  4.4559249028355532e-05  0.0000000000000000e+00  0
4.0000000000000400e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0153090625969654e+00  0.0000000000000000e+00  9.0117509716121759e-04  nan  1  5  5  4.0256852247013367e-05  0.0000000000000000e+00  0
4.2666666666667101e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0146190860368602e+00  0.0000000000000000e+00  1.0510053266847539e-03  nan  1  5  5  3.6304117988305537e-05  0.0000000000000000e+00  0
4.5333333333333803e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0141454787103494e+00  0.0000000000000000e+00  1.2124200697241486e-03  nan  1  5  5  3.4918585650652885e-05  0.0000000000000000e+00  0
4.8000000000000602e+00  1.1080188786454747e-04  0.0000000000000000e+00  1  1.0139491193426078e+00  0.0000000000000000e+00  1.3850357327003314e-03  nan  1  5  5  3.6008433493272533e-05  0.0000000000000000e+00  0
5.0666666666667304e+00  2.5724077649154738e-04  0.0000000000000000e+00  1  1.0139622219398288e+00  0.0000000000000000e+00  1.5740210742942089e-03  nan  1  5  5  3.5847192521766139e-05  0.0000000000000000e+00  0
5.3333333333333997e+00  4.1872918599128217e-04  0.0000000000000000e+00  1  1.0141825628824213e+00  0.0000000000000000e+00  1.7814736889406083e-03  nan  1  5  5  3.5068211589915514e-05  0.0000000000000000e+00  0
5.6000000000000796e+00  5.9342775125076472e-04  0.0000000000000000e+00  1  1.0145916738257519e+00  0.0000000000000000e+00  2.0044072501494035e-03  nan  1  5  5  3.4511558348543523e-05  0.0000000000000000e+00  0
5.8666666666667497e+00  7.8282750253401694e-04  0.0000000000000000e+00  1  1.0152560123920054e+00  0.0000000000000000e+00  2.2532484879429090e-03  nan  1  5  5  3.4162123866633831e-05  0.0000000000000000e+00  0
6.1333333333334199e+00  9.9248674544076630e-04  4.7906723248021990e-05  1  1.0160747315875112e+00  0.0000000000000000e+00  2.5240701852062364e-03  nan  1  5  5  3.5489703507814170e-05  0.0000000000000000e+00  0
6.4000000000000901e+00  1.2297635320017190e-03  1.4062848398073885e-04  1  1.0168527700494536e+00  0.0000000000000000e+00  2.8086326999611872e-03  nan  1  5  5  3.7092320620710059e-05  0.0000000000000000e+00  0
6.6666666666667700e+00  1.4988216102409147e-03  2.5698564753355113e-04  1  1.0176156879681004e+00  0.0000000000000000e+00  3.1073452122882292e-03  nan  1  5  5  3.9208490009717306e-05  0.0000000000000000e+00  0
6.9333333333334402e+00  1.7957269318374298e-03  3.9192145031736238e-04  1  1.0184426578063193e+00  0.0000000000000000e+00  3.4242553936449523e-03  nan  1  5  5  4.1851334783759224e-05  0.0000000000000000e+00  0
7.2000000000001103e+00  2.1089340985164027e-03  5.3730356013192971e-04  1  1.0193464257168723e+00  0.0000000000000000e+00  3.7620901700405169e-03  nan  1  5  5  4.4641354680914536e-05  0.0000000000000000e+00  0
7.4666666666667796e+00  2.4268605843568796e-03  6.8887118422381955e-04  1  1.0202874317162853e+00  0.0000000000000000e+00  4.1442398000053806e-03  nan  1  5  5  5.2552582455379610e-05  0.0000000000000000e+00  0
7.7333333333334604e+00  2.7449497783170150e-03  8.4550128407578906e-04  1  1.0212767675330632e+00  0.0000000000000000e+00  4.5855263118635423e-03  nan  1  5  5  5.5035245576326822e-05  0.0000000000000000e+00  0
8.0000000000001297e+00  3.0644129440159161e-03  1.0064494797412669e-03  1  1.0222856001787950e+00  0.0000000000000000e+00  5.0204388743160591e-03  nan  1  5  5  5.6902866153839182e-05  0.0000000000000000e+00  0
8.2666666666667705e+00  3.3859300229017496e-03  1.1833203604535065e-03  1  1.0233033729907395e+00  0.0000000000000000e+00  5.4295912394548241e-03  nan  1  5  5  5.8392164575417387e-05  0.0000000000000000e+00  0
8.5333333333334007e+00  3.7068232723573707e-03  1.3637437139742596e-03  1  1.0243243344531823e+00  0.0000000000000000e+00  5.8190637575126032e-03  nan  1  5  5  5.8938490078175955e-05  0.0000000000000000e+00  0
