# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.1557268289950124e-07  1.7995177251140806e-08  2.7894130037512554e-01  2.1157652015005022e+00  7.2237072815123615e-01
2.6666666666666600e-01  1.9665086309387002e-08  1.0348596018531763e-08  2.7590379270898563e-01  2.1036151708359423e+00  6.7788165487044771e-01
5.3333333333333299e-01  1.9338339927902587e-08  1.0420667600757038e-08  2.7022281100882833e-01  2.0808912440353131e+00  8.5476428090670098e-01
8.0000000000000104e-01  1.8485357092537083e-08  9.9909775265365325e-09  3.9327899332048510e-01  2.5731159732819404e+00  9.1753745730072833e-01
1.0666666666666700e+00  1.8300348283526409e-08  1.0074140259724528e-08  5.9366549822601677e-01  3.3746619929040671e+00  9.6120307265758254e-01
1.3333333333333299e+00  1.7526052441279162e-08  9.6045847021800781e-09  5.8767339250527817e-01  3.3506935700211127e+00  9.5826601819384838e-01
1.6000000000000001e+00  1.6636426658426547e-08  9.0135510369718728e-09  6.4354033869021077e-01  3.5741613547608431e+00  9.6309540291054396e-01
1.8666666666666600e+00  1.5998298325161431e-08  8.6947800310142293e-09  6.2821059603539720e-01  3.5128423841415888e+00  9.6096506811166449e-01
2.1333333333333302e+00  1.5725892386282685e-08  8.5821293545379999e-09  6.4762719772007027e-01  3.5905087908802811e+00  9.6179017815275603e-01
2.3999999999999999e+00  1.5371151256166163e-08  8.3552743047357620e-09  6.6298219701223693e-01  3.6519287880489477e+00  9.6271136722628736e-01
2.6666666666666701e+00  1.4711999767113917e-08  7.9547836750095813e-09  5.1904852210668007e-01  3.0761940884267203e+00  9.5518630827425055e-01
2.9333333333333500e+00  1.3935446702281677e-08  7.4810298427780429e-09  6.8915221738894716e-01  3.7566088695557887e+00  9.5008215617427672e-01
3.2000000000000202e+00  1.3226921828086514e-08  7.0465374863095802e-09  5.9625052856117078e-01  3.3850021142446831e+00  9.5420634282903150e-01
3.4666666666666899e+00  1.2779446865069589e-08  6.7719319770420711e-09  3.6710624804523839e-01  2.4684249921809536e+00  9.7002116517630488e-01
3.7333333333333698e+00  1.2363672913797578e-08  6.5059584355903066e-09  4.7121855995543860e-01  2.8848742398217544e+00  9.5612959364381822e-01
4.0000000000000400e+00  1.1841246790346691e-08  6.1728609119838044e-09  6.9846498433580806e-01  3.7938599373432322e+00  9.3015575983088072e-01
4.2666666666667101e+00  1.1387297653735742e-08  5.8811485115998391e-09  5.2313584496669041e-01  3.0925433798667616e+00  9.6660731444718428e-01
4.5333333333333803e+00  1.1009553610759746e-08  5.6412529468043327e-09  3.3600021921076195e-01  2.3440008768430478e+00  9.6454359833827763e-01
4.8000000000000602e+00  1.0654013270148615e-08  5.4195140177790128e-09  7.0772593849744070e-01  3.8309037539897628e+00  9.3697603159087173e-01
5.0666666666667304e+00  1.0392441380138381e-08  5.2549968713769456e-09  5.7330622448894741e-01  3.2932248979557897e+00  9.3361393166919837e-01
5.3333333333333997e+00  1.0271683543901323e-08  5.1775855673384265e-09  5.7071775804940761e-01  3.2828710321976304e+00  9.4789198496109484e-01
5.6000000000000796e+00  1.0272788270430726e-08  5.1685718206755877e-09  4.8189137602253768e-01  2.9275655040901505e+00  9.4629554061216947e-01
5.8666666666667497e+00  1.0349944737998822e-08  5.1991416001997207e-09  5.0708696707101941e-01  3.0283478682840776e+00  9.6085833978889612e-01
6.1333333333334199e+00  1.0481014894575438e-08  5.2584508125829561e-09  5.8477922379449465e-01  3.3391168951779786e+00  9.4892197164766912e-01
6.4000000000000901e+00  1.0663411206459820e-08  5.3454257988071263e-09  3.8016254407508510e-01  2.5206501763003404e+00  9.7357024906919187e-01
6.6666666666667700e+00  1.0925902846894427e-08  5.4630759023256299e-09  4.5199569478647506e-01  2.8079827791459002e+00  9.5609471767322818e-01
6.9333333333334402e+00  1.1297807044718277e-08  5.6234414477456708e-09  5.1320762554423216e-01  3.0528305021769286e+00  9.3905962578178459e-01
7.2000000000001103e+00  1.1779062010399598e-08  5.8396798734717968e-09  6.5349925984572099e-01  3.6139970393828840e+00  9.5354230899505055e-01
7.4666666666667796e+00  1.2330462540041681e-08  6.0711116822456289e-09  6.3395204830301999e-01  3.5358081932120800e+00  9.4719168976464863e-01
7.7333333333334604e+00  1.2884605516405848e-08  6.2736337554916293e-09  5.5114879603443900e-01  3.2045951841377560e+00  9.1760857143027597e-01
8.0000000000001297e+00  1.3490073477595384e-08  6.5227973766156610e-09  5.6123548508822552e-01  3.2449419403529021e+00  8.9900566573860685e-01
8.2666666666667705e+00  1.4375681854252214e-08  6.9202546422161016e-09  5.9963864868598127e-01  3.3985545947439251e+00  8.9919814540974963e-01
8.5333333333334007e+00  1.5546325661494371e-08  7.3968391599271087e-09  5.9340607115067323e-01  3.3736242846026929e+00  8.8939982622718317e-01
8.8000000000000398e+00  1.6707543500620132e-08  7.8446616383664084e-09  5.8012568099152251e-01  3.3205027239660900e+00  8.6612339621187284e-01
9.0666666666666806e+00  1.7980728036121409e-08  8.4040002332829358e-09  5.8831904878200381e-01  3.3532761951280152e+00  8.4363324265971051e-01
9.3333333333333197e+00  1.9850662104218191e-08  9.2768572376525568e-09  5.9594643053904672e-01  3.3837857221561869e+00  8.2203589066714156e-01
9.5999999999999499e+00  2.2196996505738745e-08  1.0349668520742975e-08  5.9461599537860210e-01  3.3784639815144084e+00  7.9155846478187397e-01
9.8666666666665908e+00  2.4549521182967932e-08  1.1405980075982280e-08  5.9085100008379565e-01  3.3634040003351826e+00  7.5798776319113526e-01
1.0133333333333200e+01  2.7139494708179449e-08  1.2585768441874993e-08  5.8955175865413756e-01  3.3582070346165502e+00  7.3573259635994681e-01
1.0399999999999901e+01  3.0541813198422424e-08  1.4194500256784164e-08  5.9196383333706470e-01  3.3678553333482588e+00  7.2206646515227779e-01
1.0666666666666501e+01  3.4777987519570772e-08  1.6265505617914243e-08  5.9665037019393830e-01  3.3866014807757532e+00  7.0083513695086230e-01
1.0933333333333101e+01  3.9555679386489739e-08  1.8632427892392460e-08  5.9996957003925278e-01  3.3998782801570111e+00  6.6756057807406288e-01
1.1199999999999800e+01  4.4855861549165910e-08  2.1242409341257015e-08  6.0124420525623723e-01  3.4049768210249489e+00  6.3096632475158310e-01
1.1466666666666400e+01  5.0947614742831785e-08  2.4257783771431447e-08  6.0202818544181691e-01  3.4081127417672676e+00  5.9719646352306721e-01
1.1733333333333100e+01  5.8038666010727626e-08  2.7869701812495984e-08  6.0371881620151413e-01  3.4148752648060565e+00  5.6679872898547390e-01
1.1999999999999700e+01  6.6125425373737695e-08  3.2096528626725833e-08  6.0674016644552931e-01  3.4269606657821172e+00  5.3933948404121124e-01
