# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  3.1640982213767482e-05  1.0435425101009045e-04  9.1343520605232070e-05  1.1399340208710377e-05  -1.7415905458702552e-05  1.7812106201941389e-07  -1.0337037658256379e-04  5.5772495436034445e-06  3.0764122450906442e-05  -9.0880163403373593e-05  8.6179136192710338e-05  6.6783177886958670e-06  -3.1773946221774925e-04  -2.9769992720395886e-04  -2.5046267835446312e-06  -3.4443836688390268e-08  -3.1212525141911351e-04  2.9774062907638609e-04  8.5894067854021827e-05  -6.6725839548566589e-06
2.6666666666666600e-01  4.8646826982483959e-05  8.8648032741042552e-05  8.4714801540967594e-05  -9.2131301458763499e-06  -4.2419971682439698e-05  -6.5948561202245612e-07  -9.5917983881840159e-05  4.4475932675862652e-06  5.4034418526360464e-05  -8.6861833039204696e-05  1.9213547227774685e-06  -3.0789249028492020e-07  -1.3070325456953907e-05  -2.5509381866370541e-06  -1.9696949182507374e-06  -3.8189537871442545e-09  -1.2791779601336432e-05  2.5925945788959919e-06  1.9049636468133931e-06  3.0469669885477367e-07
5.3333333333333299e-01  5.1038324728388630e-05  8.7702016578559660e-05  8.6560453982529966e-05  -2.1926518701756148e-06  -4.1617011011297727e-05  -1.1808971469839882e-07  -9.2448060857410752e-05  2.0023339022195652e-07  5.0051670733826518e-05  -8.9663627798804992e-05  -8.1730076752610825e-08  1.2775444625647061e-07  3.5586059826254144e-06  4.2332866496445022e-06  -5.1439113256586716e-07  -2.5992026379621083e-09  3.2653922352872619e-06  -4.1999231139779068e-06  -6.8797636371346624e-08  -1.3141947686964394e-07
8.0000000000000104e-01  4.5096161389417777e-05  8.9614665877491370e-05  8.5889759287636417e-05  -5.3981547756183715e-06  -3.5500657460661375e-05  1.4570863797905657e-06  -9.1129520287502861e-05  -1.6357658545046898e-06  4.6730080336727079e-05  -8.7918146883902821e-05  1.4216729871391758e-06  2.7058704818297714e-07  -1.8476510251921399e-06  -1.3559992965612601e-06  -8.1751576185618864e-07  -1.9824268603061811e-09  -2.2365688546345071e-06  1.4000726114441225e-06  1.4259157762558256e-06  -2.7271536035778478e-07
1.0666666666666700e+00  4.8609344465709403e-05  8.6386336725801995e-05  8.4280889764009568e-05  -3.6821174886045772e-06  -4.0491608038132839e-05  -8.1022481825425453e-07  -8.7715788347798117e-05  -5.5969372442901818e-08  5.3017341593767254e-05  -8.6658492155234856e-05  1.0870307428889641e-06  6.0296382475016006e-08  -9.6418762682909006e-08  3.9280430365678947e-07  -9.7807292265495196e-07  6.7546917693465337e-09  -2.7638259527358072e-07  -3.2184432393024550e-07  1.0445959674836113e-06  -6.1258838594090394e-08
1.3333333333333299e+00  4.6378214595984309e-05  8.5174570368341107e-05  8.3913943219874297e-05  -9.8243369443580559e-07  -3.6752725986451866e-05  -2.4974900878991611e-08  -8.6302752170673892e-05  9.4136407369998719e-08  4.8255338633622477e-05  -8.6443327715427494e-05  1.0993955774067793e-06  1.4914747536530999e-07  -4.7368029008978262e-07  -1.7354464371512161e-08  -9.2989132400589266e-07  2.1655995761431573e-09  -6.2629972578863172e-07  3.7713971144588878e-08  1.1155733831519055e-06  -1.4541346874644155e-07
1.6000000000000001e+00  4.2044577406249921e-05  8.4801372926616796e-05  8.1717287038418076e-05  -2.8066757073456358e-06  -3.2575121897022172e-05  -1.1522184840539481e-07  -8.6588692137068530e-05  -8.1036285278077192e-07  4.3713423216125596e-05  -8.4587401938619278e-05  9.9474072707709272e-07  1.5872366023010147e-07  8.5326288161654880e-08  -2.0254235642453853e-09  -7.9495082290008508e-07  4.2273996477406848e-09  -3.3026161034352132e-07  1.8834323269217993e-08  1.0734514463370266e-06  -1.5426637598628320e-07
1.8666666666666600e+00  4.1749139123780377e-05  8.3040784658562630e-05  7.9783442311834177e-05  -3.3884576607171951e-06  -3.2583654498641532e-05  1.2387846400868919e-07  -8.4655336543691036e-05  -1.0058068461878226e-06  4.3402526372069984e-05  -8.2853838992081946e-05  1.0608261072976590e-06  2.4867524477193822e-07  8.0641308838709200e-08  1.0789413759162178e-07  -8.6811371080934863e-07  -4.4076713734124947e-08  -3.6869177759981504e-07  9.7359108134849101e-09  9.9534789080730615e-07  -2.8581061357297040e-07
2.1333333333333302e+00  4.1551204848723375e-05  8.2702112303882741e-05  7.9850467687991107e-05  -2.2063151940385250e-06  -3.1538591142366898e-05  6.9016798771937333e-07  -8.3126301020947254e-05  -8.2039893713469843e-07  4.2452123884613437e-05  -8.2423894179800821e-05  1.0931232685087886e-06  2.2787264769488599e-07  -1.3297366884848563e-07  9.3997279437257953e-08  -7.3870955267831282e-07  -2.1974347753499404e-08  -4.1733673172594340e-07  1.2071337818056494e-08  9.6286919038228351e-07  -2.4817250515155480e-07
2.3999999999999999e+00  3.9507407841775827e-05  8.2021037510437037e-05  7.9107476569560914e-05  -1.6449845799346936e-06  -2.9705081748399995e-05  -7.5091481961519447e-08  -8.2990350133585418e-05  -8.0982105391771170e-07  4.0718984411561204e-05  -8.2231726051100703e-05  9.7105895245848398e-07  1.2450121643995852e-07  -1.3819426819840706e-07  -4.0578696447728121e-08  -5.8889142322335761e-07  9.3043723941659521e-08  -4.7573161128972503e-07  -3.1913154576897920e-08  1.0986520077131065e-06  -6.9193050641885484e-08
2.6666666666666701e+00  3.6918820366140370e-05  8.0457450983894291e-05  7.6666980554682861e-05  -2.3365978037212854e-06  -2.8276311099531131e-05  -4.9106756945554579e-07  -8.2638712478994236e-05  -5.0677606023187584e-07  3.9236433717172028e-05  -8.0819224300897341e-05  8.9269951102995465e-07  2.1623789715141207e-07  2.8082542728296908e-07  -3.7257764817004325e-08  -1.3398693653619510e-06  1.1521921246616061e-07  -1.7238687627754609e-07  -1.5347619992168071e-07  1.0344997609870147e-06  -8.9585292533346807e-08
2.9333333333333500e+00  3.3835113220199923e-05  7.9027897797276573e-05  7.4861288639630819e-05  -3.0742118343296844e-06  -2.5606153751405625e-05  -2.5009311519841509e-07  -8.1478107629672788e-05  -1.6518897581185554e-07  3.6142292824520891e-05  -7.9131090191145620e-05  1.4951423197737965e-06  2.4339353175985929e-07  -7.7859659973241721e-08  5.8775386123421428e-08  -8.0204200794052307e-07  -1.4586313836283822e-07  -2.0544751810380174e-07  8.4641648485977164e-08  1.1880380067028513e-06  -3.6780150877523379e-07
3.2000000000000202e+00  3.0106424247587540e-05  7.7951618019495524e-05  7.4127639532199527e-05  -3.0550841438036788e-06  -2.1856984551486971e-05  1.8148365073067636e-07  -7.9859436729406947e-05  4.9689894209083627e-08  3.2280457603684840e-05  -7.7883244527338834e-05  8.8165520299376063e-07  3.2364309156330951e-07  -3.4094047693960376e-07  -3.4344168933427165e-09  1.0578079549733069e-07  -2.6049621506375058e-07  -8.1971451948608575e-07  6.0675863160581588e-07  1.0661098472042826e-06  -6.1405832260088367e-07
3.4666666666666899e+00  2.6687801860792064e-05  7.7567733175291283e-05  7.3455872503105078e-05  -2.4840415857437456e-06  -1.8355755174844377e-05  2.8927654283971369e-07  -7.9214039773890105e-05  -1.8772880970287378e-07  2.8606548248984372e-05  -7.7435360734554092e-05  -2.6583377809398528e-07  4.2219505570578763e-07  6.2503490779231509e-07  1.9674792782416291e-07  -6.3680742393792309e-07  1.6695918176660087e-07  -5.1872456833284835e-07  -2.1327746246154618e-07  1.3132169962225246e-07  -1.8999870167712230e-07
3.7333333333333698e+00  2.3414712478853445e-05  7.6944462424246180e-05  7.2372896719375652e-05  -2.2122885868957453e-06  -1.5082479627631432e-05  5.5985749064382391e-09  -7.9013934001859914e-05  -4.4788032116221968e-07  2.5000157715508084e-05  -7.6921492228941544e-05  9.7906346675960698e-07  1.7358432840842121e-07  4.3552927806232808e-07  9.1685037638446748e-08  -9.7168107553076208e-07  2.8994496623247839e-07  1.7076476355771476e-07  -7.4798735047229269e-07  5.4919221697732070e-07  6.0428034979073864e-08
4.0000000000000400e+00  1.9120037688083245e-05  7.5954472716855716e-05  7.1244477708826433e-05  -2.4198234581866203e-06  -1.0805552131027439e-05  -2.9241011716622011e-08  -7.8341273354208736e-05  -2.4840171345970140e-07  2.1001220588449770e-05  -7.5915912500064639e-05  1.8383144731357094e-06  7.9491119223729501e-08  -4.9391322426019513e-07  -2.0199691485843709e-07  -5.9335452094713518e-07  -2.1325784152084307e-07  -1.8743098152746069e-07  4.9552920826794344e-07  1.8083077126037925e-06  -3.6238713066454300e-07
4.2666666666667101e+00  1.4002178517214707e-05  7.5227669871721003e-05  7.0390915223328529e-05  -2.4717014824440270e-06  -5.7600300013684108e-06  4.2568297995207709e-08  -7.7571389831146767e-05  -1.8961878108235230e-07  1.6010913072205739e-05  -7.5165249406717165e-05  4.0994568163811104e-07  3.3414932261706921e-07  -3.1266035882774090e-08  1.2044825067494399e-07  -5.7265546734476259e-07  -6.6913905568885868e-08  -5.7555256313216257e-07  3.0436643551888175e-07  7.2057380766833842e-07  -2.6591731678863621e-07
4.5333333333333803e+00  8.9499691357904751e-06  7.4444616637045103e-05  6.9499501179406508e-05  -2.3687617554107766e-06  -7.0977525054750534e-07  -4.7817209661615266e-08  -7.6802980744413281e-05  -3.1443026424704870e-07  1.0538244176059251e-05  -7.4492028413302585e-05  4.1248207289211098e-07  2.4682156857860207e-07  4.6005138002344955e-07  3.0218843250872233e-07  -7.1057445324427403e-07  2.5841952491912210e-07  -1.8273075111726347e-08  -7.9489038882043407e-07  -2.3407405182859270e-07  -1.6105558410282047e-08
4.8000000000000602e+00  4.0328340647261712e-06  7.3436205332599115e-05  6.8242696144455708e-05  -2.2617871464606680e-06  4.6893671847236608e-06  -7.2709761881632841e-08  -7.6053880464387269e-05  -3.2250876979302727e-07  5.2269201542118098e-06  -7.3467368986146318e-05  1.7137117933648172e-06  1.0955356702003244e-07  -5.3082039986731690e-08  -1.2210800225088526e-07  -6.8741391135931512e-07  -1.5069394815293281e-07  -2.7083385536970924e-08  1.0649671246815976e-07  1.4098579733833969e-06  -4.2014481764716526e-07
5.0666666666667304e+00  -9.6322118018275637e-07  7.2505926903511692e-05  6.6971377565234970e-05  -2.0282399118001420e-06  1.0439725078952381e-05  -1.5010173079931342e-09  -7.5327397494994851e-05  -4.5491248761356654e-07  -8.0821683378123259e-08  -7.2443254129649992e-05  6.7849349966856244e-07  4.9345736884486323e-07  -1.8091500453737723e-07  -3.3944622588859659e-07  -1.0627071150459970e-07  -2.5241192640596994e-07  -8.4330216237584551e-07  1.1243259844768747e-06  1.6655099512646052e-06  -6.6868044332176976e-07
5.3333333333333997e+00  -6.0345530818645913e-06  7.1750327015856284e-05  6.6311167850894231e-05  -1.8246629537197597e-06  1.6192208927070069e-05  1.7829466896821746e-08  -7.4321565971422230e-05  -6.9283732206729849e-07  -5.4186813090784507e-06  -7.1686411399964799e-05  -1.1261784487476394e-06  8.0266804081215410e-07  5.5612054403331428e-07  4.2103859546205685e-08  5.0298399454928811e-07  2.0909394870683547e-07  -8.2902780854098649e-07  1.9337418280535566e-07  -4.7833720454081879e-07  -4.4814060173339765e-07
5.6000000000000796e+00  -1.1009857563712773e-05  7.1074079217855058e-05  6.5757298986017477e-05  -1.6401269148599906e-06  2.2014026578995260e-05  -3.3009678640296635e-08  -7.3446126227157539e-05  -8.1221995102034783e-07  -1.0654851438859408e-05  -7.1056843174138290e-05  -6.1215560346991708e-07  5.1639675535148725e-07  9.4865457577103460e-07  3.9066117182959581e-07  9.7374175727078664e-08  2.5757713251354192e-07  -2.2781472148996631e-07  -9.6364385590231638e-07  -1.0288989838369855e-06  -3.1794157169287579e-07
5.8666666666667497e+00  -1.5602865906151311e-05  7.0370322393145375e-05  6.4444822315872928e-05  -1.3828930615116202e-06  2.7940100554749457e-05  -8.3586935132948592e-08  -7.3239842650194286e-05  -9.0636800364405505e-07  -1.5736176610535783e-05  -7.0385857431881705e-05  8.8377221662881695e-07  8.7632015541610709e-08  3.5074203330879962e-07  1.7951933929708251e-07  -7.6621452108914071e-07  -1.0426187051595023e-07  -9.0395656362898065e-08  -4.9510111486043391e-07  4.1687173801767944e-07  -3.0464194186590908e-07
6.1333333333334199e+00  -1.9907972031092475e-05  6.9612389686500608e-05  6.3236814091007323e-05  -1.2314331408858695e-06  3.3819389766955923e-05  -8.5319385780557873e-08  -7.2791500261190167e-05  -1.0774314390251239e-06  -2.0593651175043951e-05  -6.9628926077628094e-05  1.0855053500724867e-06  -1.2904082925989329e-08  -4.3652527901249107e-07  -1.9170364136477466e-07  -7.4504389645520160e-07  -2.6932410380523244e-07  -1.0404689289002033e-07  5.7406567095189628e-07  1.0818610489941396e-06  -2.3398665993419936e-07
