# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  3.2977165379603555e+01  3.9171711975604720e-02  6.4847038563416373e+00  3.1544320648308610e-01  3.1857644604488009e+01  3.2000001581753999e+01  3.2000001380573217e+01  4.7999999999999998e+00  3.2961914463409265e+01  6.4844564482519234e+00  3.1523008121825896e-01  5.0452965384955260e+00  5.6430307945121394e-01  5.1623189259798750e+00  5.3630713326719370e-01  4.8198096948375346e-01  9.8210617727160754e-01
2.0000000000000001e-01  3.2979025408962414e+01  3.9173690171015782e-02  6.4846976739356679e+00  3.1544492549740033e-01  3.1857435896083722e+01  3.2000001631203176e+01  3.2000001439607509e+01  4.7999999999999998e+00  3.2963723153957012e+01  6.4844543693489101e+00  3.1523113310486572e-01  5.0453774864168359e+00  5.6430194755811991e-01  5.1622459605001172e+00  5.3635260651404049e-01  4.8195138787547015e-01  9.8209572077358021e-01
4.0000000000000002e-01  3.2981127445805754e+01  3.9176665311094441e-02  6.4846821693784245e+00  3.1544957245168537e-01  3.1856838207938846e+01  3.2000001757736051e+01  3.2000001589687550e+01  4.7999999999999998e+00  3.2965699764930562e+01  6.4844481551573283e+00  3.1538637501026512e-01  5.0456151997715191e+00  5.6428097149823886e-01  5.1620366666427699e+00  5.3646551965009959e-01  4.8186639405192511e-01  9.8206406295513382e-01
5.9999999999999998e-01  3.2983377752886497e+01  3.9180640333715391e-02  6.4846626546612356e+00  3.1545599848474065e-01  3.1855915526746262e+01  3.2000001932178776e+01  3.2000001799010981e+01  4.7999999999999998e+00  3.2967774239680153e+01  6.4844406810328605e+00  3.1539122617586784e-01  5.0459846157558363e+00  5.6424834766325482e-01  5.1617222774345102e+00  5.3659640763928174e-01  4.8173489160954985e-01  9.8201124533482897e-01
8.0000000000000104e-01  3.2985682191923864e+01  3.9185749285338606e-02  6.4846445463300801e+00  3.1543819042391946e-01  3.1854762301886225e+01  3.2000002131417844e+01  3.2000002045190669e+01  4.7999999999999998e+00  3.2969868415833432e+01  6.4844359548949040e+00  3.1548105404493554e-01  5.0464463438627334e+00  5.6416395477546966e-01  5.1613461575001294e+00  5.3675682650092316e-01  4.8157005233754779e-01  9.8193791503497807e-01
1.0000000000000000e+00  3.2987966977718159e+01  3.9192054301387391e-02  6.4846323123591096e+00  3.1537612868633347e-01  3.1853488372656255e+01  3.2000002342069187e+01  3.2000002316787416e+01  4.7999999999999998e+00  3.2971922975209317e+01  6.4844372774659815e+00  3.1533815119418124e-01  5.0469532185100165e+00  5.6409642862308396e-01  5.1609556327703698e+00  5.3699526254676522e-01  4.8138724187973753e-01  9.8184730301492973e-01
1.2000000000000000e+00  3.2990192434048140e+01  3.9199270215701743e-02  6.4846286845725967e+00  3.1531162475956992e-01  3.1852202204539445e+01  3.2000002560258970e+01  3.2000002612123950e+01  4.7999999999999998e+00  3.2973911614375957e+01  6.4844463494955766e+00  3.1534247378363195e-01  5.0474582747867709e+00  5.6398308092381999e-01  5.1605935635734905e+00  5.3710861393643117e-01  4.8120171187991351e-01  9.8173777650499172e-01
1.3999999999999899e+00  3.2992355382821835e+01  3.9206699103677294e-02  6.4846343622733436e+00  3.1538456280854915e-01  3.1850995745255638e+01  3.2000002785741103e+01  3.2000002932623815e+01  4.7999999999999998e+00  3.2975842212679410e+01  6.4844630754129966e+00  3.1542860536229900e-01  5.0479226991899893e+00  5.6398434702897038e-01  5.1602911755837733e+00  5.3716189728242747e-01  4.8102651191131302e-01  9.8160221445386342e-01
1.5999999999999901e+00  3.2994482380360445e+01  3.9213471647250149e-02  6.4846482049771552e+00  3.1538523175015415e-01  3.1849933707732461e+01  3.2000003017460450e+01  3.2000003277642868e+01  4.7999999999999998e+00  3.2977748694889627e+01  6.4844858872862980e+00  3.1543021340940991e-01  5.0483222163779615e+00  5.6397954909166548e-01  5.1600633932746138e+00  5.3719928714841281e-01  4.8087100474316796e-01  9.8144961819988374e-01
1.7999999999999801e+00  3.2996618363744929e+01  3.9218919154626573e-02  6.4846677568321480e+00  3.1538410151060775e-01  3.1849049035247610e+01  3.2000003255241950e+01  3.2000003645709306e+01  4.7999999999999998e+00  3.2979679004992377e+01  6.4845123491222418e+00  3.1543062824867868e-01  5.0486506381404563e+00  5.6398795603938456e-01  5.1599073432313149e+00  5.3719185069975584e-01  4.8074022384896897e-01  9.8130872685675385e-01
