time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  7.6029689673966442e-05
2.6666666666666600e-01  -4.0189445274310253e-19  7.6385653176307766e-07
5.3333333333333299e-01  -7.6962094705913653e-19  1.0708147121923823e-06
8.0000000000000104e-01  -1.0728227297560633e-18  3.6036165994853297e-07
1.0666666666666700e+00  -1.2834990872097054e-18  8.5712053681656184e-08
1.3333333333333299e+00  -1.3788362855024718e-18  2.7601969997450998e-08
1.6000000000000001e+00  -1.3492679150682883e-18  2.5338992018353772e-08
1.8666666666666600e+00  -1.2005635558436471e-18  3.0166112903692705e-08
2.1333333333333302e+00  -9.5005104557140316e-19  3.3453312041248554e-08
2.3999999999999999e+00  -6.2218024524445109e-19  3.8203761521686437e-08
2.6666666666666701e+00  -2.4488203710117605e-19  4.3084284628149332e-08
2.9333333333333500e+00  1.5278649847953947e-19  4.7659152367021208e-08
3.2000000000000202e+00  5.4104439877939785e-19  5.3213624379903186e-08
3.4666666666666899e+00  8.8954720677233890e-19  5.8385859300078067e-08
3.7333333333333698e+00  1.1692659938902719e-18  6.1144477654562939e-08
4.0000000000000400e+00  1.3556342196851117e-18  6.1508929429260620e-08
4.2666666666667101e+00  1.4315168238874818e-18  5.9707675634206516e-08
4.5333333333333803e+00  1.3891892057998031e-18  5.6974058918135391e-08
4.8000000000000602e+00  1.2311486268512334e-18  5.4347581527388323e-08
5.0666666666667304e+00  9.6992567633402115e-19  5.2017804294355153e-08
5.3333333333333997e+00  6.2713446606890637e-19  5.0582333976083095e-08
5.6000000000000796e+00  2.3181231347946716e-19  4.9628830986500528e-08
5.8666666666667497e+00  -1.8200270732839731e-19  4.8640204026335230e-08
6.1333333333334199e+00  -5.7833015702443068e-19  4.7848972905320254e-08
6.4000000000000901e+00  -9.2257012956822894e-19  4.7352607228708694e-08
6.6666666666667700e+00  -1.1846533646893580e-18  4.6489351612459874e-08
6.9333333333334402e+00  -1.3416946303853717e-18  4.5905215001102955e-08
7.2000000000001103e+00  -1.3799696686206935e-18  4.5962332296649306e-08
7.4666666666667796e+00  -1.2961099267302580e-18  4.5502833737726208e-08
7.7333333333334604e+00  -1.0974249872662066e-18  4.5014370461761746e-08
8.0000000000001297e+00  -8.0129024289916030e-19  4.4855207628775668e-08
8.2666666666667705e+00  -4.3361784542093109e-19  4.5003429105915670e-08
8.5333333333334007e+00  -2.6537661171332595e-20  4.4459127119815231e-08
8.8000000000000398e+00  3.8447776032301670e-19  4.4098671116841625e-08
9.0666666666666806e+00  7.6371545379587325e-19  4.4632787948883943e-08
9.3333333333333197e+00  1.0782780899854288e-18  4.4637314873653292e-08
9.5999999999999499e+00  1.3011055745824619e-18  4.4086457936382335e-08
9.8666666666665908e+00  1.4138189475201147e-18  4.4887967359749237e-08
1.0133333333333200e+01  1.4080404895559404e-18  4.7066266585093903e-08
1.0399999999999901e+01  1.2837318510555073e-18  4.6960134166284699e-08
1.0666666666666501e+01  1.0473367387475578e-18  4.3005666234723571e-08
