# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  7.1822085180435057e-05  1.0801842378800157e-04  9.2554090648929154e-05  1.4131447936627386e-05  -4.3637657976930383e-05  -1.1145997805701397e-06  -1.0902351375904018e-04  -1.6930507932612021e-06  6.5589890591639062e-05  -8.9734328695583953e-05  1.1436269231478453e-04  7.2916927282619270e-06  -3.5408430026748514e-04  -3.2982347556968902e-04  2.5535835519167645e-05  -3.9933222614857460e-08  -3.4787127741086092e-04  3.2987417066718386e-04  1.1310374813168291e-04  -7.2766445872827879e-06
2.6666666666666600e-01  8.4249635705781729e-05  9.2668648356219733e-05  8.6707027217430859e-05  -6.2324190894117435e-06  -6.9813297997444596e-05  -8.0561357832477465e-07  -9.9593018143197590e-05  5.3749715201909587e-06  8.6117606988866927e-05  -8.9908794074730524e-05  9.9621536614550376e-06  -3.7693607536064052e-07  -1.4131073363000739e-05  -2.5836744581397598e-06  -5.3801642029799630e-06  -4.1265118957116602e-09  -1.3834034371403371e-05  2.6312418048337323e-06  9.8494753056129139e-06  3.7529405907486689e-07
5.3333333333333299e-01  8.4752604025352580e-05  9.0539913838890866e-05  8.9045978684312870e-05  3.1423445078843195e-07  -6.6443702935226154e-05  -8.6961339499470583e-07  -9.5563351132475682e-05  -4.2061259811576349e-06  8.1712591980967399e-05  -9.1111503547507377e-05  6.7618625732769460e-06  1.0941820015125872e-07  3.9464133654312458e-06  4.6555600584758425e-06  -6.1806844627263262e-06  -1.1559391139304792e-08  3.6267457366992370e-06  -4.6013958351443504e-06  6.7919865899000579e-06  -1.1722905915429160e-07
8.0000000000000104e-01  7.7708526529263070e-05  9.1703495069777490e-05  8.7696417822016835e-05  -1.9608043852891614e-06  -6.1188786372499260e-05  4.1966297257848805e-07  -9.2796705957582821e-05  2.4858412163607729e-06  8.0947744985364830e-05  -9.1693542295219992e-05  8.3704447261083730e-06  2.7947584882023948e-07  -2.0179871499108449e-06  -1.5455721176267866e-06  -6.1337477613184329e-06  1.8077181903299190e-08  -2.4779699285439358e-06  1.5643326340793623e-06  8.4377388260640498e-06  -2.7102129948593296e-07
1.0666666666666700e+00  8.0854209200387206e-05  8.9580056657365221e-05  8.6512032928948848e-05  -6.1962517761699799e-07  -6.5611986000724026e-05  2.1426708553043015e-07  -9.2514735716611008e-05  -2.9881825964532211e-06  8.1075841488441027e-05  -8.9808930718203819e-05  8.0934092417241440e-06  4.4419006181454459e-08  -6.6789049152545044e-08  4.5021461664951579e-07  -6.5741424995374792e-06  -4.2375590805370140e-09  -2.5904708905854735e-07  -3.5774840737880020e-07  8.0201173246955092e-06  -5.0471739917642444e-08
1.3333333333333299e+00  8.0771529613635611e-05  8.8915749054962410e-05  8.5484467587253608e-05  -3.2557935613201112e-06  -6.4106280968896328e-05  -2.4885261748517240e-07  -9.0224667638896786e-05  5.1300903077175833e-07  8.1999625043091177e-05  -8.8416981943646066e-05  8.3168581748756661e-06  6.6542450381339638e-08  -5.7121176803173499e-07  8.8866360900294173e-08  -6.5419844872035610e-06  -2.9961181027824471e-08  -6.9206722381565198e-07  -8.0785655988318121e-09  8.2406933754453055e-06  -8.7641760530670563e-08
1.6000000000000001e+00  7.4152503764302020e-05  8.6747429278595731e-05  8.3736633806953467e-05  -2.2776942707779756e-06  -5.5537688387299516e-05  -3.0125586200983401e-07  -8.8184066564046275e-05  1.4365117052173071e-06  7.7313759435093977e-05  -8.7367041116557240e-05  7.8066083791765987e-06  1.8995864212682387e-07  2.6056767103444950e-07  -6.7272876015210326e-08  -6.5478905390203425e-06  5.0835610935616329e-08  -2.3987384513659159e-07  1.7484417680418182e-08  7.9450426582570988e-06  -1.4832460022082549e-07
1.8666666666666600e+00  7.3708437369350528e-05  8.5947022930489927e-05  8.2123606241644951e-05  4.1647059931284053e-07  -5.6142583793245983e-05  3.8151209531681103e-07  -8.7671989205803202e-05  -1.8061432723224974e-06  7.4541926343908539e-05  -8.6225584864609741e-05  7.7782231023634141e-06  4.4509244906112138e-07  -5.6421250414090486e-08  -1.3855000527003659e-07  -6.0257292093213992e-06  3.0286580257410107e-09  -6.9896441422914473e-07  1.8025109970887547e-07  7.9178556556640753e-06  -4.2962785311380355e-07
2.1333333333333302e+00  7.4592989471055404e-05  8.6217686818590409e-05  8.1646429921309813e-05  -1.4005523513504805e-06  -5.9095098080178706e-05  3.6148571281860207e-07  -8.7759132029862206e-05  -8.0957085120982476e-07  7.5392264756436758e-05  -8.5788241923248781e-05  8.2156993295480722e-06  -2.7364235251029832e-08  -2.9695689630332440e-07  3.8172102496904827e-07  -6.2334243380715636e-06  -1.3080614072230702e-07  -5.3940994238366118e-07  -8.4967204907659510e-08  8.0056034036937477e-06  -1.1383875144990252e-07
2.3999999999999999e+00  7.2208879311775963e-05  8.4421464901114821e-05  8.0098581727419156e-05  -2.8569836773905617e-06  -5.5879590344361989e-05  -4.1255293518843654e-07  -8.6448539016874005e-05  6.6805493495845950e-07  7.4137102936182905e-05  -8.4655840433988335e-05  8.4296260115729324e-06  -2.3270179543245194e-07  4.0260886770959618e-07  4.2533272917660405e-07  -7.6484910197942436e-06  3.9473676394433931e-09  4.9260297821743056e-07  -3.5021621633798802e-07  7.9883815219884610e-06  2.2229386674444660e-07
