# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  1.5888652694325856e+01  3.6001831120135712e+01  3.1999885371416063e+01  3.1999885287261154e+01  5.0453421251566377e+00  2.1026960083865184e+01  2.8002122884337609e+01  3.2000125188176568e+01  3.2000125071789775e+01  5.4267047035857034e+00
2.6666666666666600e-01  1.5888239658301334e+01  3.6001875775967150e+01  3.1999881750666152e+01  3.1999881675594043e+01  5.0455116148326900e+00  2.1031048126765519e+01  2.8002192929393139e+01  3.2000129440777116e+01  3.2000129336854179e+01  5.4265798503562506e+00
5.3333333333333299e-01  1.5884387214592945e+01  3.6002006299744671e+01  3.1999871853803388e+01  3.1999871802625865e+01  5.0459961751337454e+00  2.1039098435418435e+01  2.8002391856092736e+01  3.2000141043276656e+01  3.2000140975713748e+01  5.4262397337768560e+00
8.0000000000000104e-01  1.5877988334980582e+01  3.6002203507717866e+01  3.1999856563626853e+01  3.1999856549751872e+01  5.0467048759806605e+00  2.1049865949342113e+01  2.8002687471393621e+01  3.2000158624786195e+01  3.2000158612327951e+01  5.4257768697615898e+00
1.0666666666666700e+00  1.5870328650427968e+01  3.6002438650792790e+01  3.1999836680613427e+01  3.1999836717579381e+01  5.0475078190710647e+00  2.1061789910100693e+01  2.8003037482156124e+01  3.2000180855768257e+01  3.2000180908317603e+01  5.4253034630454389e+00
1.3333333333333299e+00  1.5862749287632342e+01  3.6002680521765242e+01  3.1999813067677877e+01  3.1999813168819738e+01  5.0482750367977509e+00  2.1073426767829069e+01  2.8003399609159981e+01  3.2000206486684476e+01  3.2000206602856039e+01  5.4249161930798664e+00
1.6000000000000001e+00  1.5856316028749333e+01  3.6002901860145222e+01  3.1999786369901340e+01  3.1999786546875363e+01  5.0489157054090281e+00  2.1083786468380779e+01  2.8003740459469594e+01  3.2000234681222466e+01  3.2000234848389240e+01  5.4246685015904408e+00
1.8666666666666600e+00  1.5851615871725757e+01  3.6003083256806825e+01  3.1999756814815427e+01  3.1999757075730223e+01  5.0494038991389685e+00  2.1092480083080179e+01  2.8004040401123230e+01  3.2000265225846626e+01  3.2000265424162762e+01  5.4245584457405664e+00
2.1333333333333302e+00  1.5848743749039322e+01  3.6003213541066330e+01  3.1999724303533501e+01  3.1999724651863218e+01  5.0497820119398886e+00  2.1099654582424812e+01  2.8004293717673043e+01  3.2000298493752425e+01  3.2000298701675256e+01  5.4245346944416095e+00
2.3999999999999999e+00  1.5847459129528346e+01  3.6003287423024389e+01  3.1999688729299798e+01  3.1999689164129425e+01  5.0501426330404540e+00  2.1105755791980144e+01  2.8004504627656118e+01  3.2000335148680520e+01  3.2000335345460158e+01  5.4245169426074265e+00
2.6666666666666701e+00  1.5847423104951908e+01  3.6003302550297569e+01  3.1999650321656283e+01  3.1999650839005788e+01  5.0505978517725048e+00  2.1111232365975670e+01  2.8004680923261077e+01  3.2000375633629432e+01  3.2000375798452701e+01  5.4244231625398598e+00
