# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  1.2483246018230135e-01  1.2500000000000000e-01
2.0000000000000001e-01  1.2483279477713620e-01  1.2500000000000000e-01
4.0000000000000002e-01  1.2483402134520476e-01  1.2500000000000000e-01
5.9999999999999998e-01  1.2483631646492711e-01  1.2500000000000000e-01
8.0000000000000104e-01  1.2483934763662666e-01  1.2500000000000000e-01
1.0000000000000000e+00  1.2484231425265950e-01  1.2500000000000000e-01
1.2000000000000000e+00  1.2484445511960646e-01  1.2500000000000000e-01
1.3999999999999899e+00  1.2484549808593209e-01  1.2500000000000000e-01
1.5999999999999901e+00  1.2484565847979476e-01  1.2500000000000000e-01
1.7999999999999801e+00  1.2484529930195806e-01  1.2500000000000000e-01
1.9999999999999800e+00  1.2484477695436179e-01  1.2500000000000000e-01
2.1999999999999802e+00  1.2484443338775245e-01  1.2500000000000000e-01
2.3999999999999702e+00  1.2484413945892191e-01  1.2500000000000000e-01
2.5999999999999699e+00  1.2484319590153441e-01  1.2500000000000000e-01
2.7999999999999599e+00  1.2484137007991170e-01  1.2500000000000000e-01
2.9999999999999600e+00  1.2483949961636098e-01  1.2500000000000000e-01
3.1999999999999500e+00  1.2483843603133735e-01  1.2500000000000000e-01
3.3999999999999502e+00  1.2483796914018881e-01  1.2500000000000000e-01
3.5999999999999499e+00  1.2483740171157100e-01  1.2500000000000000e-01
3.7999999999999399e+00  1.2483651314196578e-01  1.2500000000000000e-01
3.9999999999999400e+00  1.2483546825285462e-01  1.2500000000000000e-01
4.1999999999999300e+00  1.2483425125982740e-01  1.2500000000000000e-01
4.3999999999999302e+00  1.2483252560977874e-01  1.2500000000000000e-01
4.5999999999999197e+00  1.2483005007459275e-01  1.2500000000000000e-01
4.7999999999999199e+00  1.2482706808168945e-01  1.2500000000000000e-01
4.9999999999999201e+00  1.2482409884898280e-01  1.2500000000000000e-01
5.1999999999999096e+00  1.2482143421440825e-01  1.2500000000000000e-01
5.3999999999999098e+00  1.2481897463389306e-01  1.2500000000000000e-01
5.5999999999999002e+00  1.2481646006215752e-01  1.2500000000000000e-01
5.7999999999999003e+00  1.2481377439817180e-01  1.2500000000000000e-01
5.9999999999998899e+00  1.2481104363859216e-01  1.2500000000000000e-01
6.1999999999998900e+00  1.2480846629332470e-01  1.2500000000000000e-01
6.3999999999998902e+00  1.2480618664766185e-01  1.2500000000000000e-01
6.5999999999998797e+00  1.2480435952611785e-01  1.2500000000000000e-01
6.7999999999998799e+00  1.2480321521655023e-01  1.2500000000000000e-01
6.9999999999998703e+00  1.2480307252535422e-01  1.2500000000000000e-01
7.1999999999998696e+00  1.2480409244971616e-01  1.2500000000000000e-01
7.3999999999998600e+00  1.2480578756613715e-01  1.2500000000000000e-01
7.5999999999998602e+00  1.2480716171170622e-01  1.2500000000000000e-01
7.7999999999998604e+00  1.2480766644804525e-01  1.2500000000000000e-01
7.9999999999998499e+00  1.2480776105029692e-01  1.2500000000000000e-01
8.1999999999998803e+00  1.2480842982295792e-01  1.2500000000000000e-01
8.3999999999999098e+00  1.2481030934489480e-01  1.2500000000000000e-01
8.5999999999999392e+00  1.2481316913190951e-01  1.2500000000000000e-01
8.7999999999999794e+00  1.2481607400572592e-01  1.2500000000000000e-01
9.0000000000000107e+00  1.2481814330858616e-01  1.2500000000000000e-01
9.2000000000000401e+00  1.2481923192558909e-01  1.2500000000000000e-01
9.4000000000000696e+00  1.2481985602010053e-01  1.2500000000000000e-01
9.6000000000000991e+00  1.2482056589016258e-01  1.2500000000000000e-01
9.8000000000001304e+00  1.2482152295154099e-01  1.2500000000000000e-01
1.0000000000000201e+01  1.2482258342656309e-01  1.2500000000000000e-01
1.0200000000000200e+01  1.2482357387771122e-01  1.2500000000000000e-01
1.0400000000000199e+01  1.2482442891612004e-01  1.2500000000000000e-01
1.0600000000000300e+01  1.2482516712046572e-01  1.2500000000000000e-01
1.0800000000000299e+01  1.2482582202802901e-01  1.2500000000000000e-01
1.1000000000000300e+01  1.2482640201089391e-01  1.2500000000000000e-01
1.1200000000000401e+01  1.2482689103296067e-01  1.2500000000000000e-01
1.1400000000000400e+01  1.2482727131045018e-01  1.2500000000000000e-01
1.1600000000000399e+01  1.2482754128584085e-01  1.2500000000000000e-01
1.1800000000000400e+01  1.2482771708394351e-01  1.2500000000000000e-01
1.2000000000000499e+01  1.2482782428581281e-01  1.2500000000000000e-01
1.2200000000000500e+01  1.2482788966626138e-01  1.2500000000000000e-01
1.2400000000000500e+01  1.2482793635790061e-01  1.2500000000000000e-01
1.2600000000000600e+01  1.2482798335787584e-01  1.2500000000000000e-01
1.2800000000000599e+01  1.2482804871113075e-01  1.2500000000000000e-01
1.3000000000000600e+01  1.2482815187407414e-01  1.2500000000000000e-01
1.3200000000000699e+01  1.2482831118721924e-01  1.2500000000000000e-01
1.3400000000000700e+01  1.2482853823138856e-01  1.2500000000000000e-01
1.3600000000000700e+01  1.2482883374563898e-01  1.2500000000000000e-01
1.3800000000000800e+01  1.2482918777619996e-01  1.2500000000000000e-01
1.4000000000000799e+01  1.2482958449505149e-01  1.2500000000000000e-01
1.4200000000000800e+01  1.2483000884540695e-01  1.2500000000000000e-01
1.4400000000000899e+01  1.2483044849806481e-01  1.2500000000000000e-01
1.4600000000000900e+01  1.2483088873290479e-01  1.2500000000000000e-01
1.4800000000000900e+01  1.2483130753071439e-01  1.2500000000000000e-01
1.5000000000000901e+01  1.2483167799758736e-01  1.2500000000000000e-01
