# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  1.2486185808480203e-01  1.2500000000000000e-01
2.0000000000000001e-01  1.2486115075549484e-01  1.2500000000000000e-01
4.0000000000000002e-01  1.2485948073561624e-01  1.2500000000000000e-01
5.9999999999999998e-01  1.2485745234594327e-01  1.2500000000000000e-01
8.0000000000000104e-01  1.2485573733796859e-01  1.2500000000000000e-01
1.0000000000000000e+00  1.2485474624122814e-01  1.2500000000000000e-01
1.2000000000000000e+00  1.2485389950091892e-01  1.2500000000000000e-01
1.3999999999999899e+00  1.2485249922253486e-01  1.2500000000000000e-01
1.5999999999999901e+00  1.2485129304384951e-01  1.2500000000000000e-01
1.7999999999999801e+00  1.2485110964233809e-01  1.2500000000000000e-01
1.9999999999999800e+00  1.2485106214918355e-01  1.2500000000000000e-01
2.1999999999999802e+00  1.2484992919629119e-01  1.2500000000000000e-01
2.3999999999999702e+00  1.2484803710710871e-01  1.2500000000000000e-01
2.5999999999999699e+00  1.2484629136697997e-01  1.2500000000000000e-01
2.7999999999999599e+00  1.2484488639126808e-01  1.2500000000000000e-01
2.9999999999999600e+00  1.2484364489100183e-01  1.2500000000000000e-01
3.1999999999999500e+00  1.2484247113188335e-01  1.2500000000000000e-01
3.3999999999999502e+00  1.2484111644279260e-01  1.2500000000000000e-01
3.5999999999999499e+00  1.2483915741768145e-01  1.2500000000000000e-01
3.7999999999999399e+00  1.2483660778662971e-01  1.2500000000000000e-01
3.9999999999999400e+00  1.2483419752098091e-01  1.2500000000000000e-01
4.1999999999999300e+00  1.2483257677446544e-01  1.2500000000000000e-01
4.3999999999999302e+00  1.2483132275140141e-01  1.2500000000000000e-01
4.5999999999999197e+00  1.2482933411076309e-01  1.2500000000000000e-01
4.7999999999999199e+00  1.2482637807638587e-01  1.2500000000000000e-01
4.9999999999999201e+00  1.2482344367358207e-01  1.2500000000000000e-01
5.1999999999999096e+00  1.2482127556032824e-01  1.2500000000000000e-01
5.3999999999999098e+00  1.2481944183133344e-01  1.2500000000000000e-01
5.5999999999999002e+00  1.2481709800635449e-01  1.2500000000000000e-01
5.7999999999999003e+00  1.2481393092023983e-01  1.2500000000000000e-01
5.9999999999998899e+00  1.2481023338897716e-01  1.2500000000000000e-01
6.1999999999998900e+00  1.2480650799055501e-01  1.2500000000000000e-01
6.3999999999998902e+00  1.2480304524614655e-01  1.2500000000000000e-01
6.5999999999998797e+00  1.2479977759041147e-01  1.2500000000000000e-01
6.7999999999998799e+00  1.2479647392923418e-01  1.2500000000000000e-01
6.9999999999998703e+00  1.2479299621260501e-01  1.2500000000000000e-01
7.1999999999998696e+00  1.2478948766418835e-01  1.2500000000000000e-01
7.3999999999998600e+00  1.2478624103126391e-01  1.2500000000000000e-01
7.5999999999998602e+00  1.2478321505307079e-01  1.2500000000000000e-01
7.7999999999998604e+00  1.2478006158372547e-01  1.2500000000000000e-01
7.9999999999998499e+00  1.2477681461722122e-01  1.2500000000000000e-01
8.1999999999998803e+00  1.2477403815147209e-01  1.2500000000000000e-01
8.3999999999999098e+00  1.2477216001431934e-01  1.2500000000000000e-01
8.5999999999999392e+00  1.2477105238765260e-01  1.2500000000000000e-01
8.7999999999999794e+00  1.2477024830067665e-01  1.2500000000000000e-01
9.0000000000000107e+00  1.2476927109339583e-01  1.2500000000000000e-01
9.2000000000000401e+00  1.2476783691366418e-01  1.2500000000000000e-01
9.4000000000000696e+00  1.2476603931810726e-01  1.2500000000000000e-01
9.6000000000000991e+00  1.2476437285109980e-01  1.2500000000000000e-01
9.8000000000001304e+00  1.2476335796337426e-01  1.2500000000000000e-01
1.0000000000000201e+01  1.2476301704090365e-01  1.2500000000000000e-01
1.0200000000000200e+01  1.2476279401649476e-01  1.2500000000000000e-01
1.0400000000000199e+01  1.2476205556634451e-01  1.2500000000000000e-01
1.0600000000000300e+01  1.2476062608292778e-01  1.2500000000000000e-01
1.0800000000000299e+01  1.2475881727140326e-01  1.2500000000000000e-01
1.1000000000000300e+01  1.2475703015781815e-01  1.2500000000000000e-01
1.1200000000000401e+01  1.2475540917929689e-01  1.2500000000000000e-01
1.1400000000000400e+01  1.2475383807744331e-01  1.2500000000000000e-01
1.1600000000000399e+01  1.2475215632166164e-01  1.2500000000000000e-01
1.1800000000000400e+01  1.2475031827150830e-01  1.2500000000000000e-01
1.2000000000000499e+01  1.2474837589705268e-01  1.2500000000000000e-01
1.2200000000000500e+01  1.2474637677494729e-01  1.2500000000000000e-01
1.2400000000000500e+01  1.2474431303291236e-01  1.2500000000000000e-01
1.2600000000000600e+01  1.2474215186243991e-01  1.2500000000000000e-01
1.2800000000000599e+01  1.2473988251319744e-01  1.2500000000000000e-01
1.3000000000000600e+01  1.2473752317664920e-01  1.2500000000000000e-01
1.3200000000000699e+01  1.2473509652285743e-01  1.2500000000000000e-01
1.3400000000000700e+01  1.2473261182719096e-01  1.2500000000000000e-01
1.3600000000000700e+01  1.2473006706980067e-01  1.2500000000000000e-01
1.3800000000000800e+01  1.2472745878867939e-01  1.2500000000000000e-01
1.4000000000000799e+01  1.2472478970097478e-01  1.2500000000000000e-01
1.4200000000000800e+01  1.2472207169973427e-01  1.2500000000000000e-01
1.4400000000000899e+01  1.2471932098181901e-01  1.2500000000000000e-01
1.4600000000000900e+01  1.2471654733283537e-01  1.2500000000000000e-01
1.4800000000000900e+01  1.2471374913512125e-01  1.2500000000000000e-01
1.5000000000000901e+01  1.2471091955401391e-01  1.2500000000000000e-01
1.5200000000000999e+01  1.2470805420066131e-01  1.2500000000000000e-01
1.5400000000001000e+01  1.2470515118384941e-01  1.2500000000000000e-01
1.5600000000001000e+01  1.2470220764005505e-01  1.2500000000000000e-01
1.5800000000001100e+01  1.2469921974480080e-01  1.2500000000000000e-01
