# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  3.6914305602827937e+01  2.2666518712485879e-02  7.9395754381994106e+00  1.7161788581207751e-01  3.1169686920769678e+01  3.2000019531863245e+01  3.2000019122803145e+01  4.7999999999999998e+00  3.6695099762310861e+01  7.9503682771410613e+00  1.6933968903166061e-01  5.0451531727161720e+00  5.6367440293049265e-01  5.4268831755046945e+00  4.5960903235757999e-01  4.3072035727829294e-01  9.7962406637199184e-01
2.0000000000000001e-01  3.6916313874721403e+01  2.2666410034696143e-02  7.9395500273549784e+00  1.7162206160342575e-01  3.1169446317905063e+01  3.2000020067983897e+01  3.2000019681561128e+01  4.7999999999999998e+00  3.6696986628149467e+01  7.9503545088401948e+00  1.6934146326533975e-01  5.0452188593578002e+00  5.6367788188085299e-01  5.4268349544469512e+00  4.5964522167045369e-01  4.3069936706462902e-01  9.7961366725311916e-01
4.0000000000000002e-01  3.6918561688465857e+01  2.2664010343424128e-02  7.9394777501338893e+00  1.7166734071778228e-01  3.1168743907504130e+01  3.2000021568351571e+01  3.2000021238500509e+01  4.7999999999999998e+00  3.6698907126782366e+01  7.9503146835047991e+00  1.6934886592286694e-01  5.0454121588594152e+00  5.6364385347222246e-01  5.4266972237014759e+00  4.5972341294720837e-01  4.3063809072353360e-01  9.7958217884619259e-01
5.9999999999999998e-01  3.6920950821696479e+01  2.2659970655403622e-02  7.9393690931434842e+00  1.7177309295807378e-01  3.1167653684106117e+01  3.2000023857379098e+01  3.2000023611794248e+01  4.7999999999999998e+00  3.6700784449784138e+01  7.9502564118335330e+00  1.6935942636654655e-01  5.0457136084236200e+00  5.6363164085491402e-01  5.4264916261870058e+00  4.5986275516654074e-01  4.3054299025042819e-01  9.7952960859143001e-01
8.0000000000000104e-01  3.6923383079368122e+01  2.2655311332069678e-02  7.9392376056199039e+00  1.7187006817922748e-01  3.1166284535109799e+01  3.2000026741066868e+01  3.2000026608219997e+01  4.7999999999999998e+00  3.6702542302630668e+01  7.9501907139868715e+00  1.6937464238955613e-01  5.0460922482055537e+00  5.6351900388491960e-01  5.4262476356264395e+00  4.6001431412349042e-01  4.3042357599900993e-01  9.7945624429106060e-01
1.0000000000000000e+00  3.6925781968178882e+01  2.2651236070184426e-02  7.9390976716129451e+00  1.7178845946676860e-01  3.1164763030466879e+01  3.2000030016502919e+01  3.2000030028319763e+01  4.7999999999999998e+00  3.6704127881172610e+01  7.9501293139048297e+00  1.6938991539429613e-01  5.0465107451867670e+00  5.6345049638607347e-01  5.4259969773059078e+00  4.6006260434202978e-01  4.3029090847037432e-01  9.7936264406771101e-01
1.2000000000000000e+00  3.6928108296658856e+01  2.2648968119482419e-02  7.9389622475313102e+00  1.7181125505609859e-01  3.1163214186297207e+01  3.2000033501079187e+01  3.2000033693841630e+01  4.7999999999999998e+00  3.6705525648818508e+01  7.9500824800027488e+00  1.6945603494976236e-01  5.0469316902894743e+00  5.6335984014645968e-01  5.4257680012490743e+00  4.6014390293084168e-01  4.3015592354360072e-01  9.7924971650095904e-01
1.3999999999999899e+00  3.6930365156568946e+01  2.2649567375947883e-02  7.9388410423445919e+00  1.7196168663546568e-01  3.1161744029850457e+01  3.2000037058885582e+01  3.2000037472372796e+01  4.7999999999999998e+00  3.6706759874513232e+01  7.9500574707332072e+00  1.6957994616985875e-01  5.0473239143503594e+00  5.6333830861771417e-01  5.4255809159269726e+00  4.6017284942218545e-01  4.3002791470230450e-01  9.7911905722528769e-01
1.5999999999999901e+00  3.6932592998868657e+01  2.2653590877039411e-02  7.9387394931080255e+00  1.7188689283735420e-01  3.1160427231532651e+01  3.2000040617194891e+01  3.2000041291710637e+01  4.7999999999999998e+00  3.6707887751971242e+01  7.9500577596636237e+00  1.6958468722626913e-01  5.0476676139584065e+00  5.6326304879660327e-01  5.4254447512052169e+00  4.6014699342010967e-01  4.2991345635066364e-01  9.7897343507494106e-01
1.7999999999999801e+00  3.6934857918574210e+01  2.2660745467780314e-02  7.9386586793940159e+00  1.7184986269338740e-01  3.1159301850162436e+01  3.2000044171062754e+01  3.2000045143063645e+01  4.7999999999999998e+00  3.6708986929001512e+01  7.9500830874868722e+00  1.6958462905471824e-01  5.0479572765511440e+00  5.6323155189729557e-01  5.4253565378541229e+00  4.6009462725434858e-01  4.2981594631054332e-01  9.7881719792039468e-01
