# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  9.0285583152164084e-05  5.2419532022328970e-05  9.5657072785249882e-05  4.8594232677367935e-05  -5.9071034984746509e-05  -5.4042797976239697e-06  -4.0231129407641072e-05  -3.6333355396413076e-05  8.9310414218952240e-05  -4.6285324476141514e-05  2.0425428882375453e-04  -2.0893015915658028e-05  8.5702211173375174e-05  -5.3187076139207617e-04  -1.7600003763133825e-04  -9.2272999034259880e-08  8.6885035156346915e-05  5.3179772619307581e-04  2.0396136068197461e-04  2.0911688035845254e-05
2.0000000000000001e-01  4.6251907110539361e-05  7.5620869612058928e-05  6.8940310596652077e-05  5.4414371321533470e-07  -3.9774935809204910e-05  -1.4991669388117980e-06  -7.4471583450454724e-05  -1.8248200963472415e-07  5.8838527847119863e-05  -7.5936474245644003e-05  1.9039844012820586e-05  1.7383053282954953e-06  -6.9836903296019343e-06  6.2791210895261492e-06  -1.2037100770120923e-05  1.7432428483534539e-09  1.2277763029184261e-06  -6.3814518695309173e-06  1.7744388615635597e-05  -1.6869504385820534e-06
4.0000000000000002e-01  5.2728842682374815e-05  7.5181686662732084e-05  6.1767044044169441e-05  5.8455542720473768e-09  -4.9364312768188366e-05  -3.0116881738640255e-07  -7.3756245689819743e-05  2.8159609124980091e-07  5.8659180943306679e-05  -7.5997555894112085e-05  1.5639118288394918e-05  2.9125261186694243e-06  -4.4638561676957076e-06  8.8941330121782166e-06  -7.0786608701988946e-06  2.0214084539772737e-09  -8.5521904047780569e-06  -9.0007429317483714e-06  1.6244106565001861e-05  -2.9306330516318460e-06
5.9999999999999998e-01  5.3986822233446654e-05  7.2526730137336242e-05  6.6370191761741255e-05  5.0233368205734142e-07  -4.2101257776653446e-05  1.2434940618169681e-07  -7.0243350735636550e-05  -2.0516725393579563e-06  5.5428743484800938e-05  -6.9043321625768467e-05  1.8463176028864004e-05  -7.3322910905592784e-07  5.2248651236310543e-06  -3.1287587200655584e-06  -1.8916783408640774e-05  4.8037706620126891e-10  1.4320339052775376e-06  3.0283083256854884e-06  1.8854846625953764e-05  7.1219463052514628e-07
8.0000000000000104e-01  5.4222686707194869e-05  7.0570956326638631e-05  6.9243268535799609e-05  1.1686079631882519e-06  -4.1992885897433781e-05  -8.1748766419404524e-07  -6.7639232343069596e-05  -1.4803303207307755e-06  5.3341235615852610e-05  -7.1020187436885858e-05  1.8783714024699331e-05  7.4255401168387241e-07  6.8704660616431023e-07  7.3142732863240912e-07  -1.5125675880516183e-05  -1.0872289250630224e-08  1.5624054943675753e-06  -7.6804856235531843e-07  1.8472194349692320e-05  -7.1999199998381096e-07
1.0000000000000000e+00  5.6046840038730029e-05  7.1226620439777570e-05  6.8339421260279749e-05  -2.4194168552097380e-06  -4.4678479258842262e-05  -5.2597305530396848e-07  -6.4714708110071451e-05  1.5019276948490780e-06  5.4648848663775061e-05  -7.1041623671818440e-05  1.9917175363274950e-05  1.4004015622877525e-06  -1.1121402952091952e-06  -2.2519154424534813e-07  -1.2339065411282952e-05  3.1393374950061431e-08  -7.6649389885084278e-07  8.2790987337368613e-08  1.9611714694901804e-05  -1.3953757225602045e-06
1.2000000000000000e+00  5.0408828474021254e-05  6.9729869608247197e-05  6.6326331561989603e-05  3.0248186282386546e-07  -3.6909714718176747e-05  2.5500332610476102e-07  -6.6338384405918759e-05  -2.1037177854832153e-07  5.1940285222472994e-05  -6.8515803184800424e-05  1.8055136848713628e-05  3.5412012240140417e-07  2.7133845433798414e-06  -1.5000137507227306e-07  -1.6452169902421692e-05  9.0500338369836785e-08  7.6228749203486497e-07  -7.9642716796285386e-08  1.8544791742906961e-05  -2.7865427282949736e-07
1.3999999999999899e+00  4.8644519115223047e-05  6.9445742255778105e-05  6.7335351770486077e-05  1.4420747417629047e-06  -3.6950216548062797e-05  4.9180151121490642e-07  -6.7001772151532998e-05  -9.9671833198557834e-07  5.1112935806683115e-05  -6.8364461389345239e-05  1.7729048035023769e-05  4.7803358794578332e-07  2.9456423315654018e-06  1.4716957983339936e-07  -1.7144985836930136e-05  -2.2961648134496662e-07  1.7894673653632878e-06  1.1632929397122664e-07  1.7932401056477925e-05  -6.6654121918348874e-07
1.5999999999999901e+00  5.4060194759322528e-05  6.9714087695469583e-05  6.7727375831666255e-05  -1.9629844334793629e-06  -4.0747015741001948e-05  -2.0018126336553078e-08  -6.5120168917847185e-05  4.9072273723258129e-08  5.5207339368460927e-05  -6.9176198725801063e-05  1.9497063627211328e-05  6.9336843245351631e-07  -7.5042574534385064e-07  2.0660764131686980e-07  -1.3850675284414945e-05  -6.3609628872982965e-08  -6.1598974050235423e-07  -3.2125430850278727e-07  1.8602937100344977e-05  -7.6019961569866943e-07
1.7999999999999801e+00  5.2238331730236661e-05  6.8610548703619510e-05  6.6548799181210481e-05  -1.9096598225497047e-06  -3.6101293789798843e-05  -5.3667805391798084e-07  -6.3653311168173444e-05  9.7461854203537790e-07  5.1896184953380633e-05  -6.8509039762475611e-05  1.9013332944568565e-05  8.0725306362016139e-07  -5.3994119420207987e-07  -5.3901323486276022e-07  -1.2689408504438208e-05  4.3769947402149045e-07  -1.4121617561179159e-06  -3.1192764117777404e-07  1.9003912156192071e-05  -4.1112779541678171e-07
