# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -4.1034847782760512e-05  8.0508498434956834e-06  1.7321866707375813e-05  6.4997659239506583e-07
2.6666666666666600e-01  -4.0002504506751209e-05  -2.4635950975702513e-06  -4.1482030118783600e-05  -7.6963012903658286e-07
5.3333333333333299e-01  -3.7388776772288406e-05  5.2474371027379788e-07  -3.4781953825760343e-05  5.4045518530624531e-07
8.0000000000000104e-01  -4.0240834772085543e-05  -8.7196487606140072e-07  -3.6603612177400462e-05  4.9264900249954429e-07
1.0666666666666700e+00  -3.9590565705702719e-05  8.0375323220339337e-07  -3.4172639504022028e-05  -5.5970306407076591e-07
1.3333333333333299e+00  -4.0623308438063183e-05  2.4580733233582883e-07  -3.0459869283680284e-05  -4.2037002939779944e-07
1.6000000000000001e+00  -4.0744632919447214e-05  -1.3594653122580149e-06  -3.1458553710133614e-05  4.8227857766411346e-07
1.8666666666666600e+00  -4.1230130639125911e-05  8.6886439630068216e-08  -3.0765097697914531e-05  2.4962414575084196e-07
2.1333333333333302e+00  -3.8030093170405988e-05  7.2294787785520218e-08  -3.0996485888841917e-05  -3.7909707037854756e-07
2.3999999999999999e+00  -3.6640171003633611e-05  -6.3640314603893994e-07  -3.1592429709939186e-05  -3.3582043890177092e-07
2.6666666666666701e+00  -4.0331357408643917e-05  -2.0351871145229140e-07  -3.0773914470954911e-05  2.0813412562054084e-08
2.9333333333333500e+00  -4.3443428143568285e-05  -1.4188477146901802e-08  -3.0075013520476469e-05  2.1679568260022201e-08
3.2000000000000202e+00  -4.2941867650153921e-05  -9.4222885308550904e-08  -3.0477048843757031e-05  7.6596099098656543e-08
3.4666666666666899e+00  -3.9363962164727702e-05  -9.8295509475190554e-08  -3.0681424200014748e-05  -4.5972757996468911e-08
3.7333333333333698e+00  -3.9998666388969829e-05  -3.6458244680289610e-07  -3.0420111409836838e-05  -2.1591901392452885e-07
4.0000000000000400e+00  -4.1770373144110542e-05  -3.7047797480771826e-07  -3.0329176395225365e-05  -1.9468983444099326e-08
4.2666666666667101e+00  -4.0898069471659112e-05  -5.1458960585467107e-08  -3.0533307002303056e-05  1.0177888512550136e-07
4.5333333333333803e+00  -4.2917829651994914e-05  3.2581851864676520e-08  -3.0887016640305464e-05  -9.3408002300767787e-08
4.8000000000000602e+00  -4.5108120963708250e-05  -1.3831678374637818e-07  -3.1003486812425957e-05  -5.6897282835086951e-08
5.0666666666667304e+00  -4.3391605720299173e-05  -2.0327613363302537e-07  -3.1066438596208347e-05  7.2780472077378933e-08
5.3333333333333997e+00  -4.2912001374659567e-05  -1.2887899431208058e-07  -3.1164354516029897e-05  -7.6226350401506676e-08
5.6000000000000796e+00  -4.5872996211889657e-05  -7.9776163154406372e-08  -3.0716830118137737e-05  -8.8097326887742346e-08
5.8666666666667497e+00  -4.7951855076096540e-05  -7.8841999567724450e-08  -3.0524455287636687e-05  1.4783156958310071e-07
6.1333333333334199e+00  -4.6985833612312383e-05  -1.1603819865689316e-07  -3.1341845310710572e-05  4.6683757505871543e-08
