# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0020652932379870e+00  9.7710140875962959e-01  1.0275663555790802e+00  1.0012674973129612e+00  9.8218417709627526e-01  1.0207567525820038e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0012648741080055e+00  9.9065170875284803e-01  1.0136406247456697e+00  1.0008141589632604e+00  9.9518182421552659e-01  1.0074220117818653e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
2.6666666666666600e-01  1.0020717768817113e+00  9.7708310191241665e-01  1.0275856278881841e+00  1.0012704352625166e+00  9.8224142703784212e-01  1.0207018032210142e+00  2.6610681823807609e-05  -9.4897963711159077e-04  9.8149276413892470e-04  1.0012642140745549e+00  9.9061983642503115e-01  1.0136018078484756e+00  1.0008141027102333e+00  9.9515658238023585e-01  1.0073478236154849e+00  -1.6221498967937743e-06  -6.8755145020264914e-04  3.4993324916745753e-04
5.3333333333333299e-01  1.0020763494588683e+00  9.7702764378428475e-01  1.0276433669407667e+00  1.0012677351785997e+00  9.8241360330778171e-01  1.0205356438047284e+00  2.0691336681157009e-05  -7.7624456377079431e-04  8.8024259200886136e-04  1.0012641539104723e+00  9.9060575274805907e-01  1.0135937736246297e+00  1.0008145306342602e+00  9.9514270147893336e-01  1.0073074610003356e+00  8.5914481463788081e-08  -3.2379596453697220e-04  1.8712114158352038e-04
8.0000000000000104e-01  1.0020801879768948e+00  9.7693517658820728e-01  1.0277393694219144e+00  1.0012618524123558e+00  9.8269977130987263e-01  1.0202579876384117e+00  1.9699394176387395e-05  -1.0172164396839336e-03  9.1386761569238961e-04  1.0012643415566531e+00  9.9059231387775559e-01  1.0136017789395904e+00  1.0008147760423383e+00  9.9515470811404283e-01  1.0073134648576103e+00  8.0428423380293011e-07  -1.6471414085868140e-04  2.6765961814492246e-04
1.0666666666666700e+00  1.0020845005355825e+00  9.7680628973431305e-01  1.0278733954186927e+00  1.0012536036473403e+00  9.8309844719487383e-01  1.0198691790442216e+00  2.2384954735506085e-05  -1.2656177117371654e-03  1.1283187081484562e-03  1.0012645375758908e+00  9.9058133666835568e-01  1.0136300104272475e+00  1.0008149053128803e+00  9.9518276900534375e-01  1.0072919299257392e+00  8.6773097390862112e-07  -1.4441505410451308e-04  2.3993812517431631e-04
1.3333333333333299e+00  1.0020898297578806e+00  9.7664213943493716e-01  1.0280448536232747e+00  1.0012426125715712e+00  9.8360705941554882e-01  1.0193704921244497e+00  2.6896352576517645e-05  -1.5211518152071879e-03  1.3778019204362189e-03  1.0012647139669673e+00  9.9056940719744535e-01  1.0136740518140022e+00  1.0008149897837701e+00  9.9522255697142381e-01  1.0072296518060020e+00  1.1105116763737118e-06  -9.7864741113635965e-05  2.5569303681311124e-04
1.6000000000000001e+00  1.0020962477456723e+00  9.7644489561879255e-01  1.0282523411213289e+00  1.0012287199125942e+00  9.8422101301086606e-01  1.0187649697461896e+00  3.1269831818104903e-05  -1.7404910756093411e-03  1.5944531765811041e-03  1.0012650218899948e+00  9.9055162354242876e-01  1.0137345274079708e+00  1.0008148008717379e+00  9.9527849079713826e-01  1.0071166909589069e+00  1.9128404712607715e-06  -1.2382163231833057e-04  3.5049515969428881e-04
1.8666666666666600e+00  1.0021034884431006e+00  9.7621974413897172e-01  1.0284930043383018e+00  1.0012123200980587e+00  9.8493022686106069e-01  1.0180587068459777e+00  3.5146154866069071e-05  -1.9648107380457825e-03  1.8191949830941836e-03  1.0012655543754252e+00  9.9051745431400717e-01  1.0138095206460815e+00  1.0008141098050576e+00  9.9536974425352776e-01  1.0069502608589664e+00  3.0090731099870389e-06  -2.1290169083382039e-04  4.6413738202940138e-04
2.1333333333333302e+00  1.0021115561497209e+00  9.7597581295682767e-01  1.0287610003524943e+00  1.0011934875557276e+00  9.8571597423638746e-01  1.0172636495021321e+00  3.9727829612111553e-05  -2.2041206984281755e-03  2.0302964265940006e-03  1.0012663123775440e+00  9.9046040943641989e-01  1.0139021063224876e+00  1.0008128063048467e+00  9.9551469463346132e-01  1.0067207596173013e+00  4.3194958143780776e-06  -3.4438740251905420e-04  5.8976423554886069e-04
2.3999999999999999e+00  1.0021208357593889e+00  9.7570953437059027e-01  1.0290456947035165e+00  1.0011716455012116e+00  9.8656898563809681e-01  1.0164012735817933e+00  4.5845869318459488e-05  -2.4163724061737374e-03  2.3043322516067945e-03  1.0012673224422688e+00  9.9038517073118704e-01  1.0140086199201628e+00  1.0008107516687503e+00  9.9571359703519979e-01  1.0064372274532114e+00  5.9773173368670048e-06  -4.4169190348283149e-04  6.9462435776291599e-04
2.6666666666666701e+00  1.0021315865525193e+00  9.7532389804737318e-01  1.0293416957579493e+00  1.0011462495761245e+00  9.8737097575143851e-01  1.0155015399628826e+00  5.2494140836100563e-05  -2.6703072566617858e-03  2.5443239493404620e-03  1.0012686341979826e+00  9.9030215866707916e-01  1.0141164989777878e+00  1.0008077825263966e+00  9.9593305362941875e-01  1.0061164074698576e+00  7.9054936764206386e-06  -5.0019238062812819e-04  7.5900027948873773e-04
