# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.3842700827601895e-06  1.3223216289359478e-06  7.0048120892434795e-01  3.8019248356973918e+00  6.2715320851754552e-01
4.0000000000000002e-01  1.6216866488936008e-06  9.7757288845083824e-07  6.7095889126819686e-01  3.6838355650727874e+00  7.1602388346629298e-01
8.0000000000000004e-01  1.4832262050632587e-06  8.1942665522917891e-07  6.3492830815380175e-01  3.5397132326152070e+00  7.1216313781604279e-01
1.2000000000000000e+00  2.0458928069653657e-06  1.2333969783506161e-06  6.5765972414823182e-01  3.6306388965929273e+00  7.2145287674021297e-01
1.6000000000000001e+00  2.9719218643453675e-06  2.0840513098418516e-06  6.9983194755326794e-01  3.7993277902130718e+00  7.6155970686886032e-01
2.0000000000000000e+00  3.3328170492740757e-06  2.4968891601895218e-06  6.8247532741472505e-01  3.7299013096589002e+00  8.1838970355187846e-01
2.3999999999999901e+00  2.4982543324344595e-06  1.8884596651143566e-06  6.1585813145755586e-01  3.4634325258302234e+00  8.5357831073155421e-01
2.7999999999999798e+00  9.7273387131182434e-07  7.0342506246059659e-07  6.5615547935973251e-01  3.6246219174389300e+00  7.8102830410474422e-01
3.1999999999999802e+00  2.7504525863872708e-07  1.3775021646981221e-07  5.6509094576011765e-01  3.2603637830404706e+00  5.0934016672976867e-01
3.5999999999999699e+00  6.0718497171283179e-07  3.3991631236837527e-07  5.9974037963571381e-01  3.3989615185428552e+00  4.6262465981704465e-01
3.9999999999999600e+00  8.6452212080542862e-07  4.9857062596423620e-07  6.3927255649790382e-01  3.5570902259916153e+00  3.0486197539212206e-01
4.3999999999999497e+00  9.5903721628176546e-07  5.4653048868593991e-07  6.5289637830304159e-01  3.6115855132121664e+00  1.2766910294705988e-01
4.7999999999999403e+00  1.0938481073935806e-06  6.0791796602355036e-07  6.3080317660735907e-01  3.5232127064294363e+00  4.0154871679842340e-03
5.1999999999999300e+00  1.3743014894588053e-06  7.5828188863875734e-07  5.9821163408654665e-01  3.3928465363461866e+00  9.8964359091783943e-02
5.5999999999999304e+00  1.7158515163635106e-06  9.5410479181994273e-07  5.7487609245745774e-01  3.2995043698298310e+00  2.1327123030312575e-01
5.9999999999999201e+00  2.1917871546757414e-06  1.2298316812567201e-06  5.6569263100026002e-01  3.2627705240010401e+00  2.8364504746109920e-01
6.3999999999999098e+00  2.8380244621105122e-06  1.6103596462939194e-06  5.6797803292597004e-01  3.2719121317038802e+00  3.0580109500487296e-01
6.7999999999999003e+00  3.4169962265568870e-06  1.9464951733263483e-06  5.6974228790340886e-01  3.2789691516136354e+00  3.3896103176441239e-01
7.1999999999998900e+00  4.3326605636698153e-06  2.5460915192148803e-06  5.8740641449833508e-01  3.3496256579933403e+00  3.2999882998541263e-01
7.5999999999998797e+00  5.3505731195651290e-06  3.2704226619144940e-06  6.0421259778066128e-01  3.4168503911226451e+00  2.7573797785035570e-01
7.9999999999998703e+00  4.6532623219387005e-06  2.7767145969285785e-06  5.9269211476189243e-01  3.3707684590475697e+00  2.9104338127289164e-01
8.3999999999998707e+00  2.9546153599818039e-06  1.6134443706877885e-06  5.4359593021407604e-01  3.1743837208563042e+00  3.8478920476253919e-01
