time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  2.2026428768301393e-04
2.6666666666666600e-01  -8.2072451931861257e-19  8.7300484978649895e-06
5.3333333333333299e-01  -1.5726269800243743e-18  4.5159992653550413e-06
8.0000000000000104e-01  -2.1931875051260424e-18  1.0587348861701844e-06
1.0666666666666700e+00  -2.6247440185157403e-18  4.6296919488692895e-07
1.3333333333333299e+00  -2.8201514120905190e-18  3.8007283909218235e-07
1.6000000000000001e+00  -2.7589227334460983e-18  3.3785977995122724e-07
1.8666666666666600e+00  -2.4518701808131033e-18  4.4889009420124551e-07
2.1333333333333302e+00  -1.9339503089932124e-18  4.0225992723830775e-07
2.3999999999999999e+00  -1.2554614948566145e-18  4.4905862016370214e-07
2.6666666666666701e+00  -4.7465060874560877e-19  4.3462636535119338e-07
2.9333333333333500e+00  3.4735644729192373e-19  4.6654014562519316e-07
3.2000000000000202e+00  1.1478650839414205e-18  5.7029236179402477e-07
3.4666666666666899e+00  1.8632205210820722e-18  6.4609136765382533e-07
3.7333333333333698e+00  2.4326866742571204e-18  6.9836641830126485e-07
4.0000000000000400e+00  2.8049730175746317e-18  7.1735865091865005e-07
4.2666666666667101e+00  2.9445252830058274e-18  7.4594428848712172e-07
4.5333333333333803e+00  2.8358148951711350e-18  8.3889182237658853e-07
4.8000000000000602e+00  2.4851682925959430e-18  9.6238557297081523e-07
5.0666666666667304e+00  1.9204050297889317e-18  1.0606629649506066e-06
5.3333333333333997e+00  1.1887657896045889e-18  1.1283678093994104e-06
5.6000000000000796e+00  3.5329339332844929e-19  1.1899914648267274e-06
5.8666666666667497e+00  -5.1240483083302009e-19  1.2622882822639006e-06
6.1333333333334199e+00  -1.3307766667789879e-18  1.3360053022471919e-06
6.4000000000000901e+00  -2.0275783099853859e-18  1.4218564011321774e-06
6.6666666666667700e+00  -2.5388171595762278e-18  1.5233203710578223e-06
6.9333333333334402e+00  -2.8166341578322659e-18  1.6134774472758186e-06
7.2000000000001103e+00  -2.8336832244980181e-18  1.6727349786697364e-06
7.4666666666667796e+00  -2.5857365673480106e-18  1.7156877708351030e-06
7.7333333333334604e+00  -2.0922874016051266e-18  1.7857162799006177e-06
8.0000000000001297e+00  -1.3950426201912577e-18  1.9077058032793717e-06
8.2666666666667705e+00  -5.5446795684652093e-19  2.0560501533480234e-06
8.5333333333334007e+00  3.5530905033254854e-19  2.1360783521789789e-06
8.8000000000000398e+00  1.2530993148025066e-18  2.1398769083320006e-06
9.0666666666666806e+00  2.0585555770841629e-18  2.3495209186781761e-06
9.3333333333333197e+00  2.7002666778111504e-18  2.8774171761908973e-06
9.5999999999999499e+00  3.1219481962499032e-18  3.3830746851940411e-06
9.8666666666665908e+00  3.2852544496952703e-18  3.6770235260798711e-06
1.0133333333333200e+01  3.1701065947351139e-18  3.8424847014019116e-06
1.0399999999999901e+01  2.7752883839236487e-18  3.8992559320161545e-06
1.0666666666666501e+01  2.1221569742517537e-18  3.8062550382452673e-06
1.0933333333333101e+01  1.2645463698619251e-18  3.7023201335711096e-06
1.1199999999999800e+01  2.9863448536165640e-19  3.7289647586220738e-06
1.1466666666666400e+01  -6.5254216478040708e-19  3.8098312597142732e-06
1.1733333333333100e+01  -1.4804132556621696e-18  3.8262150906870727e-06
1.1999999999999700e+01  -2.1346819141561503e-18  3.7433484308862708e-06
1.2266666666666300e+01  -2.6711836438775349e-18  3.6603092618862175e-06
1.2533333333332999e+01  -3.1110612193059314e-18  3.7402965849956524e-06
1.2799999999999599e+01  -3.1405554498634585e-18  3.9777394734024452e-06
1.3066666666666199e+01  -2.6116409346275051e-18  4.1510054541672249e-06
1.3333333333332900e+01  -2.1082984075396122e-18  4.0507316504536499e-06
1.3599999999999500e+01  -1.5999098990246050e-18  3.8527412261980302e-06
1.3866666666666200e+01  -5.6992594621387908e-19  4.1560149051707041e-06
1.4133333333332800e+01  8.9526363151454991e-19  5.0177503103908380e-06
1.4399999999999400e+01  5.8270849010914749e-18  5.7895392385344571e-06
1.4666666666666099e+01  1.3003951557737168e-17  6.1537006800530810e-06
1.4933333333332699e+01  1.4273062213243180e-17  6.2129916809800637e-06
1.5199999999999299e+01  5.2122134108499399e-17  6.0297480004881083e-06
1.5466666666666001e+01  1.9568989397011635e-16  5.9316905960124781e-06
1.5733333333332601e+01  3.0868793263235274e-16  6.6020607841214178e-06
1.5999999999999201e+01  2.3955299670323014e-16  7.7711666355965708e-06
1.6266666666666001e+01  7.8531225378045321e-16  8.7434202337112383e-06
1.6533333333332699e+01  3.1297199226735521e-15  9.4742933537882700e-06
1.6799999999999400e+01  5.3999132995189976e-15  1.0099017357569201e-05
1.7066666666666102e+01  4.3027606663019215e-15  1.0440647264669207e-05
1.7333333333332799e+01  8.7857321270244779e-15  1.0495996318761505e-05
1.7599999999999500e+01  4.2201276650029682e-14  1.0939987056101721e-05
1.7866666666666202e+01  1.0103722495462768e-13  1.2223554724348133e-05
1.8133333333332899e+01  1.2641005711650986e-13  1.3849969353725810e-05
1.8399999999999601e+01  1.1408453156640769e-13  1.5047991425768207e-05
1.8666666666666298e+01  2.7540465623846772e-13  1.5271690039651524e-05
1.8933333333333000e+01  8.4592713375459341e-13  1.5002559753376806e-05
1.9199999999999701e+01  1.5328891463036847e-12  1.5607150068059563e-05
1.9466666666666502e+01  1.6577295631044778e-12  1.7062733916034252e-05
1.9733333333333199e+01  1.7074609351945251e-12  1.8177844206774350e-05
1.9999999999999901e+01  4.1740028090014899e-12  1.8830216499462612e-05
2.0266666666666602e+01  1.0455339586396197e-11  1.9953537948186316e-05
2.0533333333333299e+01  1.6472063147503820e-11  2.2273753938934319e-05
2.0800000000000001e+01  1.6649411749677771e-11  2.5674568598681741e-05
2.1066666666666698e+01  1.7885875061969169e-11  2.9418877547927664e-05
2.1333333333333400e+01  4.3215143330048084e-11  3.2368115361932252e-05
2.1600000000000101e+01  1.0519346944004726e-10  3.4237387297812904e-05
2.1866666666666799e+01  1.7443243273495028e-10  3.5363465949437772e-05
2.2133333333333500e+01  2.0257011947369884e-10  3.4963435449046786e-05
2.2400000000000201e+01  2.0261055681107367e-10  3.3957181752566529e-05
2.2666666666666998e+01  2.8770898042223516e-10  3.3194720789420345e-05
2.2933333333333699e+01  5.7539615563644024e-10  3.5321618208986298e-05
2.3200000000000401e+01  1.0279484891755727e-09  4.0997224563159118e-05
2.3466666666667098e+01  1.4393788695472429e-09  4.4430022084077080e-05
2.3733333333333800e+01  1.6568025148272080e-09  4.3801593569765519e-05
2.4000000000000501e+01  1.8116758161580884e-09  4.0234753397928646e-05
2.4266666666667199e+01  2.2447337176091283e-09  3.9337170407857611e-05
2.4533333333333900e+01  3.1372763487451929e-09  4.4353729531941700e-05
2.4800000000000601e+01  4.2612055289231231e-09  5.1381624447495341e-05
2.5066666666667299e+01  5.2161803624550990e-09  5.5451984508057314e-05
2.5333333333334000e+01  5.9234251737610892e-09  5.5276163576313814e-05
2.5600000000000701e+01  6.6429617027424128e-09  5.3430037420997577e-05
2.5866666666667498e+01  7.4623435005491582e-09  5.3865517828958133e-05
2.6133333333334200e+01  8.3337376109449886e-09  5.8792447183107197e-05
2.6400000000000901e+01  9.6537421721346200e-09  6.4738606746314611e-05
2.6666666666667599e+01  1.2415042442988516e-08  6.6676273198915988e-05
2.6933333333334300e+01  1.7366862718099973e-08  6.3995420419648910e-05
2.7200000000001001e+01  2.2960557763887201e-08  5.9481399734466714e-05
2.7466666666667699e+01  3.4664999926872337e-08  5.5734847643897318e-05
2.7733333333334400e+01  7.2819861165532762e-08  5.3690075763290053e-05
2.8000000000001101e+01  1.3118896622394350e-07  5.2863564061793128e-05
2.8266666666667799e+01  2.1466270207408642e-07  5.1688843315512973e-05
2.8533333333334500e+01  4.6473454924194166e-07  4.8867978550128201e-05
