# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  1.6503813844394704e-04  -4.8715088851145385e-05  -6.5083054436396065e-05  -7.8608610319343282e-04  -6.4826152543882019e-04  -5.9186034894947636e-06  3.2051112676882482e-05  7.4785810649689866e-04  1.4637855315101065e-03  6.3166302555761502e-05  -1.2886127576313948e-04  4.9662086997113485e-07  -6.9763883529473639e-08  1.4719626845709161e-06  -2.7795207070252151e-04  -3.9711905429553049e-07  -1.1050153996154049e-07  -1.4803134773150286e-06  -1.2890153170158969e-04  -1.4217181822476553e-07
2.6666666666666600e-01  4.3639875045852383e-04  1.4647564358292497e-05  9.5045127893775251e-06  -5.7166862611908345e-04  -6.7248439343166734e-04  2.9638551182724318e-06  -2.4894869340960868e-05  4.6881653914232024e-04  1.3600540990625712e-03  -1.2469102219513899e-05  -9.7768954130586669e-06  -1.5914559506123193e-07  1.5523088674713291e-07  -1.1491185969563602e-06  -2.3523123615548158e-05  -1.2656043432358834e-08  1.2692433233738356e-07  1.1602788650445374e-06  -9.5745663853070597e-06  -6.6629298447402448e-08
5.3333333333333299e-01  4.6415785190193537e-04  -1.4150118569180609e-05  4.1329823521400429e-06  -4.8365397804784655e-04  -7.1733293152669172e-04  3.5742337846772149e-09  1.1416188232044549e-05  4.0805330114689265e-04  1.3292988468543809e-03  1.1668330254800919e-05  6.8646762365404700e-06  -3.0972274826389565e-08  3.6999545401295389e-08  9.7408680038801615e-07  -1.1918785796733767e-05  -7.2926905973904534e-08  -3.3316918553994554e-08  -8.7723325478158088e-07  5.4592562407406948e-06  -1.1882809882334770e-07
8.0000000000000104e-01  4.9952494625587107e-04  -3.0240092272357393e-05  -2.4533372659425322e-05  -4.3674820465599640e-04  -7.6290700362012292e-04  -3.0841609527755343e-06  3.3995699359723496e-05  4.6393016352237629e-04  1.3820506694420713e-03  3.0628444783867762e-05  3.5079667484655697e-05  3.9698431702456310e-07  -7.6988560938718673e-08  2.3897119848713864e-06  -3.3663160648858527e-05  -2.5354974372228168e-08  -6.4753964910386698e-07  -1.5030547440739428e-06  3.0912587820765280e-05  -2.2439679059507545e-07
1.0666666666666700e+00  5.6590412960764883e-04  -1.9483688571464417e-05  -2.0805791997233084e-05  -3.5709607706294955e-04  -8.0039913810582282e-04  -3.3200297460767836e-06  2.2767133268822336e-05  4.7409102071273009e-04  1.4023523357686418e-03  1.8386110374826866e-05  3.5476910116898461e-05  3.6208621276712291e-07  -4.8325385321497515e-07  3.4333353294716016e-06  -2.0192822699731635e-05  1.4767529888722556e-07  -9.4635553421038044e-07  -2.5099695499770102e-06  2.8444898122428195e-05  -3.1426472124601525e-07
1.3333333333333299e+00  5.3668030149461453e-04  -1.0423199587557326e-05  -8.4503318912516120e-06  -2.9407026766424451e-04  -7.4217791985899866e-04  6.2296335299768247e-07  1.2536677445840178e-05  4.3051119890730942e-04  1.2701755605069344e-03  9.8758001924232897e-06  1.1125350419879187e-05  -2.1051294499619053e-07  -5.9389134983325871e-07  2.4882571199285454e-06  -3.5210527720358196e-06  3.0677243849690567e-07  1.6236547984901982e-07  -5.0527097668833842e-06  2.4030114532294740e-06  4.2916343695250733e-07
1.6000000000000001e+00  3.9346570660584953e-04  -1.7811137613282365e-05  -1.8324921917474906e-05  -2.5725736576913969e-04  -5.6619541378492746e-04  2.9091203834986955e-06  1.8771222775426524e-05  3.9458864474633713e-04  1.0551223328250777e-03  1.8475443839213180e-05  -4.9566461674025367e-06  -1.1257447182371060e-06  -7.8594795087902331e-07  2.8425438935375332e-06  7.6306419596274648e-06  2.6657677540176625e-07  1.5332407007506345e-06  -8.8765945934300997e-06  -1.8125394999855734e-05  1.4275632088144618e-06
1.8666666666666600e+00  2.4624772266235878e-04  -3.9423034508764029e-05  -4.3502856245135156e-05  -2.1240586130471563e-04  -4.0808617800691747e-04  4.2656741369656691e-06  4.2286167355117010e-05  3.8845871474545472e-04  8.6582454108920356e-04  4.1805299442605562e-05  -6.2195213599190778e-06  -2.2875861984896346e-06  -2.3387903545085729e-06  7.2379754996680915e-06  1.9137414459802961e-05  8.9042393085216313e-08  2.2936060588114534e-06  -1.4264228032938785e-05  -2.9129996521340698e-05  2.3123195663520323e-06
2.1333333333333302e+00  2.0030174071810781e-04  -6.2957824715773159e-05  -6.8149869457945894e-05  -1.5438395511195810e-04  -3.6053581580300104e-04  5.2280334577887904e-06  6.3833267437404670e-05  3.7044899368763847e-04  7.3762261175966339e-04  6.6558780212031966e-05  -6.1614732258283126e-06  -3.6915984971569843e-06  -5.2254821081739900e-06  1.4061447615101763e-05  3.5815049937362109e-05  9.3942975832070611e-08  2.7228807266097608e-06  -2.3065123039777013e-05  -4.3639992028365684e-05  3.6468242603487301e-06
2.3999999999999999e+00  2.6454243680060685e-04  -7.2996480342952741e-05  -8.1662855963199224e-05  -9.2639164277212214e-05  -3.7425594235195297e-04  5.4322643037274457e-06  6.5206466468876003e-05  2.9399801956272716e-04  6.3628092918423555e-04  7.6603913013138100e-05  -4.8208745631304465e-06  -5.1664059215184629e-06  -8.2834821511007865e-06  2.2057613741266324e-05  4.2091867951932535e-05  3.5962157565632484e-07  2.5237588274827081e-06  -3.6007612154768779e-05  -6.2530975234087143e-05  5.3937065018223897e-06
