# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.5006946187724033e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.5007019816694953e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.5006921973711599e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.5006956437149730e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.5006965028946804e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.5006923799674463e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.5006911995406034e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.5006946099353289e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.5006875965805420e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.5006866340090261e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.5006957078883840e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.5006980840019977e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.5006959563445269e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.5006922080252564e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.5006883802767965e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.5006866528100463e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.5006856927880006e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.5006832087146008e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.5006791138089079e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.5006754989919455e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.5006737725144995e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.5006726044116367e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.5006695799942874e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.5006644963308211e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.5006596367844480e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.5006565740158759e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.5006542894457101e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.5006500252443470e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.5006423411311074e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.5006343969052397e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.5006295918580268e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.5006261402596019e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.5006208364270671e-01  2.5000000000000000e-01
2.6400000000001299e+01  2.5006136388962386e-01  2.5000000000000000e-01
2.7200000000001499e+01  2.5006066962689377e-01  2.5000000000000000e-01
2.8000000000001599e+01  2.5006011623227731e-01  2.5000000000000000e-01
2.8800000000001699e+01  2.5005957962560410e-01  2.5000000000000000e-01
2.9600000000001799e+01  2.5005888319735797e-01  2.5000000000000000e-01
3.0400000000001999e+01  2.5005804816229937e-01  2.5000000000000000e-01
3.1200000000002099e+01  2.5005726491902019e-01  2.5000000000000000e-01
3.2000000000002203e+01  2.5005662663273609e-01  2.5000000000000000e-01
3.2800000000002001e+01  2.5005599994689176e-01  2.5000000000000000e-01
3.3600000000001899e+01  2.5005521759757143e-01  2.5000000000000000e-01
