# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  3.8875723711401362e-06  5.4668593195571355e-06  1  1.0132426337045635e+00  0.0000000000000000e+00  0.0000000000000000e+00  nan  1  5  5  1.3147283619993939e-04  0.0000000000000000e+00  0
8.0000000000000004e-01  0.0000000000000000e+00  8.3016096577262181e-06  1  1.0132541241449240e+00  0.0000000000000000e+00  1.1573061692264055e-05  nan  1  5  5  1.3110515245604536e-04  0.0000000000000000e+00  0
1.6000000000000001e+00  0.0000000000000000e+00  1.1195189060107954e-05  1  1.0132990286589163e+00  0.0000000000000000e+00  1.8526475058457431e-05  nan  1  5  5  1.3075957568255359e-04  0.0000000000000000e+00  0
2.3999999999999901e+00  0.0000000000000000e+00  7.1336231943774911e-06  1  1.0132569111701213e+00  0.0000000000000000e+00  3.1940486777668699e-05  nan  1  5  5  1.3319136422897869e-04  0.0000000000000000e+00  0
3.1999999999999802e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0131720322347326e+00  0.0000000000000000e+00  3.1142941201601832e-05  nan  1  5  5  1.3149200980859240e-04  0.0000000000000000e+00  0
3.9999999999999600e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0130927841460273e+00  0.0000000000000000e+00  4.9723590989295111e-05  nan  1  5  5  1.2982845466860842e-04  0.0000000000000000e+00  0
4.7999999999999403e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0132346611123892e+00  0.0000000000000000e+00  1.9632701136973507e-05  nan  1  5  5  1.3204812955959529e-04  0.0000000000000000e+00  0
5.5999999999999304e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0132378766935461e+00  0.0000000000000000e+00  2.1344441760847681e-05  nan  1  5  5  1.3126272466985629e-04  0.0000000000000000e+00  0
6.3999999999999098e+00  0.0000000000000000e+00  6.8092565546567435e-06  1  1.0132609756708084e+00  0.0000000000000000e+00  2.2172957037164778e-05  nan  1  5  5  1.3041229821639851e-04  0.0000000000000000e+00  0
7.1999999999998900e+00  0.0000000000000000e+00  9.7448030549834228e-06  1  1.0132535721335703e+00  0.0000000000000000e+00  2.0510104462953453e-05  nan  1  5  5  1.3086807521749718e-04  0.0000000000000000e+00  0
7.9999999999998703e+00  0.0000000000000000e+00  8.6731544260112663e-06  1  1.0132291702232183e+00  0.0000000000000000e+00  2.6133034158068970e-05  nan  1  5  5  1.3117789531021353e-04  0.0000000000000000e+00  0
8.7999999999998604e+00  0.0000000000000000e+00  7.4184302352916128e-06  1  1.0132149170107221e+00  0.0000000000000000e+00  2.8751258860436853e-05  nan  1  5  5  1.3077724954547434e-04  0.0000000000000000e+00  0
