# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  8.0027029567948148e-07  1.4922617818035213e-06  2.0350731993335337e-06  7.0063341507848155e-11  -4.9235960538747590e-07  -2.6641515531752695e-17  2.0350732009175937e-06  -7.0064947076070380e-11  8.0027029560629191e-07  -1.4922617818153730e-06  4.5662713241268958e-08  1.8569119305381170e-08  4.9834804702786174e-08  1.2775084888917736e-08  -3.9512680088369725e-08  4.9407809007702663e-17  4.9834807854921879e-08  -1.2775088028527631e-08  4.5662713220036278e-08  -1.8569119250658646e-08
8.0000000000000004e-01  1.3497862077336139e-07  1.4781057355750943e-06  1.6666464355378780e-06  5.7216129575828695e-09  4.0766641265631059e-08  -1.6776503959908123e-16  1.6666464357142100e-06  -5.7216129662299939e-09  1.3497862109583430e-07  -1.4781057355374344e-06  4.1386709577675056e-08  1.8570943544728255e-08  5.0125169251400105e-08  1.2780853671066767e-08  -3.5955171405139649e-08  5.5186972531753395e-17  5.0125168989773227e-08  -1.2780853304852630e-08  4.1386709488290362e-08  -1.8570943616761571e-08
1.6000000000000001e+00  4.4168495130118097e-07  1.4388790608598390e-06  1.9197246371832724e-06  5.1315615875875909e-09  -1.3236992151522811e-07  6.4678800577627933e-17  1.9197246372308825e-06  -5.1315616578468554e-09  4.4168495100747849e-07  -1.4388790607971219e-06  3.5599176901842765e-08  1.8526327859138744e-08  5.1696710580824464e-08  1.2802199845785468e-08  -3.1605917429475220e-08  1.3685390891290543e-16  5.1696710730975877e-08  -1.2802199976532071e-08  3.5599176566260659e-08  -1.8526327465159245e-08
2.3999999999999901e+00  -2.9074818829889850e-09  1.4496412892377543e-06  1.9269988799662302e-06  1.1542794522031167e-09  1.4869652701714024e-07  2.6265856419645413e-17  1.9269988800593496e-06  -1.1542796618654333e-09  -2.9074817156847313e-09  -1.4496412894127706e-06  2.6620835867897759e-08  1.8346069905990745e-08  6.1922594604439536e-08  1.2753194848052458e-08  -2.6128299127649503e-08  6.7085375036371335e-17  6.1922594601084438e-08  -1.2753194817655392e-08  2.6620836412790384e-08  -1.8346069723230777e-08
3.1999999999999802e+00  -3.1235021847736766e-07  1.4571528661527998e-06  2.1083426661104533e-06  5.0966886903746428e-09  3.6128302479763820e-07  1.0151626345371745e-16  2.1083426662343369e-06  -5.0966887293652684e-09  -3.1235021857176393e-07  -1.4571528660835601e-06  1.9334529688454509e-08  1.9185292490695401e-08  4.8423963772594457e-08  1.2868726147976933e-08  -1.5877740179814654e-08  2.5178339569009286e-16  4.8423963612200298e-08  -1.2868725865883883e-08  1.9334528895024136e-08  -1.9185292479974085e-08
3.9999999999999600e+00  -1.3350287026291414e-06  1.4706533936255973e-06  2.1843107488899631e-06  4.5061652142211874e-09  1.1718522237835230e-06  3.5926267183080708e-17  2.1843107487718529e-06  -4.5061653215818003e-09  -1.3350287026239330e-06  -1.4706533935073318e-06  1.9251937038117756e-08  1.7927851119674578e-08  6.1135989338120450e-08  1.2825251201292663e-08  -2.9963934858278794e-08  6.0432316701854256e-17  6.1135989056864431e-08  -1.2825251183783781e-08  1.9251936499822057e-08  -1.7927851095016194e-08
4.7999999999999403e+00  -1.9929226062192355e-06  1.4496447595090017e-06  2.1075659308265329e-06  6.4898995376855694e-09  1.8107939181009931e-06  1.0117130928594814e-16  2.1075659312296121e-06  -6.4898993677993559e-09  -1.9929226068734943e-06  -1.4496447593025844e-06  -3.9357412247717193e-08  1.8188857433973472e-08  2.2823760153790077e-08  1.3040422342892819e-08  4.1619671200839885e-08  -3.6696670780132586e-16  2.2823759099040511e-08  -1.3040421486873881e-08  -3.9357412138764615e-08  -1.8188857939543711e-08
5.5999999999999304e+00  -2.8452694791439363e-06  1.4444404871054070e-06  1.9546453219990595e-06  6.8289284223427487e-09  2.4484583531783465e-06  2.6929506733819157e-17  1.9546453218562701e-06  -6.8289286410199262e-09  -2.8452694789069552e-06  -1.4444404870933783e-06  -3.2945519415162834e-08  1.8692107378065629e-08  5.1191690970270907e-08  1.0459725178004534e-08  3.7626606568911178e-08  7.0231287298558227e-15  5.1191703680443279e-08  -1.0459734637532517e-08  -3.2945513580032118e-08  -1.8692088383181335e-08
6.3999999999999098e+00  -3.4946806262977465e-06  1.4472084812295479e-06  1.9276596256933242e-06  7.5399015786647158e-09  3.0139014173643042e-06  1.7200465125832582e-16  1.9276596255933472e-06  -7.5399014880409040e-09  -3.4946806256633027e-06  -1.4472084811984988e-06  -4.8044270171223664e-08  1.9397244294815584e-08  6.9255297384132683e-08  1.3387553963750743e-08  1.3100173192036053e-08  -3.2344470995304423e-14  6.9255244220703519e-08  -1.3387500004812970e-08  -4.8044306685053191e-08  -1.9397342091988362e-08
7.1999999999998900e+00  -3.3667598519678426e-06  1.4509110575198615e-06  2.2064991279795604e-06  1.0089285993675300e-08  2.8829801384151375e-06  -1.4137488109442625e-16  2.2064991281757875e-06  -1.0089286001478180e-08  -3.3667598518220474e-06  -1.4509110573777093e-06  -1.3347529592970959e-07  1.7159461420062829e-08  2.3669161968794489e-08  2.1619722548820971e-08  1.2710496748711450e-07  1.0539580732142562e-13  2.3669320561770853e-08  -2.1619971153038897e-08  -1.3347519012208743e-07  -1.7159101483997608e-08
